"","year.FRP","FRP","infection_status","Uniq_ID","sample_day","maturity","Holding_Tank","Low_Tag","High_Tag","sample","treatment_tank","where","tube_number","Comments","death","comments","CW","SC","CH","Test_Date","Original_sample_conc_ng.ul","total_sample_vol_ul","total_yield_ng"
"177","2017-6159",6159,1,"6159_508_26",26,"I","9A",3311,3551,NA,9,"",410,"","","","117","3","16.4",NA,NA,NA,NA
"178","2017-6160",6160,0,"6160_7_9",9,"M","8A",3317,3545,NA,2,"drain end",439,"","","","108.5","4","22","8/9/18 13:03","6.94",10,"69.4"
"179","2017-6160",6160,0,"6160_238_12",12,"M","2C",3317,3545,NA,2,"",133,"","","","108.5","4","22",NA,NA,NA,NA
"180","2017-6160",6160,0,"6160_426_26",26,"M","2C",3317,3545,NA,2,"",319,"","","","108.5","4","22",NA,NA,NA,NA
"181","2017-6161",6161,0,"6161_53_9",9,"M","7A",3326,3536,NA,9,"drain end",421,"","","","114.1","4","22.3","4/29/18 17:59","3.64",35,"127.4"
"182","2017-6161",6161,0,"6161_302_12",12,"M","9A",3326,3536,NA,9,"",204,"","","","114.1","4","22.3","4/29/18 17:58","3.6",35,"126"
"183","2017-6161",6161,0,"6161_512_26",26,"M","9A",3326,3536,NA,9,"",414,"","","","114.1","4","22.3","4/29/18 17:59","7.52",35,"263.2"
"184","2017-6162",6162,1,"6162_61_9",9,"I","7A",3328,3510,NA,1,"drain end",430,"","","","119","3","17",NA,NA,NA,NA
"185","2017-6162",6162,1,"6162_220_12",12,"I","1C",3328,3510,NA,1,"",114,"","","","119","3","17",NA,NA,NA,NA
"186","2017-6162",6162,1,"6162_407_26",26,"I","1C",3328,3510,NA,1,"",298,"","","","119","3","17","5/24/18 17:47","2.1",35,"73.5"
"187","2017-6163",6163,1,"6163_130_9",9,"I","3C",3330,3409,NA,2,"drain end",36,"","","","118.5","3","17.1","4/10/18 14:47","4.16",35,"145.6"
"188","2017-6163",6163,1,"6163_228_12",12,"I","2C",3330,3409,NA,2,"",122,"","","","118.5","3","17.1",NA,NA,NA,NA
"189","2017-6163",6163,1,"6163_424_26",26,"I","2C",3330,3409,NA,2,"",317,"","","","118.5","3","17.1",NA,NA,NA,NA
"190","2017-6164",6164,1,"6164_71_9",9,"I","7A",3351,3390,NA,3,"drain end",441,"3351/3580","","","86.8","3","10.8",NA,NA,NA,NA
"191","2017-6164",6164,1,"6164_257_12",12,"I","3C",3351,3580,NA,3,"",154,"","","","86.8","3","10.8","4/4/18 13:58","1.32",35,"46.2"
"192","2017-6164",6164,1,"6164_460_26",26,"I","3C",3351,3580,NA,3,"",357,"","","","86.8","3","10.8",NA,NA,NA,NA
"193","2017-6165",6165,0,"6165_55_9",9,"I","7A",3362,3539,NA,7,"drain end",423,"","","","113.2","3","19.5",NA,NA,NA,NA
"194","2017-6165",6165,0,"6165_360_12",12,"I","7A",3362,3539,NA,7,"",266,"","","","113.2","3","19.5",NA,NA,NA,NA
"195","2017-6165",6165,0,"6165_469_26",26,"I","7A",3362,3539,NA,7,"",366,"","","","113.2","3","19.5","5/24/18 17:47","2.41",35,"84.35"
"196","2017-6166",6166,0,"6166_21_9",9,"I","8A",3378,3534,NA,8,"drain end",104,"","","","91.8","3","11.3",NA,NA,NA,NA
"197","2017-6166",6166,0,"6166_349_12",12,"I","8A",3378,3534,NA,8,"",253,"","","","91.8","3","11.3","4/23/18 17:41","0.84",35,"29.4"
"198","2017-6166",6166,0,"6166_496_26",26,"I","8A",3378,3534,NA,8,"",396,"","","","91.8","3","11.3",NA,NA,NA,NA
"199","2017-6167",6167,0,"6167_45_9",9,"I","9A",3382,3481,NA,1,"drain end",345,"","","","110.7","3","12.4",NA,NA,NA,NA
"200","2017-6167",6167,0,"6167_207_12",12,"I","1C",3382,3481,NA,1,"",101,"","","","110.7","3","12.4",NA,NA,NA,NA
"201","2017-6167",6167,0,"6167_414_26",26,"I","1C",3382,3481,NA,1,"",306,"","","","110.7","3","12.4","4/28/18 15:43","3.03",35,"106.05"
"202","2017-6168",6168,1,"6168_27_9",9,"I","8A",3385,3554,NA,7,"drain end",168,"","","","99.5","3","13.7",NA,NA,NA,NA
"203","2017-6168",6168,1,"6168_357_12",12,"I","7A",3385,3554,NA,7,"",262,"","","","99.5","3","13.7",NA,NA,NA,NA
"204","2017-6168",6168,1,"6168_466_26",26,"I","7A",3385,3554,NA,7,"",363,"","","","99.5","3","13.7",NA,NA,NA,NA
"205","2017-6169",6169,1,"6169_57_9",9,"I","7A",3391,3550,NA,8,"drain end",425,"","","","117.2","3","16.8",NA,NA,NA,NA
"206","2017-6169",6169,1,"6169_328_12",12,"I","8A",3391,3550,NA,8,"",231,"","","","117.2","3","16.8",NA,NA,NA,NA
"207","2017-6169",6169,1,"6169_486_26",26,"I","8A",3391,3550,NA,8,"",385,"","","","117.2","3","16.8",NA,NA,NA,NA
"208","2017-6170",6170,1,"6170_70_9",9,"I","7A",3397,3553,NA,9,"drain end",440,"","","","117.2","3","15.4","4/24/18 14:51","1.77",35,"61.95"
"209","2017-6170",6170,1,"6170_320_12",12,"I","9A",3397,3553,NA,9,"",223,"","","","117.2","3","15.4","4/10/18 17:23","8.24",35,"288.4"
"210","2017-6170",6170,1,"6170_516_26",26,"I","9A",3397,3553,NA,9,"",418,"","","","117.2","3","15.4",NA,NA,NA,NA
"211","2017-6171",6171,0,"6171_73_9",9,"I","7A",3400,3464,NA,2,"drain end",443,"","","","127.4","3","19.3","8/9/18 13:03","7.28",10,"72.8"
"212","2017-6171",6171,0,"6171_221_12",12,"I","2C",3400,3464,NA,2,"",115,"","","","127.4","3","19.3",NA,NA,NA,NA
"213","2017-6171",6171,0,"6171_427_26",26,"I","2C",3400,3464,NA,2,"",320,"","","","127.4","3","19.3",NA,NA,NA,NA
"214","2017-6172",6172,0,"6172_60,_9",9,"M","7A",3438,3457,NA,1,"drain end",429,"","short 1 crab in tank 1C: crab 3438/3457 should have been placed in trtmnt 1C, but was returned to unsampled pool after blood draw, then later pulled out again, sampled & put in 9A.","","116.3","3","24.4",NA,NA,NA,NA
"215","2017-6172",6172,0,"6172_316_12",12,"M","9A",3438,3457,NA,1,"",218,"","","","116.3","3","24.4",NA,NA,NA,NA
"216","2017-6172",6172,0,"6172_517_26",26,"M","9A",3438,3457,NA,1,"",419,"","","","116.3","3","24.4","4/24/18 14:51","5.64",35,"197.4"
"217","2017-6173",6173,1,"6173_63_9",9,"I","7A",3448,3468,NA,1,"drain end",432,"","","","95","3","14.1",NA,NA,NA,NA
"218","2017-6173",6173,1,"6173_210_12",12,"I","1C",3448,3468,NA,1,"",105,"","","","95","3","14.1",NA,NA,NA,NA
"219","2017-6173",6173,1,"6173_420_26",26,"I","1C",3448,3468,NA,1,"",313,"","","","95","3","14.1","3/26/18 13:35","2",35,"70"
"220","2017-6174",6174,1,"6174_20_9",9,"I","8A",3475,3524,NA,2,"drain end",94,"","","","117.4","3","15.9",NA,NA,NA,NA
"221","2017-6174",6174,1,"6174_233_12",12,"I","2C",3475,3524,NA,2,"",128,"","","","117.4","3","15.9","4/23/18 18:01","5.32",35,"186.2"
"222","2017-6174",6174,1,"6174_433_26",26,"I","2C",3475,3524,NA,2,"",327,"","","","117.4","3","15.9","4/6/18 13:38","2.01",35,"70.35"
"223","2017-6175",6175,0,"6175_67_9",9,"I","7A",3498,3523,NA,3,"drain end",436,"","Hmm, should have gone into tank 1, but went into tank 9.","","116.4","4","19.6","4/29/18 17:59","5.04",35,"176.4"
"224","2017-6175",6175,0,"6175_246_12",12,"I","3C",3498,3523,NA,3,"",142,"","","","116.4","4","19.6",NA,NA,NA,NA
"225","2017-6175",6175,0,"6175_447_26",26,"I","3C",3498,3523,NA,3,"",342,"","","","116.4","4","19.6",NA,NA,NA,NA
"226","2017-6176",6176,0,"6176_48_9",9,"M","9A",3512,3537,NA,8,"drain end",378,"","","","102.3","3","20.1",NA,NA,NA,NA
"227","2017-6176",6176,0,"6176_329_12",12,"M","8A",3512,3537,NA,8,"",232,"","","","102.3","3","20.1","4/29/18 17:58","2.38",35,"83.3"
"228","2017-6176",6176,0,"6176_490_26",26,"M","8A",3512,3537,NA,8,"",390,"","","","102.3","3","20.1",NA,NA,NA,NA
"229","2017-6177",6177,1,"6177_54_9",9,"I","7A",3532,3594,NA,3,"drain end",422,"","","","120.2","3","17.1","8/9/18 13:02","Out of range",10,"#VALUE!"
"230","2017-6177",6177,1,"6177_250_12",12,"I","3C",3532,3594,NA,3,"",147,"","","","120.2","3","17.1",NA,NA,NA,NA
"231","2017-6177",6177,1,"6177_456_26",26,"I","3C",3532,3594,NA,3,"",352,"","","","120.2","3","17.1",NA,NA,NA,NA
"232","2017-6178",6178,0,"6178_124_9",9,"M","3C",3544,3559,NA,1,"drain end",29,"","","","138.6","3","30",NA,NA,NA,NA
"233","2017-6178",6178,0,"6178_218_12",12,"M","1C",3544,3559,NA,1,"",111,"","","","138.6","3","30",NA,NA,NA,NA
"234","2017-6178",6178,0,"6178_410_26",26,"M","1C",3544,3559,NA,1,"",302,"","","","138.6","3","30",NA,NA,NA,NA
"235","2017-6179",6179,0,"6179_34_9",9,"M","9A",3561,3588,NA,9,"drain end",244,"","","","117.4","4","23.2",NA,NA,NA,NA
"236","2017-6179",6179,0,"6179_315_12",12,"M","9A",3561,3588,NA,9,"",217,"","","","117.4","4","23.2",NA,NA,NA,NA
"237","2017-6179",6179,0,"6179_515_26",26,"M","9A",3561,3588,NA,9,"",417,"","","","117.4","4","23.2","8/9/18 13:02","17.3",10,"173"
"238","2017-6180",6180,0,"6180_149_9",9,"I","2C",3610,3813,NA,6,"anywhere",56,"","","","125.4","3","19.5","2/28/18 17:59","0.896",35,"31.36"
"239","2017-6180",6180,0,"6180_370_12",12,"I","6W",3610,3813,NA,6,"",277,"","","","125.4","3","19.5","5/24/18 17:46","9.32",35,"326.2"
"240","2017-6180",6180,0,"6180_402_26",26,"I","6W",3610,3813,NA,6,"",293,"","","","125.4","3","19.5","5/24/18 13:51","8.52",35,"298.2"
"241","2017-6181",6181,0,"6181_175_9",9,"I","1C",3616,3846,NA,7,"drain end",85,"","","","133.4","3","20.4","5/23/18 14:55","10.8",35,"378"
"242","2017-6181",6181,0,"6181_355_12",12,"I","7A",3616,3846,NA,7,"",260,"","","","133.4","3","20.4","5/23/18 14:55","8.28",35,"289.8"
"243","2017-6181",6181,0,"6181_470_26",26,"I","7A",3616,3846,NA,7,"",368,"","","","133.4","3","20.4",NA,NA,NA,NA
"244","2017-6182",6182,1,"6182_137_9",9,"I","2C",3617,3831,NA,7,"drain end",43,"","","","141.4","4","21.1",NA,NA,NA,NA
"245","2017-6182",6182,1,"6182_354_12",12,"I","7A",3617,3831,NA,7,"",259,"BCS+","","","141.4","4","21.1",NA,NA,NA,NA
"246","2017-6182",6182,1,"6182_462_26",26,"I","7A",3617,3831,NA,7,"",359,"","","","141.4","4","21.1","5/1/18 14:28","5.68",35,"198.8"
"247","2017-6183",6183,1,"6183_141_9",9,"I","2C",3619,3804,NA,8,"drain end",48,"","","","140","3","21.1",NA,NA,NA,NA
"248","2017-6183",6183,1,"6183_322_12",12,"I","8A",3619,3804,NA,8,"",225,"","","","140","3","21.1","4/24/18 14:51","1.76",35,"61.6"
"249","2017-6183",6183,1,"6183_494_26",26,"I","8A",3619,3804,NA,8,"",394,"","","","140","3","21.1",NA,NA,NA,NA
"250","2017-6184",6184,1,"6184_148_9",9,"I","2C",3628,3809,NA,9,"drain end",55,"","","","121.9","3","17.3","3/28/18 14:16","1.16",35,"40.6"
"251","2017-6184",6184,1,"6184_318_12",12,"I","9A",3628,3809,NA,9,"",220,"","","","121.9","3","17.3",NA,NA,NA,NA
"252","2017-6184",6184,1,"6184_513_26",26,"I","9A",3628,3809,NA,9,"",415,"","","","121.9","3","17.3","8/9/18 13:02","Out of range",10,"#VALUE!"
"253","2017-6185",6185,0,"6185_145_9",9,"I","2C",3630,3824,NA,8,"drain end",52,"","","","124.8","3","21.8",NA,NA,NA,NA
"254","2017-6185",6185,0,"6185_336_12",12,"I","8A",3630,3824,NA,8,"",240,"","","","124.8","3","21.8",NA,NA,NA,NA
"255","2017-6185",6185,0,"6185_487_26",26,"I","8A",3630,3824,NA,8,"",386,"","","","124.8","3","21.8",NA,NA,NA,NA
"256","2017-6186",6186,0,"6186_171_9",9,"I","1C",3638,3843,NA,9,"drain end",81,"","","","129.4","3","20.8",NA,NA,NA,NA
"257","2017-6186",6186,0,"6186_306_12",12,"I","9A",3638,3843,NA,9,"",208,"#2","replacement tube","","129.4","3","20.8",NA,NA,NA,NA
"258","2017-6186",6186,0,"6186_510_26",26,"I","9A",3638,3843,NA,9,"",412,"","","","129.4","3","20.8","4/23/18 18:02","5",35,"175"
"259","2017-6187",6187,1,"6187_158_9",9,"I","1C",3641,3838,NA,2,"drain end",66,"","","","129.9","3","19.1","4/6/18 14:03","0",35,"0"
"260","2017-6187",6187,1,"6187_239_12",12,"I","2C",3641,3838,NA,2,"",134,"","","","129.9","3","19.1",NA,NA,NA,NA
"261","2017-6187",6187,1,"6187_431_26",26,"I","2C",3641,3838,NA,2,"",325,"","","","129.9","3","19.1",NA,NA,NA,NA
"262","2017-6188",6188,1,"6188_172_9",9,"I","1C",3642,3837,NA,3,"drain end",82,"","","","128.9","3","20.3",NA,NA,NA,NA
"263","2017-6188",6188,1,"6188_245_12",12,"I","3C",3642,3837,NA,3,"",141,"","","","128.9","3","20.3","5/1/18 17:58","Out of range",35,"#VALUE!"
"264","2017-6188",6188,1,"6188_443_26",26,"I","3C",3642,3837,NA,3,"",338,"","","","128.9","3","20.3",NA,NA,NA,NA
"265","2017-6189",6189,0,"6189_176_9",9,"I","1C",3643,3850,NA,1,"drain end",86,"","","","126.4","3","20.8","4/20/18 14:18","3.09",35,"108.15"
"266","2017-6189",6189,0,"6189_216_12",12,"I","1C",3643,3850,NA,1,"",110,"","","","126.4","3","20.8",NA,NA,NA,NA
"267","2017-6189",6189,0,"6189_422_26",26,"I","1C",3643,3850,NA,1,"",315,"","","","126.4","3","20.8",NA,NA,NA,NA
"268","2017-6190",6190,3,"6190_101_9",9,"M","1C",3648,3841,"reserve",1,"valve end",4,"There are 2 tubes recorded as 101 (3C, 8A), but there are no tube #s missing.","","","126.2","3","25.8","4/6/18 13:38","3.52",35,"123.2"
"269","2017-6190",6190,3,"6190_256_12",12,"M","3C",3648,3841,NA,1,"",153,"","","","126.2","3","25.8","4/10/18 17:22","2.02",35,"70.7"
"270","2017-6190",6190,3,"6190_452_26",26,"M","3C",3648,3841,NA,1,"",348,"","","","126.2","3","25.8","4/6/18 13:39","5.76",35,"201.6"
"271","2017-6191",6191,0,"6191_95_9",9,"I","1C",3649,3852,NA,2,"drain end",467,"","","","127.2","3","20.5","8/9/18 13:04","Out of range",10,"#VALUE!"
"272","2017-6191",6191,0,"6191_227_12",12,"I","2C",3649,3852,NA,2,"",121,"","","","127.2","3","20.5",NA,NA,NA,NA
"273","2017-6191",6191,0,"6191_442_26",26,"I","2C",3649,3852,NA,2,"",337,"","","","127.2","3","20.5",NA,NA,NA,NA
"274","2017-6192",6192,1,"6192_178_9",9,"I","1C",3658,3860,NA,7,"drain end",88,"","","","132.2","3","21.7","4/10/18 14:47","2.81",35,"98.35"
"275","2017-6192",6192,1,"6192_359_12",12,"I","7A",3658,3860,NA,7,"",264,"","","","132.2","3","21.7",NA,NA,NA,NA
"276","2017-6192",6192,1,"6192_463_26",26,"I","7A",3658,3860,NA,7,"",360,"","","","132.2","3","21.7","4/9/18 13:37","1.55",35,"54.25"
"277","2017-6193",6193,1,"6193_174_9",9,"I","1C",3662,3866,NA,8,"drain end",84,"","","","130.5","3","19",NA,NA,NA,NA
"278","2017-6193",6193,1,"6193_333_12",12,"I","8A",3662,3866,NA,8,"",237,"","","","130.5","3","19",NA,NA,NA,NA
"279","2017-6193",6193,1,"6193_482_26",26,"I","8A",3662,3866,NA,8,"",381,"","","","130.5","3","19",NA,NA,NA,NA
"280","2017-6194",6194,0,"6194_98_9",9,"M","8A",3663,3862,NA,2,"drain end",470,"","","","130.6","3","27.6","4/28/18 15:43","5.28",35,"184.8"
"281","2017-6194",6194,0,"6194_235_12",12,"M","2C",3663,3862,NA,2,"",130,"","replacement tube","","130.6","3","27.6",NA,NA,NA,NA
"282","2017-6194",6194,0,"6194_432_26",26,"M","2C",3663,3862,NA,2,"",326,"","","","130.6","3","27.6",NA,NA,NA,NA
"283","2017-6195",6195,1,"6195_150_9",9,"I","1C",3664,3854,NA,9,"drain end",58,"","","","126.3","3","20.6",NA,NA,NA,NA
"284","2017-6195",6195,1,"6195_304_12",12,"I","9A",3664,3854,NA,9,"",206,"#3","","","126.3","3","20.6",NA,NA,NA,NA
"285","2017-6195",6195,1,"6195_501_26",26,"I","9A",3664,3854,NA,9,"",403,"","","","126.3","3","20.6","4/20/18 14:30","2.64",35,"92.4"
"286","2017-6196",6196,1,"6196_170_9",9,"I","1C",3666,3867,NA,1,"drain end",80,"","","","140.4","3","20","4/24/18 14:32","2.66",35,"93.1"
"287","2017-6196",6196,1,"6196_203_12",12,"I","1C",3666,3867,NA,1,"",97,"","","","140.4","3","20",NA,NA,NA,NA
"288","2017-6196",6196,1,"6196_408_26",26,"I","1C",3666,3867,NA,1,"",299,"","","","140.4","3","20","4/20/18 14:30","0",35,"0"
"289","2017-6197",6197,0,"6197_161_9",9,"M","1C",3667,3864,NA,3,"drain end",70,"","","","133.9","3","30.3",NA,NA,NA,NA
"290","2017-6197",6197,0,"6197_244_12",12,"M","3C",3667,3864,NA,3,"",140,"","","","133.9","3","30.3",NA,NA,NA,NA
"291","2017-6197",6197,0,"6197_449_26",26,"M","3C",3667,3864,NA,3,"",344,"","","","133.9","3","30.3",NA,NA,NA,NA
"292","2017-6198",6198,1,"6198_154_9",9,"I","1C",3668,3870,NA,2,"drain end",62,"","","","129.6","3","18.5",NA,NA,NA,NA
"293","2017-6198",6198,1,"6198_230_12",12,"I","2C",3668,3870,NA,2,"",125,"","","","129.6","3","18.5","4/23/18 17:40","5.88",35,"205.8"
"294","2017-6198",6198,1,"6198_428_26",26,"I","2C",3668,3870,NA,2,"",321,"","","","129.6","3","18.5",NA,NA,NA,NA
"295","2017-6199",6199,1,"6199_151_9",9,"I","1C",3670,3871,NA,3,"drain end",59,"","","","134.1","3","20.6","4/6/18 14:03","2.34",35,"81.9"
"296","2017-6199",6199,1,"6199_254_12",12,"I","3C",3670,3871,NA,3,"",151,"","","","134.1","3","20.6",NA,NA,NA,NA
"297","2017-6199",6199,1,"6199_445_26",26,"I","3C",3670,3871,NA,3,"",340,"","","","134.1","3","20.6",NA,NA,NA,NA
"298","2017-6200",6200,3,"6200_94_9",9,"M","1C",3675,3872,"reserve",1,"valve end",466,"to tank 1","","","130.8","3","28.1",NA,NA,NA,NA
"299","2017-6200",6200,3,"6200_208_12",12,"M","1C",3675,3872,NA,1,"",102,"","","","130.8","3","28.1",NA,NA,NA,NA
"300","2017-6200",6200,3,"6200_416_26",26,"M","1C",3675,3872,NA,1,"",308,"","","","130.8","3","28.1",NA,NA,NA,NA
"301","2017-6201",6201,1,"6201_163_9",9,"I","1C",3678,3881,NA,7,"drain end",72,"","","","134.2","3","20",NA,NA,NA,NA
"302","2017-6201",6201,1,"6201_341_12",12,"I","7A",3678,3881,NA,7,"",245,"","","","134.2","3","20",NA,NA,NA,NA
"303","2017-6201",6201,1,"6201_478_26",26,"I","7A",3678,3881,NA,7,"",376,"","","","134.2","3","20",NA,NA,NA,NA
"304","2017-6202",6202,1,"6202_109_9",9,"I","3C",3679,3893,NA,8,"drain end",12,"","","","141.8","3","22.5","4/9/18 13:37","0",35,"0"
"305","2017-6202",6202,1,"6202_337_12",12,"I","8A",3679,3893,NA,8,"",241,"","","","141.8","3","22.5",NA,NA,NA,NA
"306","2017-6202",6202,1,"6202_495_26",26,"I","8A",3679,3893,NA,8,"",395,"","","","141.8","3","22.5",NA,NA,NA,NA
"307","2017-6203",6203,0,"6203_113_9",9,"M","3C",3687,3892,NA,2,"drain end",17,"","","","133.3","4","28.8",NA,NA,NA,NA
"308","2017-6203",6203,0,"6203_222_12",12,"M","2C",3687,3892,NA,2,"",116,"","","","133.3","4","28.8","5/24/18 13:51","4.2",35,"147"
"309","2017-6203",6203,0,"6203_425_26",26,"M","2C",3687,3892,NA,2,"",318,"","","","133.3","4","28.8","5/1/18 14:28","2.84",35,"99.4"
"310","2017-6204",6204,3,"6204_114_9",9,"M","3C",3701,3709,NA,3,"drain end",18,"","","","133","3","30",NA,NA,NA,NA
"311","2017-6204",6204,3,"6204_252_12",12,"M","3C",3701,3709,NA,3,"",149,"","","","133","3","30","4/20/18 14:30","2.51",35,"87.85"
"312","2017-6204",6204,3,"6204_448_26",26,"M","3C",3701,3709,NA,3,"",343,"","","","133","3","30",NA,NA,NA,NA
"313","2017-6205",6205,0,"6205_121_9",9,"I","3C",3703,3728,NA,7,"drain end",26,"discarded first draw; discolored. 2nd draw also discolored","","","130","3","22","4/6/18 14:02","1.38",35,"48.3"
"314","2017-6205",6205,0,"6205_342_12",12,"I","7A",3703,3728,NA,7,"",246,"","","","130","3","22",NA,NA,NA,NA
"315","2017-6205",6205,0,"6205_475_26",26,"I","7A",3703,3728,NA,7,"",373,"","","","130","3","22",NA,NA,NA,NA
"316","2017-6206",6206,1,"6206_103_9",9,"I","3C",3706,3900,NA,9,"drain end",6,"","","","131.6","3","19.9",NA,NA,NA,NA
"317","2017-6206",6206,1,"6206_319_12",12,"I","9A",3706,3900,NA,9,"",221,"","","","131.6","3","19.9","5/1/18 17:59","3.22",35,"112.7"
"318","2017-6206",6206,1,"6206_509_26",26,"I","9A",3706,3900,NA,9,"",411,"","","","131.6","3","19.9",NA,NA,NA,NA
"319","2017-6207",6207,1,"6207_128_9",9,"I","3C",3707,3913,NA,1,"drain end",33,"","","","119.3","3","19",NA,NA,NA,NA
"320","2017-6207",6207,1,"6207_202_12",12,"I","1C",3707,3913,NA,1,"",96,"","","","119.3","3","19",NA,NA,NA,NA
"321","2017-6207",6207,1,"6207_412_26",26,"I","1C",3707,3913,NA,1,"",304,"","","","119.3","3","19","5/1/18 17:59","2.69",35,"94.15"
"322","2017-6208",6208,1,"6208_106_9",9,"I","3C",3710,3723,NA,2,"drain end",9,"","","","126.2","3","19.1",NA,NA,NA,NA
"323","2017-6208",6208,1,"6208_229_12",12,"I","2C",3710,3723,NA,2,"",123,"","","","126.2","3","19.1",NA,NA,NA,NA
"324","2017-6208",6208,1,"6208_435_26",26,"I","2C",3710,3723,NA,2,"",329,"","","","126.2","3","19.1",NA,NA,NA,NA
"325","2017-6209",6209,1,"6209_125_9",9,"I","3C",3714,3716,NA,3,"drain end",30,"discolored, pink/brown hemolymph","","","126.8","3","20","4/29/18 17:58","0",35,"0"
"326","2017-6209",6209,1,"6209_251_12",12,"I","3C",3714,3716,NA,3,"",148,"","","","126.8","3","20","5/1/18 14:27","5.08",35,"177.8"
"327","2017-6209",6209,1,"6209_444_26",26,"I","3C",3714,3716,NA,3,"",339,"","","","126.8","3","20","4/9/18 13:19","0.88",35,"30.8"
"328","2017-6210",6210,1,"6210_120_9",9,"I","3C",3718,3914,NA,4,"anywhere",25,"","","","127.7","3","19",NA,NA,NA,NA
"329","2017-6210",6210,1,"6210_274_12",12,"I","4W",3718,3914,NA,4,"",173,"","","","127.7","3","19",NA,NA,NA,NA
"330","2017-6210",6210,1,"6210_401_26",26,"I","4W",3718,3914,NA,4,"",292,"","","","127.7","3","19",NA,NA,NA,NA
"331","2017-6211",6211,1,"6211_118_9",9,"I","3C",3724,3890,NA,7,"drain end",22,"","","","128.8","3","19",NA,NA,NA,NA
"332","2017-6211",6211,1,"6211_349_12",12,"I","7A",3724,3890,NA,7,"",253,"BCS+","","","128.8","3","19","4/23/18 17:41","0.84",35,"29.4"
"333","2017-6211",6211,1,"6211_481_26",26,"I","7A",3724,3890,NA,7,"",380,"","","","128.8","3","19","5/24/18 17:46","3.03",35,"106.05"
"334","2017-6212",6212,1,"6212_132_9",9,"I","3C",3725,3912,NA,8,"drain end",38,"","","","145","3","21.1","4/9/18 13:19","0",35,"0"
"335","2017-6212",6212,1,"6212_334_12",12,"I","8A",3725,3912,NA,8,"",238,"","","","145","3","21.1",NA,NA,NA,NA
"336","2017-6212",6212,1,"6212_485_26",26,"I","8A",3725,3912,NA,8,"",384,"","","","145","3","21.1",NA,NA,NA,NA
"337","2017-6213",6213,0,"6213_108_9",9,"I","3C",3904,3906,NA,9,"drain end",11,"","","","124.3","3","21.6",NA,NA,NA,NA
"338","2017-6213",6213,0,"6213_310_12",12,"I","9A",3904,3906,NA,9,"",212,"","","","124.3","3","21.6",NA,NA,NA,NA
"339","2017-6213",6213,0,"6213_506_26",26,"I","9A",3904,3906,NA,9,"",408,"","","","124.3","3","21.6","8/9/18 13:02","18",10,"180"
"340","2017-6214",6214,1,"6214_107_9",9,"I","3C",3905,3920,NA,9,"drain end",10,"","","","129.1","3","18.9",NA,NA,NA,NA
"341","2017-6214",6214,1,"6214_311_12",12,"I","9A",3905,3920,NA,9,"",213,"","","","129.1","3","18.9",NA,NA,NA,NA
"342","2017-6214",6214,1,"6214_504_26",26,"I","9A",3905,3920,NA,9,"",406,"","","","129.1","3","18.9","4/10/18 17:23","0",35,"0"
"343","2017-6215",6215,1,"6215_23_9",9,"I","8A",3120,3516,NA,3,"drain end",124,"new tag 3423/3516 (3423 tag was used before)","","","112.3","3","15.1",NA,NA,NA,NA
"344","2017-6215",6215,1,"6215_253_12",12,"#N/A","3C",3423,3516,NA,3,"",150,"","","","#N/A","#N/A","#N/A","5/1/18 17:59","5.04",35,"176.4"
"345","2017-6215",6215,1,"6215_457_26",26,"#N/A","3C",3423,3516,NA,3,"",353,"","","","#N/A","#N/A","#N/A","4/6/18 13:39","2.68",35,"93.8"
"346","2017-6216",6216,0,"6216_40_9",9,"I","9A",3015,3344,NA,4,"anywhere",291,"","","","113","4","20.1",NA,NA,NA,NA
"347","2017-6216",6216,0,"6216_267_12",12,"I","4W",3015,3344,NA,4,"",165,"","11/13/17","","113","4","20.1",NA,NA,NA,NA
"348","2017-6217",6217,0,"6217_129_9",9,"I","3C",3022,3164,NA,5,"anywhere",34,"","","","123.1","3","20",NA,NA,NA,NA
"349","2017-6217",6217,0,"6217_285_12",12,"I","5W",3022,3164,NA,5,"",185,"","11/16/17","","123.1","3","20",NA,NA,NA,NA
"350","2017-6218",6218,3,"6218_93_9",9,"I","1C",3038,3289,NA,6,"drain end",465,"","","","118.3","3","17.9","3/26/18 13:25","0",35,"0"
"351","2017-6218",6218,3,"6218_373_12",12,"I","6W",3038,3289,NA,6,"",280,"","11/12/17","","118.3","3","17.9",NA,NA,NA,NA
"352","2017-6219",6219,1,"6219_116_9",9,"I","3C",3043,3135,NA,4,"anywhere",20,"","","","125.1","3","18.7",NA,NA,NA,NA
"353","2017-6219",6219,1,"6219_276_12",12,"I","4W",3043,3135,NA,4,"",175,"","11/14/17","","125.1","3","18.7","4/28/18 15:42","1.64",35,"57.4"
"354","2017-6220",6220,1,"6220_162_9",9,"I","1C",3047,3278,NA,5,"anywhere",71,"","","","82","3","6.7",NA,NA,NA,NA
"355","2017-6220",6220,1,"6220_293_12",12,"I","5W",3047,3278,NA,5,"",194,"","11/12/17","","82","3","6.7",NA,NA,NA,NA
"356","2017-6221",6221,1,"6221_16_9",9,"I","8A",3051,3535,NA,6,"anywhere",68,"","","","113.2","3","15.7","4/29/18 17:58","2.1",35,"73.5"
"357","2017-6221",6221,1,"6221_380_12",12,"I","6W",3051,3535,NA,6,"",288,"","11/12/17","","113.2","3","15.7",NA,NA,NA,NA
