"","year.FRP","FRP","infection_status","Uniq_ID","sample_day","maturity","Holding_Tank","Low_Tag","High_Tag","sample","treatment_tank","where","tube_number","Comments","death","comments","CW","SC","CH","Test_Date","Original_sample_conc_ng.ul","total_sample_vol_ul","total_yield_ng"
"28","2017-6110",6110,0,"6110_135_9",9,"I","2C",3049,3337,NA,8,"drain end",41,"","","","123.4","0","19.2",NA,NA,NA,NA
"29","2017-6110",6110,0,"6110_331_12",12,"I","8A",3049,3337,NA,8,"",235,"","","","123.4","0","19.2",NA,NA,NA,NA
"30","2017-6110",6110,0,"6110_488_26",26,"I","8A",3049,3337,NA,8,"",387,"","","","123.4","0","19.2",NA,NA,NA,NA
"31","2017-6111",6111,1,"6111_90_9",9,"I","7A",3052,3115,NA,7,"drain end",462,"","","","116.8","3","16",NA,NA,NA,NA
"32","2017-6111",6111,1,"6111_356_12",12,"I","7A",3052,3115,NA,7,"",261,"","","","116.8","3","16",NA,NA,NA,NA
"33","2017-6111",6111,1,"6111_468_26",26,"I","7A",3052,3115,NA,7,"",365,"","","","116.8","3","16",NA,NA,NA,NA
"34","2017-6112",6112,0,"6112_28_9",9,"I","8A",3053,3116,NA,9,"drain end",179,"","","","115.9","4","17.1",NA,NA,NA,NA
"35","2017-6112",6112,0,"6112_317_12",12,"I","9A",3053,3116,NA,9,"",219,"","","","115.9","4","17.1",NA,NA,NA,NA
"36","2017-6112",6112,0,"6112_499_26",26,"I","9A",3053,3116,NA,9,"",399,"","","","115.9","4","17.1",NA,NA,NA,NA
"37","2017-6113",6113,0,"6113_78_9",9,"I","7A",3062,3121,NA,1,"drain end",448,"","","","126.5","3","19.1",NA,NA,NA,NA
"38","2017-6113",6113,0,"6113_214_12",12,"I","1C",3062,3121,NA,1,"",108,"","","","126.5","3","19.1",NA,NA,NA,NA
"39","2017-6113",6113,0,"6113_419_26",26,"I","1C",3062,3121,NA,1,"",311,"","","","126.5","3","19.1","5/2/18 13:08","2.05",35,"71.75"
"40","2017-6114",6114,1,"6114_142_9",9,"I","2C",3067,3346,NA,8,"drain end",49,"","","","122.2","3","18.4",NA,NA,NA,NA
"41","2017-6114",6114,1,"6114_326_12",12,"I","8A",3067,3346,NA,8,"",229,"","","","122.2","3","18.4","4/23/18 18:02","2.12",35,"74.2"
"42","2017-6114",6114,1,"6114_484_26",26,"I","8A",3067,3346,NA,8,"",383,"","","","122.2","3","18.4",NA,NA,NA,NA
"43","2017-6115",6115,1,"6115_33_9",9,"I","9A",3068,3519,NA,9,"drain end",233,"","","","110.2","3","10.1",NA,NA,NA,NA
"44","2017-6115",6115,1,"6115_307_12",12,"I","9A",3068,3519,NA,9,"",209,"#1","replacement tube","","110.2","3","10.1",NA,NA,NA,NA
"45","2017-6115",6115,1,"6115_514_26",26,"I","9A",3068,3519,NA,9,"",416,"","","","110.2","3","10.1",NA,NA,NA,NA
"46","2017-6116",6116,1,"6116_76_9",9,"I","7A",3072,3560,NA,1,"drain end",446,"","","","120.1","3","17.1","8/9/18 13:03","Out of range",10,"#VALUE!"
"47","2017-6116",6116,1,"6116_212_12",12,"I","1C",3072,3560,NA,1,"",106,"","","","120.1","3","17.1","4/23/18 18:02","3.1",35,"108.5"
"48","2017-6116",6116,1,"6116_417_26",26,"I","1C",3072,3560,NA,1,"",309,"","","","120.1","3","17.1","4/9/18 13:37","4",35,"140"
"49","2017-6117",6117,0,"6117_42_9",9,"I","9A",3074,3282,NA,2,"drain end",312,"","","","116.8","3","19.3",NA,NA,NA,NA
"50","2017-6117",6117,0,"6117_225_12",12,"I","2C",3074,3282,NA,2,"",119,"","","","116.8","3","19.3",NA,NA,NA,NA
"51","2017-6117",6117,0,"6117_440_26",26,"I","2C",3074,3282,NA,2,"",335,"","","","116.8","3","19.3","5/2/18 13:08","3.46",35,"121.1"
"52","2017-6118",6118,1,"6118_87_9",9,"I","7A",3077,3447,NA,2,"drain end",458,"","","","124.1","3","17",NA,NA,NA,NA
"53","2017-6118",6118,1,"6118_240_12",12,"I","2C",3077,3447,NA,2,"",136,"","","","124.1","3","17",NA,NA,NA,NA
"54","2017-6118",6118,1,"6118_430_26",26,"I","2C",3077,3447,NA,2,"",324,"","","","124.1","3","17",NA,NA,NA,NA
"55","2017-6119",6119,0,"6119_153_9",9,"I","1C",3081,3210,NA,3,"drain end",61,"","","","97.7","3","13.4",NA,NA,NA,NA
"56","2017-6119",6119,0,"6119_258_12",12,"I","3C",3081,3210,NA,3,"",155,"","","","97.7","3","13.4",NA,NA,NA,NA
"57","2017-6119",6119,0,"6119_461_26",26,"I","3C",3081,3210,NA,3,"",358,"","","","97.7","3","13.4","4/6/18 14:03","3.71",35,"129.85"
"58","2017-6120",6120,1,"6120_165_9",9,"I","1C",3082,3546,NA,3,"drain end",74,"","","","90.8","3","12.3","5/24/18 17:46","4.6",35,"161"
"59","2017-6120",6120,1,"6120_248_12",12,"I","3C",3082,3546,NA,3,"",144,"","","","90.8","3","12.3",NA,NA,NA,NA
"60","2017-6120",6120,1,"6120_459_26",26,"I","3C",3082,3546,NA,3,"",355,"","","","90.8","3","12.3","4/28/18 15:42","3.32",35,"116.2"
