Sample ID,Run ID,Assay Name,Test Name,Test Date,Qubit® tube conc.,Units,Original sample conc.,Units,Sample Volume (µL),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Emission,Green RFU,Far Red RFU
6268_369_12,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143849,2019/04/30 14:38:49,315,ng/mL,31.5,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,1416.68
6210_401_26,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143855,2019/04/30 14:38:55,52.7,ng/mL,5.27,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,314.17
6180_402_26,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143901,2019/04/30 14:39:01,103,ng/mL,10.3,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,541.31
6129_403_26,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143908,2019/04/30 14:39:08,Out of range,ng/mL,Out of range,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,153.77
6103_409_26,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143916,2019/04/30 14:39:16,122,ng/mL,12.2,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,626.08
6279_411_26,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143922,2019/04/30 14:39:22,113,ng/mL,11.3,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,583.3
6278_413_26,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143930,2019/04/30 14:39:30,63.8,ng/mL,6.38,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,364.05
6101_415_26,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143936,2019/04/30 14:39:36,123,ng/mL,12.3,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,630.73
6203_425_26,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143943,2019/04/30 14:39:43,299,ng/mL,29.9,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,1357.26
6194_432_26,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143949,2019/04/30 14:39:49,267,ng/mL,26.7,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,1235.84
6102_439_26,2019-04-30_143341,RNA High sensitivity,Sample_#190430-143956,2019/04/30 14:39:56,216,ng/mL,21.6,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,1030.01
6197_449_26,2019-04-30_143341,RNA High sensitivity,Sample_#190430-144002,2019/04/30 14:40:02,198,ng/mL,19.8,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,952.49
6108_455_26,2019-04-30_143341,RNA High sensitivity,Sample_#190430-144008,2019/04/30 14:40:08,102,ng/mL,10.2,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,535.86
6215_457_26,2019-04-30_143341,RNA High sensitivity,Sample_#190430-144014,2019/04/30 14:40:14,100,ng/mL,10,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,528.9
6107_471_26,2019-04-30_143341,RNA High sensitivity,Sample_#190430-144021,2019/04/30 14:40:21,199,ng/mL,19.9,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,958.38
6123_473_26,2019-04-30_143341,RNA High sensitivity,Sample_#190430-144027,2019/04/30 14:40:27,99.1,ng/mL,9.91,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,523
6109_480_26,2019-04-30_143341,RNA High sensitivity,Sample_#190430-144034,2019/04/30 14:40:34,198,ng/mL,19.8,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,954.67
6211_481_26,2019-04-30_143341,RNA High sensitivity,Sample_#190430-144041,2019/04/30 14:40:41,179,ng/mL,17.9,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,873.35
6114_484_26,2019-04-30_143341,RNA High sensitivity,Sample_#190430-144047,2019/04/30 14:40:47,238,ng/mL,23.8,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,1117.49
6212_485_26,2019-04-30_143341,RNA High sensitivity,Sample_#190430-144054,2019/04/30 14:40:54,76.1,ng/mL,7.61,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,419.45
6110_488_26,2019-04-30_143341,RNA High sensitivity,Sample_#190430-144101,2019/04/30 14:41:01,234,ng/mL,23.4,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,1101.02
6139_493_26,2019-04-30_143341,RNA High sensitivity,Sample_#190430-144110,2019/04/30 14:41:10,40.2,ng/mL,4.02,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,257.9
6112_499_26,2019-04-30_143341,RNA High sensitivity,Sample_#190430-144116,2019/04/30 14:41:16,195,ng/mL,19.5,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,943.53
6214_504_26,2019-04-30_143341,RNA High sensitivity,Sample_#190430-144123,2019/04/30 14:41:23,132,ng/mL,13.2,ng/µL,2,100,91.57,2047.7,,Red,Far Red,,667.8
