"","target","content","sample","cq","cq_mean","cq_sd","sq","log_sq","sq_sd","sq_all.runs_mean","rep_pos.neg","sample_pos.neg","year_FRP","FRP","run","comments"
"139","Hemato","Unkn-15","38-C07","30.26",30.28,0.026,247,"2.393",4.53,124.3125,"pos","pos","2017-6131",6131,"4/24/18 first",""
"140","Hemato","Unkn-15","38-C07","30.29",30.28,0.026,241,"2.382",4.53,124.3125,"pos","pos","2017-6131",6131,"4/24/18 first",""
"141","Hemato","Unkn-11","31-G06","37.35",37.35,0,1.92,"0.282",0,58.98,"neg","neg","2017-6132",6132,"4/25/18 first",""
"142","Hemato","Unkn-11","31-G06","N/A",0,0,0,"N/A",0,58.98,"neg","neg","2017-6132",6132,"4/25/18 first",""
"143","Hemato","Unkn-01","37-F01","30.63",30.45,0.257,102,"2.009",21.5,58.98,"pos","pos","2017-6132",6132,"4/24/18 second",""
"144","Hemato","Unkn-01","37-F01","30.26",30.45,0.257,132,"2.122",21.5,58.98,"pos","pos","2017-6132",6132,"4/24/18 second",""
"145","Hemato","Unkn-02","30-B07","38.02",37.9,0.179,0.758,"-1.20E-01",0.105,105.66625,"neg","neg","2017-6133",6133,"4/25/18 fourth",""
"146","Hemato","Unkn-02","30-B07","37.76",37.9,0.179,0.907,"-4.20E-02",0.105,105.66625,"neg","neg","2017-6133",6133,"4/25/18 fourth",""
"147","Hemato","Unkn-31","37-B05","29.58",29.62,0.054,216,"2.335",8.13,105.66625,"pos","pos","2017-6133",6133,"4/24/18 second",""
"148","Hemato","Unkn-31","37-B05","29.66",29.62,0.054,205,"2.311",8.13,105.66625,"pos","pos","2017-6133",6133,"4/24/18 second",""
"149","Hemato","Unkn-05","31-A07","30.42",30.4,0.053,165,"2.22E+00",6.43,145.75,"pos","pos","2017-6134",6134,"4/25/18 fourth",""
"150","Hemato","Unkn-05","31-A07","30.35",30.4,0.053,174,"2.24E+00",6.43,145.75,"pos","pos","2017-6134",6134,"4/25/18 fourth",""
"151","Hemato","Unkn-34","38-G01","30.43",30.55,0.162,132,"2.119",14.1,145.75,"pos","pos","2017-6134",6134,"3/29/18 second",""
"152","Hemato","Unkn-34","38-G01","30.66",30.55,0.162,112,"2.048",14.1,145.75,"pos","pos","2017-6134",6134,"3/29/18 second",""
"153","Hemato","Unkn-12","32-G04","36.19",36.19,0,0.979,"-0.009",0,114.99475,"neg","neg","2017-6135",6135,"4/25/18 second",""
"154","Hemato","Unkn-12","32-G04","N/A",0,0,0,"N/A",0,114.99475,"neg","neg","2017-6135",6135,"4/25/18 second",""
"155","Hemato","Unkn-13","38-C05","30.32",30.36,0.058,236,"2.374",9.44,114.99475,"pos","pos","2017-6135",6135,"4/24/18 first",""
"156","Hemato","Unkn-13","38-C05","30.4",30.36,0.058,223,"2.348",9.44,114.99475,"pos","pos","2017-6135",6135,"4/24/18 first",""
"157","Hemato","Unkn-06","31-G02","N/A",0,0,0,"N/A",0,110.33,"neg","neg","2017-6136",6136,"4/25/18 first",""
"158","Hemato","Unkn-06","31-G02","37.07",37.07,0,2.32,"0.365",0,110.33,"neg","neg","2017-6136",6136,"4/25/18 first",""
"159","Hemato","Unkn-08","38-B05","30.39",30.43,0.055,226,"2.353",8.65,110.33,"pos","pos","2017-6136",6136,"4/24/18 first",""
"160","Hemato","Unkn-08","38-B05","30.47",30.43,0.055,213,"2.329",8.65,110.33,"pos","pos","2017-6136",6136,"4/24/18 first",""
"161","Hemato","Unkn-25","31-A11","30.44",30.4,0.045,164,"2.21E+00",5.39,530.833333333333,"pos","pos","2017-6137",6137,"4/25/18 fourth",""
"162","Hemato","Unkn-25","31-A11","30.37",30.4,0.045,171,"2.23E+00",5.39,530.833333333333,"pos","pos","2017-6137",6137,"4/25/18 fourth",""
"163","","Unkn-20","38-D06","30.42",30.28,0.196,600,"2.78E+00",87.9,530.833333333333,"pos","pos","2017-6137",6137,"3/27/18 third",""
"164","","Unkn-20","38-D06","30.14",30.28,0.196,725,"2.86E+00",87.9,530.833333333333,"pos","pos","2017-6137",6137,"3/27/18 third",""
"165","Hemato","Unkn-19","38-D06","28.53",28.68,0.216,845,"2.927",117,530.833333333333,"pos","pos","2017-6137",6137,"4/24/18 first",""
"166","Hemato","Unkn-19","38-D06","28.84",28.68,0.216,680,"2.832",117,530.833333333333,"pos","pos","2017-6137",6137,"4/24/18 first",""
"167","Hemato","Unkn-40","31-F02","33.2",33.3,0.152,16.9,"1.228",1.69,42.05,"pos","pos","2017-6138",6138,"4/25/18 third",""
"168","Hemato","Unkn-40","31-F02","33.41",33.3,0.152,14.5,"1.162",1.69,42.05,"pos","pos","2017-6138",6138,"4/25/18 third",""
"169","Hemato","Unkn-30","37-F07","31.82",32,0.256,76.9,"1.886",12,42.05,"pos","pos","2017-6138",6138,"3/29/18 1st",""
"170","Hemato","Unkn-30","37-F07","32.18",32,0.256,59.9,"1.778",12,42.05,"pos","pos","2017-6138",6138,"3/29/18 1st",""
"171","Hemato","","32-B08","",NA,NA,NA,"",NA,NA,"","pos 4 rep ","2017-6139",6139,"","out of DNA"
"172","Hemato","Unkn-18","38-D05","31.21",31.25,0.061,126,"2.101",5.26,NA,"pos","pos","2017-6139",6139,"4/24/18 first",""
"173","Hemato","Unkn-18","38-D05","31.29",31.25,0.061,119,"2.074",5.26,NA,"pos","pos","2017-6139",6139,"4/24/18 first",""
"174","Hemato","Unkn-30","34-H01","34.59",34.36,0.332,6.47,"8.11E-01",1.81,59.1225,"pos","pos","2017-6140",6140,"4/27/18 2nd",""
"175","Hemato","Unkn-30","34-H01","34.12",34.36,0.332,9.02,"9.55E-01",1.81,59.1225,"pos","pos","2017-6140",6140,"4/27/18 2nd",""
"176","Hemato","Unkn-22","37-E04","31.21",31.29,0.117,117,"2.067",8.87,59.1225,"pos","pos","2017-6140",6140,"3/29/18 1st",""
"177","Hemato","Unkn-22","37-E04","31.38",31.29,0.117,104,"2.017",8.87,59.1225,"pos","pos","2017-6140",6140,"3/29/18 1st",""
"178","Hemato","Unkn-27","32-G08","23.07",23.22,0.215,14600,"4.163",2060,6788.75,"pos","pos","2017-6141",6141,"4/25/18 second",""
"179","Hemato","Unkn-27","32-G08","23.37",23.22,0.215,11700,"4.067",2060,6788.75,"pos","pos","2017-6141",6141,"4/25/18 second",""
"180","Hemato","Unkn-20","37-D07","29.24",29.32,0.12,452,"2.655",35.1,6788.75,"pos","pos","2017-6141",6141,"3/29/18 1st",""
"181","Hemato","Unkn-20","37-D07","29.41",29.32,0.12,403,"2.605",35.1,6788.75,"pos","pos","2017-6141",6141,"3/29/18 1st",""
"182","Hemato","Unkn-12","31-H10","26.51",26.54,0.036,3410,"3.533",82.7,2607.5,"pos","pos","2017-6142",6142,"4/25/18 first",""
"183","Hemato","Unkn-12","31-H10","26.56",26.54,0.036,3300,"3.518",82.7,2607.5,"pos","pos","2017-6142",6142,"4/25/18 first",""
"184","Hemato","Unkn-40","38-H02","27.02",26.77,0.364,1520,"3.183",481,2607.5,"pos","pos","2017-6142",6142,"3/29/18 second",""
