"","FRP","Uniq_ID","trtmnt_tank","sample_day","infection_status","maturity","tube_number","Test_Date","Original_sample_conc_ng.ul","total_sample_vol_ul","total_yield_ng"
"593",6120,"6120_459_26","cold",26,1,"I","459-2",NA,NA,NA,NA
"594",6126,"6126_418_26","cold",26,1,"I","418-2",NA,NA,NA,NA
"595",6128,"6128_441_26","cold",26,1,"I","441-2",NA,NA,NA,NA
"596",6132,"6132_406_26","cold",26,0,"I","406-2",NA,NA,NA,NA
"597",6133,"6133_434_26","cold",26,0,"I","434-2",NA,NA,NA,NA
"598",6138,"6138_453_26","cold",26,0,"I","453-2",NA,NA,NA,NA
"599",6140,"6140_429_26","cold",26,1,"I","429-2",NA,NA,NA,NA
"600",6141,"6141_451_26","cold",26,1,"I","451-2",NA,NA,NA,NA
"601",6147,"6147_421_26","cold",26,0,"I","421-2",NA,NA,NA,NA
"602",6148,"6148_405_26","cold",26,1,"I","405-2",NA,NA,NA,NA
"603",6149,"6149_437_26","cold",26,1,"I","437-2",NA,NA,NA,NA
"604",6151,"6151_454_26","cold",26,1,"I","454-2",NA,NA,NA,NA
"605",6153,"6153_404_26","cold",26,0,"M","404-2",NA,NA,NA,NA
"606",6154,"6154_436_26","cold",26,0,"I","436-2",NA,NA,NA,NA
"607",6156,"6156_446_26","cold",26,0,"I","446-2",NA,NA,NA,NA
"608",6157,"6157_423_26","cold",26,0,"M","423-2",NA,NA,NA,NA
"609",6160,"6160_426_26","cold",26,0,"M","426-2",NA,NA,NA,NA
"610",6162,"6162_407_26","cold",26,1,"I","407-2",NA,NA,NA,NA
"611",6163,"6163_424_26","cold",26,1,"I","424-2",NA,NA,NA,NA
"612",6164,"6164_460_26","cold",26,1,"I","460-2",NA,NA,NA,NA
"613",6167,"6167_414_26","cold",26,0,"I","414-2",NA,NA,NA,NA
"614",6171,"6171_427_26","cold",26,0,"I","427-2",NA,NA,NA,NA
"615",6172,"6172_517_26","cold",26,0,"M","517-2",NA,NA,NA,NA
"616",6173,"6173_420_26","cold",26,1,"I","420-2",NA,NA,NA,NA
"617",6174,"6174_433_26","cold",26,1,"I","433-2",NA,NA,NA,NA
"618",6175,"6175_447_26","cold",26,0,"I","447-2",NA,NA,NA,NA
"619",6177,"6177_456_26","cold",26,1,"I","456-2",NA,NA,NA,NA
"620",6178,"6178_410_26","cold",26,0,"M","410-2",NA,NA,NA,NA
"621",6187,"6187_431_26","cold",26,1,"I","431-2",NA,NA,NA,NA
"622",6188,"6188_443_26","cold",26,1,"I","443-2",NA,NA,NA,NA
"623",6189,"6189_422_26","cold",26,0,"I","422-2",NA,NA,NA,NA
"624",6190,"6190_452_26","cold",26,3,"M","452-2",NA,NA,NA,NA
"625",6191,"6191_442_26","cold",26,0,"I","442-2",NA,NA,NA,NA
"626",6194,"6194_432_26","cold",26,0,"M","432-2",NA,NA,NA,NA
"627",6196,"6196_408_26","cold",26,1,"I","408-2",NA,NA,NA,NA
"628",6197,"6197_449_26","cold",26,0,"M","449-2",NA,NA,NA,NA
"629",6198,"6198_428_26","cold",26,1,"I","428-2",NA,NA,NA,NA
"630",6199,"6199_445_26","cold",26,1,"I","445-2",NA,NA,NA,NA
"631",6200,"6200_416_26","cold",26,3,"M","416-2",NA,NA,NA,NA
"632",6203,"6203_425_26","cold",26,0,"M","425-2",NA,NA,NA,NA
"633",6204,"6204_448_26","cold",26,3,"M","448-2",NA,NA,NA,NA
"634",6207,"6207_412_26","cold",26,1,"I","412-2",NA,NA,NA,NA
"635",6208,"6208_435_26","cold",26,1,"I","435-2",NA,NA,NA,NA
"636",6209,"6209_444_26","cold",26,1,"I","444-2",NA,NA,NA,NA
"637",6215,"6215_457_26","cold",26,1,"#N/A","457-2",NA,NA,NA,NA
"638",6278,"6278_413_26","cold",26,1,"I","413-2",NA,NA,NA,NA
"639",6279,"6279_411_26","cold",26,1,"I","411-2",NA,NA,NA,NA
"640",6101,"6101_415_26","cold",26,0,"I","415-3",NA,NA,NA,NA
"641",6102,"6102_439_26","cold",26,0,"I","439-3",NA,NA,NA,NA
"642",6103,"6103_409_26","cold",26,1,"I","409-3",NA,NA,NA,NA
"643",6104,"6104_458_26","cold",26,0,"I","458-3",NA,NA,NA,NA
"644",6105,"6105_438_26","cold",26,1,"I","438-3",NA,NA,NA,NA
"645",6106,"6106_450_26","cold",26,0,"M","450-3",NA,NA,NA,NA
"646",6108,"6108_455_26","cold",26,1,"I","455-3",NA,NA,NA,NA
"647",6113,"6113_419_26","cold",26,0,"I","419-3",NA,NA,NA,NA
"648",6116,"6116_417_26","cold",26,1,"I","417-3",NA,NA,NA,NA
"649",6117,"6117_440_26","cold",26,0,"I","440-3",NA,NA,NA,NA
"650",6118,"6118_430_26","cold",26,1,"I","430-3",NA,NA,NA,NA
"651",6119,"6119_461_26","cold",26,0,"I","461-3",NA,NA,NA,NA
"652",6120,"6120_459_26","cold",26,1,"I","459-3",NA,NA,NA,NA
"653",6126,"6126_418_26","cold",26,1,"I","418-3",NA,NA,NA,NA
"654",6128,"6128_441_26","cold",26,1,"I","441-3",NA,NA,NA,NA
"655",6132,"6132_406_26","cold",26,0,"I","406-3",NA,NA,NA,NA
"656",6133,"6133_434_26","cold",26,0,"I","434-3",NA,NA,NA,NA
"657",6138,"6138_453_26","cold",26,0,"I","453-3",NA,NA,NA,NA
"658",6140,"6140_429_26","cold",26,1,"I","429-3",NA,NA,NA,NA
"659",6141,"6141_451_26","cold",26,1,"I","451-3",NA,NA,NA,NA
"660",6147,"6147_421_26","cold",26,0,"I","421-3",NA,NA,NA,NA
"661",6148,"6148_405_26","cold",26,1,"I","405-3",NA,NA,NA,NA
"662",6149,"6149_437_26","cold",26,1,"I","437-3",NA,NA,NA,NA
"663",6151,"6151_454_26","cold",26,1,"I","454-3",NA,NA,NA,NA
"664",6153,"6153_404_26","cold",26,0,"M","404-3",NA,NA,NA,NA
"665",6154,"6154_436_26","cold",26,0,"I","436-3",NA,NA,NA,NA
"666",6156,"6156_446_26","cold",26,0,"I","446-3",NA,NA,NA,NA
"667",6157,"6157_423_26","cold",26,0,"M","423-3",NA,NA,NA,NA
"668",6160,"6160_426_26","cold",26,0,"M","426-3",NA,NA,NA,NA
"669",6162,"6162_407_26","cold",26,1,"I","407-3",NA,NA,NA,NA
"670",6163,"6163_424_26","cold",26,1,"I","424-3",NA,NA,NA,NA
"671",6164,"6164_460_26","cold",26,1,"I","460-3",NA,NA,NA,NA
"672",6167,"6167_414_26","cold",26,0,"I","414-3",NA,NA,NA,NA
"673",6171,"6171_427_26","cold",26,0,"I","427-3",NA,NA,NA,NA
"674",6172,"6172_517_26","cold",26,0,"M","517-3",NA,NA,NA,NA
"675",6173,"6173_420_26","cold",26,1,"I","420-3",NA,NA,NA,NA
"676",6174,"6174_433_26","cold",26,1,"I","433-3",NA,NA,NA,NA
"677",6175,"6175_447_26","cold",26,0,"I","447-3",NA,NA,NA,NA
"678",6177,"6177_456_26","cold",26,1,"I","456-3",NA,NA,NA,NA
"679",6178,"6178_410_26","cold",26,0,"M","410-3",NA,NA,NA,NA
"680",6187,"6187_431_26","cold",26,1,"I","431-3",NA,NA,NA,NA
"681",6188,"6188_443_26","cold",26,1,"I","443-3",NA,NA,NA,NA
"682",6189,"6189_422_26","cold",26,0,"I","422-3",NA,NA,NA,NA
"683",6190,"6190_452_26","cold",26,3,"M","452-3",NA,NA,NA,NA
"684",6191,"6191_442_26","cold",26,0,"I","442-3",NA,NA,NA,NA
"685",6194,"6194_432_26","cold",26,0,"M","432-3",NA,NA,NA,NA
"686",6196,"6196_408_26","cold",26,1,"I","408-3",NA,NA,NA,NA
"687",6197,"6197_449_26","cold",26,0,"M","449-3",NA,NA,NA,NA
"688",6198,"6198_428_26","cold",26,1,"I","428-3",NA,NA,NA,NA
"689",6199,"6199_445_26","cold",26,1,"I","445-3",NA,NA,NA,NA
"690",6200,"6200_416_26","cold",26,3,"M","416-3",NA,NA,NA,NA
"691",6203,"6203_425_26","cold",26,0,"M","425-3",NA,NA,NA,NA
"692",6204,"6204_448_26","cold",26,3,"M","448-3",NA,NA,NA,NA
"693",6207,"6207_412_26","cold",26,1,"I","412-3",NA,NA,NA,NA
"694",6208,"6208_435_26","cold",26,1,"I","435-3",NA,NA,NA,NA
"695",6209,"6209_444_26","cold",26,1,"I","444-3",NA,NA,NA,NA
"696",6215,"6215_457_26","cold",26,1,"#N/A","457-3",NA,NA,NA,NA
"697",6278,"6278_413_26","cold",26,1,"I","413-3",NA,NA,NA,NA
"698",6279,"6279_411_26","cold",26,1,"I","411-3",NA,NA,NA,NA
"699",6129,"6129_403_26","warm",26,1,"I","403-1","4/20/18 14:30","2.64",35,"92.4"
"700",6180,"6180_402_26","warm",26,0,"I","402-1","4/20/18 14:30","1.46",35,"51.1"
"701",6210,"6210_401_26","warm",26,1,"I","401-1","4/20/18 14:30","2.18",35,"76.3"
"702",6129,"6129_403_26","warm",26,1,"I","403-2",NA,NA,NA,NA
"703",6180,"6180_402_26","warm",26,0,"I","402-2",NA,NA,NA,NA
"704",6210,"6210_401_26","warm",26,1,"I","401-2",NA,NA,NA,NA
"705",6129,"6129_403_26","warm",26,1,"I","403-3",NA,NA,NA,NA
"706",6180,"6180_402_26","warm",26,0,"I","402-3",NA,NA,NA,NA
"707",6210,"6210_401_26","warm",26,1,"I","401-3",NA,NA,NA,NA
"708",6280,"6280_tes_NA",NA,NA,3,NA,"test-1",NA,NA,NA,NA
"709",6281,"6281_tes_NA",NA,NA,3,"I","test-2",NA,NA,NA,NA
