year.FRP,FRP,Uniq_ID,sample_day,infection_status.x,maturity,Holding_Tank,Low_Tag,High_Tag,sample,treatment_tank.x,temp_trtmnt,where,tube_number.x,Comments,death,comments.x,CW,SC,CH,Test_Date,Original_sample_conc_ng/ul,volume_ul,total_yield_ng,comments.y
2017-6166,6166,6166_496_26,26,0,I,8A,3378,3534,NA,8,ambient,,496,,,,91.8,3,11.3,4/25/18 14:21,5.88,,,
2017-6167,6167,6167_45_9,9,0,I,9A,3382,3481,NA,1,cold,drain end,45,,,,110.7,3,12.4,4/29/18 17:58,5.4,,,
2017-6167,6167,6167_207_12,12,0,I,1C,3382,3481,NA,1,cold,,207,,,,110.7,3,12.4,4/29/18 17:58,1.88,,,
2017-6167,6167,6167_414_26,26,0,I,1C,3382,3481,NA,1,cold,,414,,,,110.7,3,12.4,4/29/18 17:59,7.52,,,
2017-6168,6168,6168_27_9,9,1,I,8A,3385,3554,NA,7,ambient,drain end,27,,,,99.5,3,13.7,NA,NA,,,NA
2017-6168,6168,6168_357_12,12,1,I,7A,3385,3554,NA,7,ambient,,357,,,,99.5,3,13.7,NA,NA,,,NA
2017-6168,6168,6168_466_26,26,1,I,7A,3385,3554,NA,7,ambient,,466,,,,99.5,3,13.7,NA,NA,,,NA
2017-6169,6169,6169_57_9,9,1,I,7A,3391,3550,NA,8,ambient,drain end,57,,,,117.2,3,16.8,NA,NA,,,NA
2017-6169,6169,6169_328_12,12,1,I,8A,3391,3550,NA,8,ambient,,328,,,,117.2,3,16.8,NA,NA,,,NA
2017-6169,6169,6169_486_26,26,1,I,8A,3391,3550,NA,8,ambient,,486,,,,117.2,3,16.8,NA,NA,,,NA
2017-6170,6170,6170_70_9,9,1,I,7A,3397,3553,NA,9,ambient,drain end,70,,,,117.2,3,15.4,NA,NA,,,NA
2017-6170,6170,6170_320_12,12,1,I,9A,3397,3553,NA,9,ambient,,320,,,,117.2,3,15.4,NA,NA,,,NA
2017-6170,6170,6170_516_26,26,1,I,9A,3397,3553,NA,9,ambient,,516,,,,117.2,3,15.4,NA,NA,,,NA
2017-6171,6171,6171_73_9,9,0,I,7A,3400,3464,NA,2,cold,drain end,73,,,,127.4,3,19.3,5/2/18 13:08,5.28,,,
2017-6171,6171,6171_221_12,12,0,I,2C,3400,3464,NA,2,cold,,221,,,,127.4,3,19.3,NA,NA,,,NA
2017-6171,6171,6171_427_26,26,0,I,2C,3400,3464,NA,2,cold,,427,,,,127.4,3,19.3,NA,NA,,,NA
2017-6172,6172,"6172_60,_9",9,0,M,7A,3438,3457,NA,1,cold,drain end,"60, 100",,"short 1 crab in tank 1C: crab 3438/3457 should have been placed in trtmnt 1C, but was returned to unsampled pool after blood draw, then later pulled out again, sampled & put in 9A.",,116.3,3,24.4,NA,NA,,,NA
2017-6172,6172,6172_316_12,12,0,M,9A,3438,3457,NA,1,cold,,316,,,,116.3,3,24.4,NA,NA,,,NA
2017-6172,6172,6172_517_26,26,0,M,9A,3438,3457,NA,1,cold,,517,,,,116.3,3,24.4,NA,NA,,,NA
2017-6173,6173,6173_63_9,9,1,I,7A,3448,3468,NA,1,cold,drain end,63,,,,95,3,14.1,NA,NA,,,NA
2017-6173,6173,6173_210_12,12,1,I,1C,3448,3468,NA,1,cold,,210,,,,95,3,14.1,NA,NA,,,NA
2017-6173,6173,6173_420_26,26,1,I,1C,3448,3468,NA,1,cold,,420,,,,95,3,14.1,NA,NA,,,NA
2017-6174,6174,6174_20_9,9,1,I,8A,3475,3524,NA,2,cold,drain end,20,,,,117.4,3,15.9,NA,NA,,,NA
2017-6174,6174,6174_233_12,12,1,I,2C,3475,3524,NA,2,cold,,233,,,,117.4,3,15.9,NA,NA,,,NA
2017-6174,6174,6174_433_26,26,1,I,2C,3475,3524,NA,2,cold,,433,,,,117.4,3,15.9,NA,NA,,,NA
2017-6175,6175,6175_67_9,9,0,I,7A,3498,3523,NA,3,cold,drain end,67,,"Hmm, should have gone into tank 1, but went into tank 9.",,116.4,4,19.6,NA,NA,,,NA
2017-6175,6175,6175_246_12,12,0,I,3C,3498,3523,NA,3,cold,,246,,,,116.4,4,19.6,NA,NA,,,NA
2017-6175,6175,6175_447_26,26,0,I,3C,3498,3523,NA,3,cold,,447,,,,116.4,4,19.6,NA,NA,,,NA
2017-6176,6176,6176_48_9,9,0,M,9A,3512,3537,NA,8,ambient,drain end,48,,,,102.3,3,20.1,NA,NA,,,NA
2017-6176,6176,6176_329_12,12,0,M,8A,3512,3537,NA,8,ambient,,329,,,,102.3,3,20.1,NA,NA,,,NA
2017-6176,6176,6176_490_26,26,0,M,8A,3512,3537,NA,8,ambient,,490,,,,102.3,3,20.1,NA,NA,,,NA
2017-6177,6177,6177_54_9,9,1,I,7A,3532,3594,NA,3,cold,drain end,54,,,,120.2,3,17.1,NA,NA,,,NA
2017-6177,6177,6177_250_12,12,1,I,3C,3532,3594,NA,3,cold,,250,,,,120.2,3,17.1,NA,NA,,,NA
2017-6177,6177,6177_456_26,26,1,I,3C,3532,3594,NA,3,cold,,456,,,,120.2,3,17.1,NA,NA,,,NA
2017-6178,6178,6178_124_9,9,0,M,3C,3544,3559,NA,1,cold,drain end,124,,,,138.6,3,30,NA,NA,,,NA
2017-6178,6178,6178_218_12,12,0,M,1C,3544,3559,NA,1,cold,,218,,,,138.6,3,30,NA,NA,,,NA
2017-6178,6178,6178_410_26,26,0,M,1C,3544,3559,NA,1,cold,,410,,,,138.6,3,30,NA,NA,,,NA
2017-6179,6179,6179_34_9,9,0,M,9A,3561,3588,NA,9,ambient,drain end,34,,,,117.4,4,23.2,NA,NA,,,NA
2017-6179,6179,6179_315_12,12,0,M,9A,3561,3588,NA,9,ambient,,315,,,,117.4,4,23.2,NA,NA,,,NA
2017-6179,6179,6179_515_26,26,0,M,9A,3561,3588,NA,9,ambient,,515,,,,117.4,4,23.2,NA,NA,,,NA
2017-6180,6180,6180_149_9,9,0,I,2C,3610,3813,NA,6,warm,anywhere,149,,,,125.4,3,19.5,4/20/18 14:30,2.51,,,
2017-6180,6180,6180_370_12,12,0,I,6W,3610,3813,NA,6,warm,,370,,,,125.4,3,19.5,4/20/18 14:30,1.8,,,
2017-6180,6180,6180_402_26,26,0,I,6W,3610,3813,NA,6,warm,,402,,,,125.4,3,19.5,4/20/18 14:30,1.46,,,
2017-6181,6181,6181_175_9,9,0,I,1C,3616,3846,NA,7,ambient,drain end,175,,,,133.4,3,20.4,4/28/18 15:42,1.64,,,
2017-6181,6181,6181_355_12,12,0,I,7A,3616,3846,NA,7,ambient,,355,,,,133.4,3,20.4,4/28/18 15:42,3.32,,,
2017-6181,6181,6181_470_26,26,0,I,7A,3616,3846,NA,7,ambient,,470,,,,133.4,3,20.4,4/28/18 15:43,5.28,,,
2017-6182,6182,6182_137_9,9,1,I,2C,3617,3831,NA,7,ambient,drain end,137,,,,141.4,4,21.1,NA,NA,,,NA
2017-6182,6182,6182_354_12,12,1,I,7A,3617,3831,NA,7,ambient,,354,BCS+,,,141.4,4,21.1,NA,NA,,,NA
2017-6182,6182,6182_462_26,26,1,I,7A,3617,3831,NA,7,ambient,,462,,,,141.4,4,21.1,NA,NA,,,NA
2017-6183,6183,6183_141_9,9,1,I,2C,3619,3804,NA,8,ambient,drain end,141,,,,140,3,21.1,NA,NA,,,NA
2017-6183,6183,6183_322_12,12,1,I,8A,3619,3804,NA,8,ambient,,322,,,,140,3,21.1,NA,NA,,,NA
2017-6183,6183,6183_494_26,26,1,I,8A,3619,3804,NA,8,ambient,,494,,,,140,3,21.1,NA,NA,,,NA
2017-6184,6184,6184_148_9,9,1,I,2C,3628,3809,NA,9,ambient,drain end,148,,,,121.9,3,17.3,5/1/18 14:27,5.08,,,
2017-6184,6184,6184_318_12,12,1,I,9A,3628,3809,NA,9,ambient,,318,,,,121.9,3,17.3,5/1/18 14:28,2.84,,,
2017-6184,6184,6184_513_26,26,1,I,9A,3628,3809,NA,9,ambient,,513,,,,121.9,3,17.3,5/1/18 14:28,1.44,,,
2017-6185,6185,6185_145_9,9,0,I,2C,3630,3824,NA,8,ambient,drain end,145,,,,124.8,3,21.8,4/28/18 15:42,4.4,,,
2017-6185,6185,6185_336_12,12,0,I,8A,3630,3824,NA,8,ambient,,336,,,,124.8,3,21.8,4/28/18 15:42,2.62,,,
2017-6185,6185,6185_487_26,26,0,I,8A,3630,3824,NA,8,ambient,,487,,,,124.8,3,21.8,4/28/18 15:43,3.51,,,
2017-6186,6186,6186_171_9,9,0,I,1C,3638,3843,NA,9,ambient,drain end,171,,,,129.4,3,20.8,4/28/18 15:42,3.41,,,
2017-6186,6186,6186_306_12,12,0,I,9A,3638,3843,NA,9,ambient,,306,#2,replacement tube,,129.4,3,20.8,4/28/18 15:43,3.03,,,
2017-6186,6186,6186_510_26,26,0,I,9A,3638,3843,NA,9,ambient,,510,,,,129.4,3,20.8,4/28/18 15:43,1.62,,,
2017-6187,6187,6187_158_9,9,1,I,1C,3641,3838,NA,2,cold,drain end,158,,,,129.9,3,19.1,NA,NA,,,NA
2017-6187,6187,6187_239_12,12,1,I,2C,3641,3838,NA,2,cold,,239,,,,129.9,3,19.1,NA,NA,,,NA
2017-6187,6187,6187_431_26,26,1,I,2C,3641,3838,NA,2,cold,,431,,,,129.9,3,19.1,NA,NA,,,NA
2017-6188,6188,6188_172_9,9,1,I,1C,3642,3837,NA,3,cold,drain end,172,,,,128.9,3,20.3,NA,NA,,,NA
2017-6188,6188,6188_245_12,12,1,I,3C,3642,3837,NA,3,cold,,245,,,,128.9,3,20.3,NA,NA,,,NA
2017-6188,6188,6188_443_26,26,1,I,3C,3642,3837,NA,3,cold,,443,,,,128.9,3,20.3,NA,NA,,,NA
2017-6189,6189,6189_176_9,9,0,I,1C,3643,3850,NA,1,cold,drain end,176,,,,126.4,3,20.8,NA,NA,,,NA
2017-6189,6189,6189_216_12,12,0,I,1C,3643,3850,NA,1,cold,,216,,,,126.4,3,20.8,NA,NA,,,NA
2017-6189,6189,6189_422_26,26,0,I,1C,3643,3850,NA,1,cold,,422,,,,126.4,3,20.8,NA,NA,,,NA
2017-6190,6190,6190_101_9,9,3,M,1C,3648,3841,reserve,1,cold,valve end,101,"There are 2 tubes recorded as 101 (3C, 8A), but there are no tube #s missing.",,,126.2,3,25.8,NA,NA,,,NA
2017-6190,6190,6190_256_12,12,3,M,3C,3648,3841,NA,1,cold,,256,,,,126.2,3,25.8,NA,NA,,,NA
2017-6190,6190,6190_452_26,26,3,M,3C,3648,3841,NA,1,cold,,452,,,,126.2,3,25.8,NA,NA,,,NA
2017-6191,6191,6191_95_9,9,0,I,1C,3649,3852,NA,2,cold,drain end,95,,,,127.2,3,20.5,NA,NA,,,NA
2017-6191,6191,6191_227_12,12,0,I,2C,3649,3852,NA,2,cold,,227,,,,127.2,3,20.5,NA,NA,,,NA
2017-6191,6191,6191_442_26,26,0,I,2C,3649,3852,NA,2,cold,,442,,,,127.2,3,20.5,NA,NA,,,NA
2017-6192,6192,6192_178_9,9,1,I,1C,3658,3860,NA,7,ambient,drain end,178,,,,132.2,3,21.7,5/1/18 14:27,26,,,
2017-6192,6192,6192_359_12,12,1,I,7A,3658,3860,NA,7,ambient,,359,,,,132.2,3,21.7,5/1/18 14:28,5.68,,,
2017-6192,6192,6192_463_26,26,1,I,7A,3658,3860,NA,7,ambient,,463,,,,132.2,3,21.7,5/1/18 14:28,2.83,,,
2017-6193,6193,6193_174_9,9,1,I,1C,3662,3866,NA,8,ambient,drain end,174,,,,130.5,3,19,5/1/18 14:28,3.36,,,
2017-6193,6193,6193_333_12,12,1,I,8A,3662,3866,NA,8,ambient,,333,,,,130.5,3,19,5/1/18 14:28,6.08,,,
2017-6193,6193,6193_482_26,26,1,I,8A,3662,3866,NA,8,ambient,,482,,,,130.5,3,19,5/1/18 14:29,5.12,,,
2017-6194,6194,6194_98_9,9,0,M,8A,3663,3862,NA,2,cold,drain end,98,,,,130.6,3,27.6,NA,NA,,,NA
2017-6194,6194,6194_235_12,12,0,M,2C,3663,3862,NA,2,cold,,235,,replacement tube,,130.6,3,27.6,NA,NA,,,NA
2017-6194,6194,6194_432_26,26,0,M,2C,3663,3862,NA,2,cold,,432,,,,130.6,3,27.6,NA,NA,,,NA
2017-6195,6195,6195_150_9,9,1,I,1C,3664,3854,NA,9,ambient,drain end,150,,,,126.3,3,20.6,NA,NA,,,NA
2017-6195,6195,6195_304_12,12,1,I,9A,3664,3854,NA,9,ambient,,304,#3,,,126.3,3,20.6,NA,NA,,,NA
2017-6195,6195,6195_501_26,26,1,I,9A,3664,3854,NA,9,ambient,,501,,,,126.3,3,20.6,NA,NA,,,NA
2017-6196,6196,6196_170_9,9,1,I,1C,3666,3867,NA,1,cold,drain end,170,,,,140.4,3,20,NA,NA,,,NA
2017-6196,6196,6196_203_12,12,1,I,1C,3666,3867,NA,1,cold,,203,,,,140.4,3,20,NA,NA,,,NA
2017-6196,6196,6196_408_26,26,1,I,1C,3666,3867,NA,1,cold,,408,,,,140.4,3,20,NA,NA,,,NA
2017-6197,6197,6197_161_9,9,0,M,1C,3667,3864,NA,3,cold,drain end,161,,,,133.9,3,30.3,NA,NA,,,NA
2017-6197,6197,6197_244_12,12,0,M,3C,3667,3864,NA,3,cold,,244,,,,133.9,3,30.3,NA,NA,,,NA
2017-6197,6197,6197_449_26,26,0,M,3C,3667,3864,NA,3,cold,,449,,,,133.9,3,30.3,NA,NA,,,NA
2017-6198,6198,6198_154_9,9,1,I,1C,3668,3870,NA,2,cold,drain end,154,,,,129.6,3,18.5,4/4/18 13:58,1.32,,,
2017-6198,6198,6198_230_12,12,1,I,2C,3668,3870,NA,2,cold,,230,,,,129.6,3,18.5,4/23/18 18:02,6.2,,,
2017-6198,6198,6198_428_26,26,1,I,2C,3668,3870,NA,2,cold,,428,,,,129.6,3,18.5,4/4/18 13:58,2.75,,,
2017-6199,6199,6199_151_9,9,1,I,1C,3670,3871,NA,3,cold,drain end,151,,,,134.1,3,20.6,NA,NA,,,NA
2017-6199,6199,6199_254_12,12,1,I,3C,3670,3871,NA,3,cold,,254,,,,134.1,3,20.6,NA,NA,,,NA
2017-6199,6199,6199_445_26,26,1,I,3C,3670,3871,NA,3,cold,,445,,,,134.1,3,20.6,NA,NA,,,NA
2017-6200,6200,6200_94_9,9,3,M,1C,3675,3872,reserve,1,cold,valve end,94,to tank 1,,,130.8,3,28.1,NA,NA,,,NA
2017-6200,6200,6200_208_12,12,3,M,1C,3675,3872,NA,1,cold,,208,,,,130.8,3,28.1,NA,NA,,,NA
2017-6200,6200,6200_416_26,26,3,M,1C,3675,3872,NA,1,cold,,416,,,,130.8,3,28.1,NA,NA,,,NA
2017-6201,6201,6201_163_9,9,1,I,1C,3678,3881,NA,7,ambient,drain end,163,,,,134.2,3,20,NA,NA,,,NA
2017-6201,6201,6201_341_12,12,1,I,7A,3678,3881,NA,7,ambient,,341,,,,134.2,3,20,NA,NA,,,NA
2017-6201,6201,6201_478_26,26,1,I,7A,3678,3881,NA,7,ambient,,478,,,,134.2,3,20,NA,NA,,,NA
2017-6202,6202,6202_109_9,9,1,I,3C,3679,3893,NA,8,ambient,drain end,109,,,,141.8,3,22.5,NA,NA,,,NA
2017-6202,6202,6202_337_12,12,1,I,8A,3679,3893,NA,8,ambient,,337,,,,141.8,3,22.5,NA,NA,,,NA
2017-6202,6202,6202_495_26,26,1,I,8A,3679,3893,NA,8,ambient,,495,,,,141.8,3,22.5,NA,NA,,,NA
2017-6203,6203,6203_113_9,9,0,M,3C,3687,3892,NA,2,cold,drain end,113,,,,133.3,4,28.8,NA,NA,,,NA
2017-6203,6203,6203_222_12,12,0,M,2C,3687,3892,NA,2,cold,,222,,,,133.3,4,28.8,NA,NA,,,NA
2017-6203,6203,6203_425_26,26,0,M,2C,3687,3892,NA,2,cold,,425,,,,133.3,4,28.8,NA,NA,,,NA
2017-6204,6204,6204_114_9,9,3,M,3C,3701,3709,NA,3,cold,drain end,114,,,,133,3,30,NA,NA,,,NA
2017-6204,6204,6204_252_12,12,3,M,3C,3701,3709,NA,3,cold,,252,,,,133,3,30,NA,NA,,,NA
2017-6204,6204,6204_448_26,26,3,M,3C,3701,3709,NA,3,cold,,448,,,,133,3,30,NA,NA,,,NA
2017-6205,6205,6205_121_9,9,0,I,3C,3703,3728,NA,7,ambient,drain end,121,discarded first draw; discolored. 2nd draw also discolored,,,130,3,22,NA,NA,,,NA
2017-6205,6205,6205_342_12,12,0,I,7A,3703,3728,NA,7,ambient,,342,,,,130,3,22,NA,NA,,,NA
2017-6205,6205,6205_475_26,26,0,I,7A,3703,3728,NA,7,ambient,,475,,,,130,3,22,NA,NA,,,NA
2017-6206,6206,6206_103_9,9,1,I,3C,3706,3900,NA,9,ambient,drain end,103,,,,131.6,3,19.9,NA,NA,,,NA
2017-6206,6206,6206_319_12,12,1,I,9A,3706,3900,NA,9,ambient,,319,,,,131.6,3,19.9,NA,NA,,,NA
2017-6206,6206,6206_509_26,26,1,I,9A,3706,3900,NA,9,ambient,,509,,,,131.6,3,19.9,NA,NA,,,NA
2017-6207,6207,6207_128_9,9,1,I,3C,3707,3913,NA,1,cold,drain end,128,,,,119.3,3,19,4/23/18 18:01,5.32,,,
2017-6207,6207,6207_202_12,12,1,I,1C,3707,3913,NA,1,cold,,202,,,,119.3,3,19,4/23/18 18:02,4.68,,,
2017-6207,6207,6207_412_26,26,1,I,1C,3707,3913,NA,1,cold,,412,,,,119.3,3,19,4/23/18 18:02,5,,,
2017-6208,6208,6208_106_9,9,1,I,3C,3710,3723,NA,2,cold,drain end,106,,,,126.2,3,19.1,4/23/18 18:02,3.1,,,
2017-6208,6208,6208_229_12,12,1,I,2C,3710,3723,NA,2,cold,,229,,,,126.2,3,19.1,4/23/18 18:02,2.12,,,
2017-6208,6208,6208_435_26,26,1,I,2C,3710,3723,NA,2,cold,,435,,,,126.2,3,19.1,4/23/18 18:02,0.92,,,
2017-6209,6209,6209_125_9,9,1,I,3C,3714,3716,NA,3,cold,drain end,125,"discolored, pink/brown hemolymph",,,126.8,3,20,4/23/18 17:40,5.88,,,
2017-6209,6209,6209_251_12,12,1,I,3C,3714,3716,NA,3,cold,,251,,,,126.8,3,20,4/23/18 17:40,4.8,,,
2017-6209,6209,6209_444_26,26,1,I,3C,3714,3716,NA,3,cold,,444,,,,126.8,3,20,4/23/18 17:40,8.24,,,
2017-6210,6210,6210_120_9,9,1,I,3C,3718,3914,NA,4,warm,anywhere,120,,,,127.7,3,19,4/20/18 14:18,0,,,
2017-6210,6210,6210_274_12,12,1,I,4W,3718,3914,NA,4,warm,,274,,,,127.7,3,19,4/20/18 14:30,2.44,,,
2017-6210,6210,6210_401_26,26,1,I,4W,3718,3914,NA,4,warm,,401,,,,127.7,3,19,4/20/18 14:30,2.18,,,
2017-6211,6211,6211_118_9,9,1,I,3C,3724,3890,NA,7,ambient,drain end,118,,,,128.8,3,19,NA,NA,,,NA
2017-6211,6211,6211_349_12,12,1,I,7A,3724,3890,NA,7,ambient,,349,BCS+,,,128.8,3,19,NA,NA,,,NA
2017-6211,6211,6211_481_26,26,1,I,7A,3724,3890,NA,7,ambient,,481,,,,128.8,3,19,NA,NA,,,NA
2017-6212,6212,6212_132_9,9,1,I,3C,3725,3912,NA,8,ambient,drain end,132,,,,145,3,21.1,NA,NA,,,NA
2017-6212,6212,6212_334_12,12,1,I,8A,3725,3912,NA,8,ambient,,334,,,,145,3,21.1,NA,NA,,,NA
2017-6212,6212,6212_485_26,26,1,I,8A,3725,3912,NA,8,ambient,,485,,,,145,3,21.1,NA,NA,,,NA
2017-6213,6213,6213_108_9,9,0,I,3C,3904,3906,NA,9,ambient,drain end,108,,,,124.3,3,21.6,NA,NA,,,NA
2017-6213,6213,6213_310_12,12,0,I,9A,3904,3906,NA,9,ambient,,310,,,,124.3,3,21.6,NA,NA,,,NA
2017-6213,6213,6213_506_26,26,0,I,9A,3904,3906,NA,9,ambient,,506,,,,124.3,3,21.6,NA,NA,,,NA
2017-6214,6214,6214_107_9,9,1,I,3C,3905,3920,NA,9,ambient,drain end,107,,,,129.1,3,18.9,5/2/18 13:07,2.59,,,
2017-6214,6214,6214_311_12,12,1,I,9A,3905,3920,NA,9,ambient,,311,,,,129.1,3,18.9,5/2/18 13:08,2.05,,,
2017-6214,6214,6214_504_26,26,1,I,9A,3905,3920,NA,9,ambient,,504,,,,129.1,3,18.9,5/2/18 13:08,15.5,,,
2017-6215,6215,6215_23_9,9,1,I,8A,3120,3516,NA,3,cold,drain end,23,new tag 3423/3516 (3423 tag was used before),,,112.3,3,15.1,4/23/18 17:41,1.16,,,
2017-6215,6215,6215_253_12,12,1,#N/A,3C,3423,3516,NA,3,cold,,253,,,,#N/A,#N/A,#N/A,NA,NA,,,NA
2017-6215,6215,6215_457_26,26,1,#N/A,3C,3423,3516,NA,3,cold,,457,,,,#N/A,#N/A,#N/A,NA,NA,,,NA
2017-6216,6216,6216_40_9,9,0,I,9A,3015,3344,NA,4,warm,anywhere,40,,,,113,4,20.1,5/23/18 14:54,1.75,,,
2017-6216,6216,6216_267_12,12,0,I,4W,3015,3344,NA,4,warm,,267,,11/13/17,,113,4,20.1,5/23/18 14:54,4.88,,,11/13/17
2017-6217,6217,6217_129_9,9,0,I,3C,3022,3164,NA,5,warm,anywhere,129,,,,123.1,3,20,NA,NA,,,NA
2017-6217,6217,6217_285_12,12,0,I,5W,3022,3164,NA,5,warm,,285,,11/16/17,,123.1,3,20,NA,NA,,,NA
2017-6218,6218,6218_93_9,9,3,I,1C,3038,3289,NA,6,warm,drain end,93,,,,118.3,3,17.9,NA,NA,,,NA
2017-6218,6218,6218_373_12,12,3,I,6W,3038,3289,NA,6,warm,,373,,11/12/17,,118.3,3,17.9,NA,NA,,,NA
2017-6219,6219,6219_116_9,9,1,I,3C,3043,3135,NA,4,warm,anywhere,116,,,,125.1,3,18.7,5/24/18 13:51,4.2,,,
2017-6219,6219,6219_276_12,12,1,I,4W,3043,3135,NA,4,warm,,276,,11/14/17,,125.1,3,18.7,5/24/18 13:51,4.2,,,11/14/17
2017-6220,6220,6220_162_9,9,1,I,1C,3047,3278,NA,5,warm,anywhere,162,,,,82,3,6.7,5/24/18 13:51,2.88,,,
2017-6220,6220,6220_293_12,12,1,I,5W,3047,3278,NA,5,warm,,293,,11/12/17,,82,3,6.7,5/24/18 13:51,8.52,,,11/12/17
2017-6221,6221,6221_16_9,9,1,I,8A,3051,3535,NA,6,warm,anywhere,16,,,,113.2,3,15.7,5/24/18 17:46,10.2,,,
2017-6221,6221,6221_380_12,12,1,I,6W,3051,3535,NA,6,warm,,380,,11/12/17,,113.2,3,15.7,5/24/18 17:46,3.03,,,11/12/17
2017-6222,6222,6222_1_9,9,0,M,8A,3057,3445,NA,4,warm,anywhere,1,,,,117.6,4,26.6,NA,NA,,,NA
2017-6222,6222,6222_266_12,12,0,M,4W,3057,3445,NA,4,warm,,266,,11/13/17,,117.6,4,26.6,NA,NA,,,NA
2017-6223,6223,6223_44_9,9,0,M,9A,3080,3511,NA,4,warm,anywhere,44,,,,113.7,3,22.1,NA,NA,,,NA
2017-6223,6223,6223_270_12,12,0,M,4W,3080,3511,NA,4,warm,,270,,11/14/17,,113.7,3,22.1,NA,NA,,,NA
2017-6224,6224,6224_74_9,9,1,I,7A,3083,3429,NA,4,warm,drain end,74,,,,122,3,17.1,5/24/18 17:46,4.6,,,
2017-6224,6224,6224_277_12,12,1,I,4W,3083,3429,NA,4,warm,,277,,11/13/17,,122,3,17.1,5/24/18 17:46,9.32,,,11/13/17
2017-6225,6225,6225_92_9,9,1,I,7A,3084,3377,NA,5,warm,drain end,92,,,,118.2,3,15.2,5/24/18 17:46,6.56,,,
2017-6225,6225,6225_298_12,12,1,I,5W,3084,3377,NA,5,warm,,298,,11/11/17,,118.2,3,15.2,5/24/18 17:47,2.1,,,11/11/17
2017-6226,6226,6226_85_9,9,0,I,7A,3085,3233,NA,4,warm,drain end,85,,,,124.8,3,18.8,5/23/18 14:55,10.8,,,
2017-6226,6226,6226_260_12,12,0,I,4W,3085,3233,NA,4,warm,,260,,11/13/17,,124.8,3,18.8,5/23/18 14:55,8.28,,,11/13/17
2017-6227,6227,6227_83_9,9,1,I,7A,3086,3155,NA,6,warm,drain end,83,,,,116.7,3,17,5/24/18 17:47,3.44,,,
2017-6227,6227,6227_366_12,12,1,I,6W,3086,3155,NA,6,warm,,366,,11/12/17,,116.7,3,17,5/24/18 17:47,2.41,,,11/12/17
2017-6228,6228,6228_29_9,9,0,I,8A,3087,3462,NA,5,warm,anywhere,29,,,,127.7,4,19.4,NA,NA,,,NA
2017-6228,6228,6228_290_12,12,0,I,5W,3087,3462,NA,5,warm,,290,,11/17/17,,127.7,4,19.4,NA,NA,,,NA
2017-6229,6229,6229_89_9,9,0,I,7A,3090,3496,NA,6,warm,drain end,89,,,,109.4,3,13.9,5/23/18 14:55,4.96,,,
2017-6229,6229,6229_379_12,12,0,I,6W,3090,3496,NA,6,warm,,379,,11/15/17,,109.4,3,13.9,5/23/18 14:55,3.94,,,11/15/17
2017-6230,6230,6230_22_9,9,0,M,8A,3118,3474,NA,5,warm,anywhere,22,,,,114.5,4,24.1,NA,NA,,,NA
2017-6230,6230,6230_292_12,12,0,M,5W,3118,3474,NA,5,warm,,292,,11/16/17,,114.5,4,24.1,NA,NA,,,NA
2017-6231,6231,6231_102_9,9,1,I,3C,3122,3163,NA,4,warm,anywhere,102,,,,133.6,3,22.6,NA,NA,,,NA
2017-6231,6231,6231_278_12,12,1,I,4W,3122,3163,NA,4,warm,,278,,11/14/17,,133.6,3,22.6,NA,NA,,,NA
2017-6232,6232,6232_52_9,9,0,M,9A,3144,3319,NA,5,warm,anywhere,52,,,,119.4,3,23,NA,NA,,,NA
2017-6232,6232,6232_286_12,12,0,M,5W,3144,3319,NA,5,warm,,286,,11/12/17,,119.4,3,23,NA,NA,,,NA
2017-6233,6233,6233_117_9,9,1,I,3C,3148,3256,NA,6,warm,anywhere,117,,,,108,3,16.1,NA,NA,,,NA
2017-6233,6233,6233_371_12,12,1,I,6W,3148,3256,NA,6,warm,,371,,11/12/17,,108,3,16.1,NA,NA,,,NA
2017-6234,6234,6234_2_9,9,0,I,8A,3177,3283,NA,4,warm,anywhere,2,,,,127.4,4,18.2,NA,NA,,,NA
2017-6234,6234,6234_263_12,12,0,I,4W,3177,3283,NA,4,warm,,263,,11/13/17,,127.4,4,18.2,NA,NA,,,NA
2017-6235,6235,6235_35_9,9,0,I,9A,3188,3223,NA,5,warm,anywhere,35,,,,110.3,4,18.7,NA,NA,,,NA
2017-6235,6235,6235_297_12,12,0,I,5W,3188,3223,NA,5,warm,,297,,11/11/17,,110.3,4,18.7,NA,NA,,,NA
2017-6236,6236,6236_157_9,9,0,I,1C,3195,3350,NA,6,warm,anywhere,157,,,,118.7,3,19,5/23/18 14:55,7.6,,,
2017-6236,6236,6236_361_12,12,0,I,6W,3195,3350,NA,6,warm,,361,,11/12/17,,118.7,3,19,5/23/18 14:55,6.52,,,11/12/17
2017-6237,6237,6237_17_9,9,1,I,8A,3202,3549,NA,4,warm,anywhere,17,,,,115.3,3,15.7,NA,NA,,,NA
2017-6237,6237,6237_271_12,12,1,I,4W,3202,3549,NA,4,warm,,271,,11/12/17,,115.3,3,15.7,NA,NA,,,NA
2017-6238,6238,6238_9_9,9,0,M,8A,3205,3243,NA,6,warm,anywhere,9,,,,118.6,4,24.3,NA,NA,,,NA
2017-6238,6238,6238_375_12,12,0,M,6W,3205,3243,NA,6,warm,,375,,11/12/17,,118.6,4,24.3,NA,NA,,,NA
2017-6239,6239,6239_166_9,9,1,I,1C,3212,3562,NA,5,warm,anywhere,166,,,,87.3,3,12.1,NA,NA,,,NA
