Sample_Date,Sample_day,Uniq_ID,FRP-date,infection_status,maturity,holding_tank,treatment_tank,tube_number,temperature_treatment,Qubit_tube_conc,FRP,,,,comments
11/8/17,9,6196_170_9,2017-6196,1,I,1C,1,170,cold,#N/A,6196,,,,
11/10/17,12,6196_203_12,2017-6196,1,I,1C,1,203,cold,#N/A,6196,,,,
11/27/17,26,6196_408_26,2017-6196,1,I,1C,1,408,cold,#N/A,6196,,,,
11/8/17,9,6187_158_9,2017-6187,1,I,1C,2,158,cold,#N/A,6187,,,,
11/10/17,12,6187_239_12,2017-6187,1,I,2C,2,239,cold,#N/A,6187,,,,
11/27/17,26,6187_431_26,2017-6187,1,I,2C,2,431,cold,#N/A,6187,,,,
11/8/17,9,6188_172_9,2017-6188,1,I,1C,3,172,cold,#N/A,6188,,,,
11/10/17,12,6188_245_12,2017-6188,1,I,3C,3,245,cold,#N/A,6188,,,,
11/27/17,26,6188_443_26,2017-6188,1,I,3C,3,443,cold,#N/A,6188,,,,
11/8/17,9,6177_54_9,2017-6177,1,I,7A,3,54,cold,#N/A,6177,,,,
11/10/17,12,6177_250_12,2017-6177,1,I,3C,3,250,cold,#N/A,6177,,,,
11/27/17,26,6177_456_26,2017-6177,1,I,3C,3,456,cold,#N/A,6177,,,,
11/8/17,9,6173_63_9,2017-6173,1,I,7A,1,63,cold,#N/A,6173,,,,
11/10/17,12,6173_210_12,2017-6173,1,I,1C,1,210,cold,#N/A,6173,,,,
11/27/17,26,6173_420_26,2017-6173,1,I,1C,1,420,cold,#N/A,6173,,,,
11/8/17,9,6174_20_9,2017-6174,1,I,8A,2,20,cold,#N/A,6174,,,,
11/10/17,12,6174_233_12,2017-6174,1,I,2C,2,233,cold,#N/A,6174,,,,
11/27/17,26,6174_433_26,2017-6174,1,I,2C,2,433,cold,#N/A,6174,,,,
11/8/17,9,6164_71_9,2017-6164,1,I,7A,3,71,cold,#N/A,6164,,,,3351/3580
11/10/17,12,6164_257_12,2017-6164,1,I,3C,3,257,cold,#N/A,6164,,,,
11/27/17,26,6164_460_26,2017-6164,1,I,3C,3,460,cold,#N/A,6164,,,,
11/8/17,9,6162_61_9,2017-6162,1,I,7A,1,61,cold,#N/A,6162,,,,
11/10/17,12,6162_220_12,2017-6162,1,I,1C,1,220,cold,#N/A,6162,,,,
11/27/17,26,6162_407_26,2017-6162,1,I,1C,1,407,cold,#N/A,6162,,,,
11/8/17,9,6151_19_9,2017-6151,1,I,8A,3,19,cold,#N/A,6151,,,,
11/10/17,12,6151_243_12,2017-6151,1,I,3C,3,243,cold,#N/A,6151,,,,
11/27/17,26,6151_454_26,2017-6151,1,I,3C,3,454,cold,#N/A,6151,,,,
11/8/17,9,6148_56_9,2017-6148,1,I,7A,1,56,cold,#N/A,6148,,,,
11/10/17,12,6148_213_12,2017-6148,1,I,1C,1,213,cold,#N/A,6148,,,,
11/27/17,26,6148_405_26,2017-6148,1,I,1C,1,405,cold,#N/A,6148,,,,
11/8/17,9,6149_64_9,2017-6149,1,I,7A,2,64,cold,#N/A,6149,,,,
11/10/17,12,6149_226_12,2017-6149,1,I,2C,2,226,cold,#N/A,6149,,,,
11/27/17,26,6149_437_26,2017-6149,1,I,2C,2,437,cold,#N/A,6149,,,,
11/8/17,9,6140_8_9,2017-6140,1,I,8A,2,8,cold,#N/A,6140,,,,
11/10/17,12,6140_237_12,2017-6140,1,I,2C,2,237,cold,#N/A,6140,,,,
11/27/17,26,6140_429_26,2017-6140,1,I,2C,2,429,cold,#N/A,6140,,,,
11/8/17,9,6141_123_9,2017-6141,1,I,3C,3,123,cold,#N/A,6141,,,,
11/10/17,12,6141_249_12,2017-6141,1,I,3C,3,249,cold,#N/A,6141,,,,
11/27/17,26,6141_451_26,2017-6141,1,I,3C,3,451,cold,#N/A,6141,,,,
11/8/17,9,6128_112_9,2017-6128,1,I,3C,2,112,cold,#N/A,6128,,,,
11/10/17,12,6128_231_12,2017-6128,1,I,2C,2,231,cold,#N/A,6128,,,,
11/27/17,26,6128_441_26,2017-6128,1,I,2C,2,441,cold,#N/A,6128,,,,
11/8/17,9,6126_79_9,2017-6126,1,I,7A,1,79,cold,#N/A,6126,,,,
11/10/17,12,6126_201_12,2017-6126,1,I,1C,1,201,cold,#N/A,6126,,,,
11/27/17,26,6126_418_26,2017-6126,1,I,1C,1,418,cold,#N/A,6126,,,,
11/8/17,9,6120_165_9,2017-6120,1,I,1C,3,165,cold,#N/A,6120,,,,
11/10/17,12,6120_248_12,2017-6120,1,I,3C,3,248,cold,#N/A,6120,,,,
11/27/17,26,6120_459_26,2017-6120,1,I,3C,3,459,cold,#N/A,6120,,,,
11/8/17,9,6118_87_9,2017-6118,1,I,7A,2,87,cold,#N/A,6118,,,,
11/10/17,12,6118_240_12,2017-6118,1,I,2C,2,240,cold,#N/A,6118,,,,
11/27/17,26,6118_430_26,2017-6118,1,I,2C,2,430,cold,#N/A,6118,,,,
11/8/17,9,6132_88_9,2017-6132,0,I,7A,1,88,cold,70.3,6132,,,,
11/10/17,12,6132_205_12,2017-6132,0,I,1C,1,205,cold,40.9,6132,,,,
11/27/17,26,6132_406_26,2017-6132,0,I,1C,1,406,cold,0,6132,,,,
11/8/17,9,6189_176_9,2017-6189,0,I,1C,1,176,cold,#N/A,6189,,,,
11/10/17,12,6189_216_12,2017-6189,0,I,1C,1,216,cold,#N/A,6189,,,,
11/27/17,26,6189_422_26,2017-6189,0,I,1C,1,422,cold,#N/A,6189,,,,
11/8/17,9,6133_36_9,2017-6133,0,I,9A,2,36,cold,104,6133,,,,
11/10/17,12,6133_223_12,2017-6133,0,I,2C,2,223,cold,206,6133,,,,
11/27/17,26,6133_434_26,2017-6133,0,I,2C,2,434,cold,97.4,6133,,,,
11/8/17,9,6156_24_9,2017-6156,0,I,8A,3,24,cold,#N/A,6156,,,,
11/10/17,12,6156_242_12,2017-6156,0,I,3C,3,242,cold,#N/A,6156,,,,
11/27/17,26,6156_446_26,2017-6156,0,I,3C,3,446,cold,#N/A,6156,,,,
11/8/17,9,6138_80_9,2017-6138,0,I,7A,3,80,cold,66.6,6138,,,,
11/10/17,12,6138_247_12,2017-6138,0,I,3C,3,247,cold,161,6138,,,,
11/27/17,26,6138_453_26,2017-6138,0,I,3C,3,453,cold,154,6138,,,,
11/8/17,9,6113_78_9,2017-6113,0,I,7A,1,78,cold,54.8,6113,,,,
11/10/17,12,6113_214_12,2017-6113,0,I,1C,1,214,cold,88.7,6113,,,,
11/27/17,26,6113_419_26,2017-6113,0,I,1C,1,419,cold,141,6113,,,,
11/8/17,9,6117_42_9,2017-6117,0,I,9A,2,42,cold,0,6117,,,,
11/10/17,12,6117_225_12,2017-6117,0,I,2C,2,225,cold,44.1,6117,,,,
11/27/17,26,6117_440_26,2017-6117,0,I,2C,2,440,cold,44.2,6117,,,,
11/8/17,9,6119_153_9,2017-6119,0,I,1C,3,153,cold,50.6,6119,,,,
11/10/17,12,6119_258_12,2017-6119,0,I,3C,3,258,cold,96.4,6119,,,,
11/27/17,26,6119_461_26,2017-6119,0,I,3C,3,461,cold,0,6119,,,,
11/8/17,9,6132_88_9,2017-6132,0,I,7A,1,88,cold,70.3,6132,,,,
11/10/17,12,6132_205_12,2017-6132,0,I,1C,1,205,cold,40.9,6132,,,,
11/27/17,26,6132_406_26,2017-6132,0,I,1C,1,406,cold,0,6132,,,,
11/8/17,9,6133_36_9,2017-6133,0,I,9A,2,36,cold,104,6133,,,,
11/10/17,12,6133_223_12,2017-6133,0,I,2C,2,223,cold,206,6133,,,,
11/27/17,26,6133_434_26,2017-6133,0,I,2C,2,434,cold,97.4,6133,,,,
11/8/17,9,6138_80_9,2017-6138,0,I,7A,3,80,cold,66.6,6138,,,,
11/10/17,12,6138_247_12,2017-6138,0,I,3C,3,247,cold,161,6138,,,,
11/27/17,26,6138_453_26,2017-6138,0,I,3C,3,453,cold,154,6138,,,,
11/8/17,9,6147_30_9,2017-6147,0,I,8A,1,30,cold,#N/A,6147,,,,
11/10/17,12,6147_204_12,2017-6147,0,I,1C,1,204,cold,#N/A,6147,,,,
11/27/17,26,6147_421_26,2017-6147,0,I,1C,1,421,cold,#N/A,6147,,,,
11/8/17,9,6154_68_9,2017-6154,0,I,7A,2,68,cold,#N/A,6154,,,,
11/10/17,12,6154_232_12,2017-6154,0,I,2C,2,232,cold,#N/A,6154,,,,
11/27/17,26,6154_436_26,2017-6154,0,I,2C,2,436,cold,#N/A,6154,,,,
11/8/17,9,6167_45_9,2017-6167,0,I,9A,1,45,cold,#N/A,6167,,,,
11/10/17,12,6167_207_12,2017-6167,0,I,1C,1,207,cold,#N/A,6167,,,,
11/27/17,26,6167_414_26,2017-6167,0,I,1C,1,414,cold,#N/A,6167,,,,
11/8/17,9,6171_73_9,2017-6171,0,I,7A,2,73,cold,#N/A,6171,,,,
11/10/17,12,6171_221_12,2017-6171,0,I,2C,2,221,cold,#N/A,6171,,,,
11/27/17,26,6171_427_26,2017-6171,0,I,2C,2,427,cold,#N/A,6171,,,,
11/8/17,9,6175_67_9,2017-6175,0,I,7A,3,67,cold,#N/A,6175,,,,
11/10/17,12,6175_246_12,2017-6175,0,I,3C,3,246,cold,#N/A,6175,,,,
11/27/17,26,6175_447_26,2017-6175,0,I,3C,3,447,cold,#N/A,6175,,,,
11/8/17,9,6189_176_9,2017-6189,0,I,1C,1,176,cold,#N/A,6189,,,,
11/10/17,12,6189_216_12,2017-6189,0,I,1C,1,216,cold,#N/A,6189,,,,
11/27/17,26,6189_422_26,2017-6189,0,I,1C,1,422,cold,#N/A,6189,,,,
11/8/17,9,6191_95_9,2017-6191,0,I,1C,2,95,cold,#N/A,6191,,,,
11/10/17,12,6191_227_12,2017-6191,0,I,2C,2,227,cold,#N/A,6191,,,,
11/27/17,26,6191_442_26,2017-6191,0,I,2C,2,442,cold,#N/A,6191,,,,
11/8/17,9,6106_5_9,2017-6106,0,M,8A,3,5,cold,#N/A,6106,,,,
11/10/17,12,6106_241_12,2017-6106,0,M,3C,3,241,cold,#N/A,6106,,,,
11/27/17,26,6106_450_26,2017-6106,0,M,3C,3,450,cold,#N/A,6106,,,,
11/8/17,9,6153_11_9,2017-6153,0,M,8A,1,11,cold,#N/A,6153,,,,
11/10/17,12,6153_209_12,2017-6153,0,M,1C,1,209,cold,#N/A,6153,,,,
11/27/17,26,6153_404_26,2017-6153,0,M,1C,1,404,cold,#N/A,6153,,,,
11/8/17,9,6157_169_9,2017-6157,0,M,1C,2,169,cold,#N/A,6157,,,,
11/10/17,12,6157_224_12,2017-6157,0,M,2C,2,224,cold,#N/A,6157,,,,
11/27/17,26,6157_423_26,2017-6157,0,M,2C,2,423,cold,#N/A,6157,,,,
11/8/17,9,6160_7_9,2017-6160,0,M,8A,2,7,cold,#N/A,6160,,,,
11/10/17,12,6160_238_12,2017-6160,0,M,2C,2,238,cold,#N/A,6160,,,,
11/27/17,26,6160_426_26,2017-6160,0,M,2C,2,426,cold,#N/A,6160,,,,
11/8/17,9,6178_124_9,2017-6178,0,M,3C,1,124,cold,#N/A,6178,,,,
11/10/17,12,6178_218_12,2017-6178,0,M,1C,1,218,cold,#N/A,6178,,,,
11/27/17,26,6178_410_26,2017-6178,0,M,1C,1,410,cold,#N/A,6178,,,,
11/8/17,9,6194_98_9,2017-6194,0,M,8A,2,98,cold,#N/A,6194,,,,
11/10/17,12,6194_235_12,2017-6194,0,M,2C,2,235,cold,#N/A,6194,,,,
11/27/17,26,6194_432_26,2017-6194,0,M,2C,2,432,cold,#N/A,6194,,,,
11/8/17,9,6197_161_9,2017-6197,0,M,1C,3,161,cold,#N/A,6197,,,,
11/10/17,12,6197_244_12,2017-6197,0,M,3C,3,244,cold,#N/A,6197,,,,
11/27/17,26,6197_449_26,2017-6197,0,M,3C,3,449,cold,#N/A,6197,,,,
11/8/17,9,6203_113_9,2017-6203,0,M,3C,2,113,cold,#N/A,6203,,,,
11/10/17,12,6203_222_12,2017-6203,0,M,2C,2,222,cold,#N/A,6203,,,,
11/27/17,26,6203_425_26,2017-6203,0,M,2C,2,425,cold,#N/A,6203,,,,
11/8/17,9,6111_90_9,2017-6111,1,I,7A,7,90,ambient,#N/A,6111,,,,
11/10/17,12,6111_356_12,2017-6111,1,I,7A,7,356,ambient,#N/A,6111,,,,
11/27/17,26,6111_468_26,2017-6111,1,I,7A,7,468,ambient,#N/A,6111,,,,
11/8/17,9,6114_142_9,2017-6114,1,I,2C,8,142,ambient,#N/A,6114,,,,
11/10/17,12,6114_326_12,2017-6114,1,I,8A,8,326,ambient,#N/A,6114,,,,
11/27/17,26,6114_484_26,2017-6114,1,I,8A,8,484,ambient,#N/A,6114,,,,
11/8/17,9,6115_33_9,2017-6115,1,I,9A,9,33,ambient,#N/A,6115,,,,
11/10/17,12,6115_307_12,2017-6115,1,I,9A,9,307,ambient,#N/A,6115,,,,#1
11/27/17,26,6115_514_26,2017-6115,1,I,9A,9,514,ambient,#N/A,6115,,,,
11/8/17,9,6121_15_9,2017-6121,1,I,8A,7,15,ambient,#N/A,6121,,,,
11/10/17,12,6121_352_12,2017-6121,1,I,7A,7,352,ambient,#N/A,6121,,,,
11/27/17,26,6121_472_26,2017-6121,1,I,7A,7,472,ambient,#N/A,6121,,,,
11/8/17,9,6122_133_9,2017-6122,1,I,3C,8,133,ambient,#N/A,6122,,,,
11/10/17,12,6122_325_12,2017-6122,1,I,8A,8,325,ambient,#N/A,6122,,,,
11/27/17,26,6122_489_26,2017-6122,1,I,8A,8,489,ambient,#N/A,6122,,,,
11/8/17,9,6125_144_9,2017-6125,1,I,2C,9,144,ambient,#N/A,6125,,,,
11/10/17,12,6125_303_12,2017-6125,1,I,9A,9,303,ambient,#N/A,6125,,,,
11/27/17,26,6125_503_26,2017-6125,1,I,9A,9,503,ambient,#N/A,6125,,,,
11/8/17,9,6134_77_9,2017-6134,1,I,7A,7,77,ambient,42.8,6134,,,,
11/10/17,12,6134_353_12,2017-6134,1,I,7A,7,353,ambient,67,6134,,,,
11/27/17,26,6134_465_26,2017-6134,1,I,7A,7,465,ambient,0,6134,,,,
11/8/17,9,6135_4_9,2017-6135,1,I,8A,8,4,ambient,88,6135,,,,
11/10/17,12,6135_327_12,2017-6135,1,I,8A,8,327,ambient,50.2,6135,,,,
11/27/17,26,6135_492_26,2017-6135,1,I,8A,8,492,ambient,26.9,6135,,,,
11/8/17,9,6144_14_9,2017-6144,1,I,8A,7,14,ambient,123,6144,,,,
11/10/17,12,6144_348_12,2017-6144,1,I,7A,7,348,ambient,144,6144,,,,
11/27/17,26,6144_477_26,2017-6144,1,I,7A,7,477,ambient,46.1,6144,,,,
11/8/17,9,6145_59_9,2017-6145,1,I,7A,9,59,ambient,58.4,6145,,,,
11/10/17,12,6145_305_12,2017-6145,1,I,9A,9,305,ambient,61.1,6145,,,,#4
11/27/17,26,6145_505_26,2017-6145,1,I,9A,9,505,ambient,0,6145,,,,
11/8/17,9,6155_66_9,2017-6155,1,I,7A,7,66,ambient,0,6155,,,,
11/10/17,12,6155_358_12,2017-6155,1,I,7A,7,358,ambient,92.8,6155,,,,
11/27/17,26,6155_476_26,2017-6155,1,I,7A,7,476,ambient,0,6155,,,,
11/8/17,9,6159_26_9,2017-6159,1,I,8A,9,26,ambient,34.6,6159,,,,
11/10/17,12,6159_313_12,2017-6159,1,I,9A,9,313,ambient,50,6159,,,,
11/27/17,26,6159_508_26,2017-6159,1,I,9A,9,508,ambient,0,6159,,,,
11/8/17,9,6168_27_9,2017-6168,1,I,8A,7,27,ambient,#N/A,6168,,,,
11/10/17,12,6168_357_12,2017-6168,1,I,7A,7,357,ambient,#N/A,6168,,,,
11/27/17,26,6168_466_26,2017-6168,1,I,7A,7,466,ambient,#N/A,6168,,,,
11/8/17,9,6169_57_9,2017-6169,1,I,7A,8,57,ambient,#N/A,6169,,,,
11/10/17,12,6169_328_12,2017-6169,1,I,8A,8,328,ambient,#N/A,6169,,,,
11/27/17,26,6169_486_26,2017-6169,1,I,8A,8,486,ambient,#N/A,6169,,,,
11/8/17,9,6170_70_9,2017-6170,1,I,7A,9,70,ambient,#N/A,6170,,,,
11/10/17,12,6170_320_12,2017-6170,1,I,9A,9,320,ambient,#N/A,6170,,,,
11/27/17,26,6170_516_26,2017-6170,1,I,9A,9,516,ambient,#N/A,6170,,,,
11/8/17,9,6182_137_9,2017-6182,1,I,2C,7,137,ambient,#N/A,6182,,,,
11/10/17,12,6182_354_12,2017-6182,1,I,7A,7,354,ambient,#N/A,6182,,,,BCS+
11/27/17,26,6182_462_26,2017-6182,1,I,7A,7,462,ambient,#N/A,6182,,,,
11/8/17,9,6183_141_9,2017-6183,1,I,2C,8,141,ambient,#N/A,6183,,,,
11/10/17,12,6183_322_12,2017-6183,1,I,8A,8,322,ambient,#N/A,6183,,,,
11/27/17,26,6183_494_26,2017-6183,1,I,8A,8,494,ambient,#N/A,6183,,,,
11/8/17,9,6184_148_9,2017-6184,1,I,2C,9,148,ambient,#N/A,6184,,,,
11/10/17,12,6184_318_12,2017-6184,1,I,9A,9,318,ambient,#N/A,6184,,,,
11/27/17,26,6184_513_26,2017-6184,1,I,9A,9,513,ambient,#N/A,6184,,,,
11/8/17,9,6192_178_9,2017-6192,1,I,1C,7,178,ambient,#N/A,6192,,,,
11/10/17,12,6192_359_12,2017-6192,1,I,7A,7,359,ambient,#N/A,6192,,,,
11/27/17,26,6192_463_26,2017-6192,1,I,7A,7,463,ambient,#N/A,6192,,,,
11/8/17,9,6193_174_9,2017-6193,1,I,1C,8,174,ambient,#N/A,6193,,,,
11/10/17,12,6193_333_12,2017-6193,1,I,8A,8,333,ambient,#N/A,6193,,,,
11/27/17,26,6193_482_26,2017-6193,1,I,8A,8,482,ambient,#N/A,6193,,,,
11/8/17,9,6195_150_9,2017-6195,1,I,1C,9,150,ambient,#N/A,6195,,,,
11/10/17,12,6195_304_12,2017-6195,1,I,9A,9,304,ambient,#N/A,6195,,,,#3
11/27/17,26,6195_501_26,2017-6195,1,I,9A,9,501,ambient,#N/A,6195,,,,
11/8/17,9,6201_163_9,2017-6201,1,I,1C,7,163,ambient,#N/A,6201,,,,
11/10/17,12,6201_341_12,2017-6201,1,I,7A,7,341,ambient,#N/A,6201,,,,
11/27/17,26,6201_478_26,2017-6201,1,I,7A,7,478,ambient,#N/A,6201,,,,
11/8/17,9,6202_109_9,2017-6202,1,I,3C,8,109,ambient,#N/A,6202,,,,
11/10/17,12,6202_337_12,2017-6202,1,I,8A,8,337,ambient,#N/A,6202,,,,
11/27/17,26,6202_495_26,2017-6202,1,I,8A,8,495,ambient,#N/A,6202,,,,
11/8/17,9,6206_103_9,2017-6206,1,I,3C,9,103,ambient,#N/A,6206,,,,
11/10/17,12,6206_319_12,2017-6206,1,I,9A,9,319,ambient,#N/A,6206,,,,
11/27/17,26,6206_509_26,2017-6206,1,I,9A,9,509,ambient,#N/A,6206,,,,
11/8/17,9,6211_118_9,2017-6211,1,I,3C,7,118,ambient,#N/A,6211,,,,
11/10/17,12,6211_349_12,2017-6211,1,I,7A,7,349,ambient,139,6211,,,,BCS+
11/27/17,26,6211_481_26,2017-6211,1,I,7A,7,481,ambient,#N/A,6211,,,,
11/8/17,9,6212_132_9,2017-6212,1,I,3C,8,132,ambient,#N/A,6212,,,,
11/10/17,12,6212_334_12,2017-6212,1,I,8A,8,334,ambient,#N/A,6212,,,,
11/27/17,26,6212_485_26,2017-6212,1,I,8A,8,485,ambient,#N/A,6212,,,,
11/8/17,9,6214_107_9,2017-6214,1,I,3C,9,107,ambient,#N/A,6214,,,,
11/10/17,12,6214_311_12,2017-6214,1,I,9A,9,311,ambient,#N/A,6214,,,,
11/27/17,26,6214_504_26,2017-6214,1,I,9A,9,504,ambient,#N/A,6214,,,,
11/8/17,9,6109_31_9,2017-6109,0,I,8A,7,31,ambient,#N/A,6109,,,,
11/10/17,12,6109_351_12,2017-6109,0,I,7A,7,351,ambient,#N/A,6109,,,,
11/27/17,26,6109_480_26,2017-6109,0,I,7A,7,480,ambient,#N/A,6109,,,,
11/8/17,9,6110_135_9,2017-6110,0,I,2C,8,135,ambient,#N/A,6110,,,,
11/10/17,12,6110_331_12,2017-6110,0,I,8A,8,331,ambient,#N/A,6110,,,,
11/27/17,26,6110_488_26,2017-6110,0,I,8A,8,488,ambient,#N/A,6110,,,,
11/8/17,9,6112_28_9,2017-6112,0,I,8A,9,28,ambient,#N/A,6112,,,,
11/10/17,12,6112_317_12,2017-6112,0,I,9A,9,317,ambient,#N/A,6112,,,,
11/27/17,26,6112_499_26,2017-6112,0,I,9A,9,499,ambient,#N/A,6112,,,,
11/8/17,9,6123_82_9,2017-6123,0,I,7A,7,82,ambient,#N/A,6123,,,,blood very clear
11/10/17,12,6123_345_12,2017-6123,0,I,7A,7,345,ambient,#N/A,6123,,,,
11/27/17,26,6123_473_26,2017-6123,0,I,7A,7,473,ambient,#N/A,6123,,,,
11/8/17,9,6127_37_9,2017-6127,0,I,9A,8,37,ambient,#N/A,6127,,,,
11/10/17,12,6127_335_12,2017-6127,0,I,8A,8,335,ambient,#N/A,6127,,,,
11/27/17,26,6127_497_26,2017-6127,0,I,8A,8,497,ambient,#N/A,6127,,,,
11/8/17,9,6130_47_9,2017-6130,0,I,9A,8,47,ambient,183,6130,,,,
11/10/17,12,6130_339_12,2017-6130,0,I,8A,8,339,ambient,22,6130,,,,
11/27/17,26,6130_498_26,2017-6130,0,I,8A,8,498,ambient,45.1,6130,,,,
11/8/17,9,6131_38_9,2017-6131,0,I,9A,9,38,ambient,0,6131,,,,
11/10/17,12,6131_314_12,2017-6131,0,I,9A,9,314,ambient,35.6,6131,,,,
11/27/17,26,6131_507_26,2017-6131,0,I,9A,9,507,ambient,22,6131,,,,
11/8/17,9,6142_65_9,2017-6142,0,I,7A,7,65,ambient,0,6142,,,,
11/10/17,12,6142_346_12,2017-6142,0,I,7A,7,346,ambient,44.9,6142,,,,
11/27/17,26,6142_474_26,2017-6142,0,I,7A,7,474,ambient,0,6142,,,,
11/8/17,9,6146_12_9,2017-6146,0,I,8A,9,12,ambient,0,6146,,,,
11/10/17,12,6146_309_12,2017-6146,0,I,9A,9,309,ambient,99.9,6146,,,,
11/27/17,26,6146_502_26,2017-6146,0,I,9A,9,502,ambient,54.4,6146,,,,
11/8/17,9,6165_55_9,2017-6165,0,I,7A,7,55,ambient,28.9,6165,,,,
11/10/17,12,6165_360_12,2017-6165,0,I,7A,7,360,ambient,38.8,6165,,,,
11/27/17,26,6165_469_26,2017-6165,0,I,7A,7,469,ambient,129,6165,,,,
11/8/17,9,6166_21_9,2017-6166,0,I,8A,8,21,ambient,43.1,6166,,,,
11/10/17,12,6166_349_12,2017-6166,0,I,8A,8,349,ambient,139,6166,,,,
11/27/17,26,6166_496_26,2017-6166,0,I,8A,8,496,ambient,147,6166,,,,
11/8/17,9,6181_175_9,2017-6181,0,I,1C,7,175,ambient,#N/A,6181,,,,
11/10/17,12,6181_355_12,2017-6181,0,I,7A,7,355,ambient,#N/A,6181,,,,
11/27/17,26,6181_470_26,2017-6181,0,I,7A,7,470,ambient,#N/A,6181,,,,
11/8/17,9,6185_145_9,2017-6185,0,I,2C,8,145,ambient,#N/A,6185,,,,
11/10/17,12,6185_336_12,2017-6185,0,I,8A,8,336,ambient,#N/A,6185,,,,
11/27/17,26,6185_487_26,2017-6185,0,I,8A,8,487,ambient,#N/A,6185,,,,
11/8/17,9,6186_171_9,2017-6186,0,I,1C,9,171,ambient,#N/A,6186,,,,
11/10/17,12,6186_306_12,2017-6186,0,I,9A,9,306,ambient,#N/A,6186,,,,#2
11/27/17,26,6186_510_26,2017-6186,0,I,9A,9,510,ambient,#N/A,6186,,,,
11/8/17,9,6205_121_9,2017-6205,0,I,3C,7,121,ambient,#N/A,6205,,,,discarded first draw; discolored. 2nd draw also discolored
11/10/17,12,6205_342_12,2017-6205,0,I,7A,7,342,ambient,#N/A,6205,,,,
11/27/17,26,6205_475_26,2017-6205,0,I,7A,7,475,ambient,#N/A,6205,,,,
11/8/17,9,6213_108_9,2017-6213,0,I,3C,9,108,ambient,#N/A,6213,,,,
11/10/17,12,6213_310_12,2017-6213,0,I,9A,9,310,ambient,#N/A,6213,,,,
