Run_ID,Assay_Name,Test_Name,Test_Date,Qubit_tube_conc,Units,Original_sample_conc,Units,Sample_Volume_킠,Dilution_Factor,Std_1_RFU,Std_2_RFU,Excitation,Emission,Far_Red_RFU,tube_number
2018-04-09_131825,RNA High sensitivity,Sample_#180409-131924,4/9/18 13:19,22,ng/mL,0.88,ng/킠,5,40,95.67,1810.56,Red,Far Red,172.81,339
2018-04-09_131825,RNA High sensitivity,Sample_#180409-131912,4/9/18 13:19,0,ng/mL,0,ng/킠,5,40,95.67,1810.56,Red,Far Red,154.82,38
2018-04-09_131825,RNA High sensitivity,Sample_#180409-131852,4/9/18 13:18,183,ng/mL,7.32,ng/킠,5,40,95.67,1810.56,Red,Far Red,797.42,47
2018-04-09_133705,RNA High sensitivity,Sample_#180409-133824,4/9/18 13:38,129,ng/mL,5.16,ng/킠,5,40,89.33,1962.33,Red,Far Red,629.14,469
2018-04-09_133705,RNA High sensitivity,Sample_#180409-133815,4/9/18 13:38,54.4,ng/mL,2.18,ng/킠,5,40,89.33,1962.33,Red,Far Red,309.64,502
2018-04-09_133705,RNA High sensitivity,Sample_#180409-133806,4/9/18 13:38,139,ng/mL,5.56,ng/킠,5,40,89.33,1962.33,Red,Far Red,672.97,349
2018-04-09_133705,RNA High sensitivity,Sample_#180409-133757,4/9/18 13:37,38.8,ng/mL,1.55,ng/킠,5,40,89.33,1962.33,Red,Far Red,242.8,360
2018-04-09_133705,RNA High sensitivity,Sample_#180409-133749,4/9/18 13:37,99.9,ng/mL,4,ng/킠,5,40,89.33,1962.33,Red,Far Red,506,309
2018-04-09_133705,RNA High sensitivity,Sample_#180409-133740,4/9/18 13:37,43.1,ng/mL,1.72,ng/킠,5,40,89.33,1962.33,Red,Far Red,261.13,21
2018-04-09_133705,RNA High sensitivity,Sample_#180409-133728,4/9/18 13:37,0,ng/mL,0,ng/킠,5,40,89.33,1962.33,Red,Far Red,95.38,12
2018-04-10_144639,RNA High sensitivity,Sample_#180410-144712,4/10/18 14:47,70.3,ng/mL,2.81,ng/킠,5,40,84.27,2053.54,Red,Far Red,387.9,88
2018-04-10_144639,RNA High sensitivity,Sample_#180410-144704,4/10/18 14:47,104,ng/mL,4.16,ng/킠,5,40,84.27,2053.54,Red,Far Red,540.88,36
2018-04-10_172219,RNA High sensitivity,Sample_#180410-172346,4/10/18 17:23,97.4,ng/mL,3.9,ng/킠,5,40,89.15,1801.33,Red,Far Red,460.14,434
2018-04-10_172219,RNA High sensitivity,Sample_#180410-172336,4/10/18 17:23,0,ng/mL,0,ng/킠,5,40,89.15,1801.33,Red,Far Red,152.7,406
2018-04-10_172219,RNA High sensitivity,Sample_#180410-172322,4/10/18 17:23,0,ng/mL,0,ng/킠,5,40,89.15,1801.33,Red,Far Red,120.47,461
2018-04-10_172219,RNA High sensitivity,Sample_#180410-172313,4/10/18 17:23,206,ng/mL,8.24,ng/킠,5,40,89.15,1801.33,Red,Far Red,873.37,223
2018-04-10_172219,RNA High sensitivity,Sample_#180410-172304,4/10/18 17:23,40.9,ng/mL,1.64,ng/킠,5,40,89.15,1801.33,Red,Far Red,237.45,205
2018-04-10_172219,RNA High sensitivity,Sample_#180410-172253,4/10/18 17:22,96.4,ng/mL,3.86,ng/킠,5,40,89.15,1801.33,Red,Far Red,456.46,258
2018-04-10_172219,RNA High sensitivity,Sample_#180410-172241,4/10/18 17:22,50.6,ng/mL,2.02,ng/킠,5,40,89.15,1801.33,Red,Far Red,275.44,153
2018-04-20_141741,RNA High sensitivity,Sample_#180420-141824,4/20/18 14:18,77.2,ng/mL,3.09,ng/킠,5,40,89.46,1781.73,Red,Far Red,377.32,86
2018-04-20_141741,RNA High sensitivity,Sample_#180420-141805,4/20/18 14:18,0,ng/mL,0,ng/킠,5,40,89.46,1781.73,Red,Far Red,98.2,120
2018-04-20_142939,RNA High sensitivity,Sample_#180420-143056,4/20/18 14:30,36.4,ng/mL,1.46,ng/킠,5,40,86.13,1769.69,Red,Far Red,214.77,402
2018-04-20_142939,RNA High sensitivity,Sample_#180420-143048,4/20/18 14:30,66,ng/mL,2.64,ng/킠,5,40,86.13,1769.69,Red,Far Red,329.04,403
2018-04-20_142939,RNA High sensitivity,Sample_#180420-143039,4/20/18 14:30,54.6,ng/mL,2.18,ng/킠,5,40,86.13,1769.69,Red,Far Red,285.08,401
2018-04-20_142939,RNA High sensitivity,Sample_#180420-143031,4/20/18 14:30,44.9,ng/mL,1.8,ng/킠,5,40,86.13,1769.69,Red,Far Red,247.3,370
2018-04-20_142939,RNA High sensitivity,Sample_#180420-143021,4/20/18 14:30,0,ng/mL,0,ng/킠,5,40,86.13,1769.69,Red,Far Red,93.15,299
2018-04-20_142939,RNA High sensitivity,Sample_#180420-143011,4/20/18 14:30,61.1,ng/mL,2.44,ng/킠,5,40,86.13,1769.69,Red,Far Red,309.98,274
2018-04-20_142939,RNA High sensitivity,Sample_#180420-143000,4/20/18 14:30,62.7,ng/mL,2.51,ng/킠,5,40,86.13,1769.69,Red,Far Red,316.27,149
2018-04-23_174015,RNA High sensitivity,Sample_#180423-174136,4/23/18 17:41,201,ng/mL,8.04,ng/킠,5,40,89.95,1891.37,Red,Far Red,897.6,409
2018-04-23_174015,RNA High sensitivity,Sample_#180423-174126,4/23/18 17:41,167,ng/mL,6.68,ng/킠,5,40,89.95,1891.37,Red,Far Red,761.32,215
2018-04-23_174015,RNA High sensitivity,Sample_#180423-174117,4/23/18 17:41,21,ng/mL,0.84,ng/킠,5,40,89.95,1891.37,Red,Far Red,166.1,253
2018-04-23_174015,RNA High sensitivity,Sample_#180423-174108,4/23/18 17:41,28.9,ng/mL,1.16,ng/킠,5,40,89.95,1891.37,Red,Far Red,197.48,23
2018-04-23_174015,RNA High sensitivity,Sample_#180423-174058,4/23/18 17:40,206,ng/mL,8.24,ng/킠,5,40,89.95,1891.37,Red,Far Red,916.35,444
2018-04-23_174015,RNA High sensitivity,Sample_#180423-174047,4/23/18 17:40,120,ng/mL,4.8,ng/킠,5,40,89.95,1891.37,Red,Far Red,571.61,251
2018-04-23_174015,RNA High sensitivity,Sample_#180423-174037,4/23/18 17:40,147,ng/mL,5.88,ng/킠,5,40,89.95,1891.37,Red,Far Red,682.22,125
2018-04-23_180128,RNA High sensitivity,Sample_#180423-180254,4/23/18 18:02,155,ng/mL,6.2,ng/킠,5,40,90,1716.83,Red,Far Red,655.47,230
2018-04-23_180128,RNA High sensitivity,Sample_#180423-180243,4/23/18 18:02,23,ng/mL,0.92,ng/킠,5,40,90,1716.83,Red,Far Red,164.05,435
2018-04-23_180128,RNA High sensitivity,Sample_#180423-180233,4/23/18 18:02,53.1,ng/mL,2.12,ng/킠,5,40,90,1716.83,Red,Far Red,276.36,229
2018-04-23_180128,RNA High sensitivity,Sample_#180423-180223,4/23/18 18:02,77.6,ng/mL,3.1,ng/킠,5,40,90,1716.83,Red,Far Red,368.3,106
2018-04-23_180128,RNA High sensitivity,Sample_#180423-180214,4/23/18 18:02,125,ng/mL,5,ng/킠,5,40,90,1716.83,Red,Far Red,543.81,412
2018-04-23_180128,RNA High sensitivity,Sample_#180423-180204,4/23/18 18:02,117,ng/mL,4.68,ng/킠,5,40,90,1716.83,Red,Far Red,517.21,202
2018-04-23_180128,RNA High sensitivity,Sample_#180423-180153,4/23/18 18:01,133,ng/mL,5.32,ng/킠,5,40,90,1716.83,Red,Far Red,575.64,128
2018-04-24_143209,RNA High sensitivity,Sample_#180424-143242,4/24/18 14:32,161,ng/mL,6.44,ng/킠,5,40,85.61,1618.95,Red,Far Red,637.31,247
2018-04-24_143209,RNA High sensitivity,Sample_#180424-143230,4/24/18 14:32,66.6,ng/mL,2.66,ng/킠,5,40,85.61,1618.95,Red,Far Red,308.99,80
2018-04-24_145028,RNA High sensitivity,Sample_#180424-145153,4/24/18 14:51,44.2,ng/mL,1.77,ng/킠,5,40,87.4,1553.23,Red,Far Red,225.44,440
2018-04-24_145028,RNA High sensitivity,Sample_#180424-145143,4/24/18 14:51,44.1,ng/mL,1.76,ng/킠,5,40,87.4,1553.23,Red,Far Red,225.15,225
2018-04-24_145028,RNA High sensitivity,Sample_#180424-145130,4/24/18 14:51,0,ng/mL,0,ng/킠,5,40,87.4,1553.23,Red,Far Red,103.55,42
2018-04-24_145028,RNA High sensitivity,Sample_#180424-145121,4/24/18 14:51,141,ng/mL,5.64,ng/킠,5,40,87.4,1553.23,Red,Far Red,550.09,419
2018-04-24_145028,RNA High sensitivity,Sample_#180424-145111,4/24/18 14:51,88.7,ng/mL,3.55,ng/킠,5,40,87.4,1553.23,Red,Far Red,375.88,214
2018-04-24_145028,RNA High sensitivity,Sample_#180424-145101,4/24/18 14:51,54.8,ng/mL,2.19,ng/킠,5,40,87.4,1553.23,Red,Far Red,261.19,78
2018-04-24_145028,RNA High sensitivity,Sample_#180424-145051,4/24/18 14:50,154,ng/mL,6.16,ng/킠,5,40,87.4,1553.23,Red,Far Red,593.25,453
2018-04-25_142113,RNA High sensitivity,Sample_#180425-142134,4/25/18 14:21,147,ng/mL,5.88,ng/킠,5,40,89.38,1757.87,Red,Far Red,639.45,496
