Sample_Date,Sample_day,Uniq_ID,FRP,infection_status,maturity,holding_tank,treatment_tank,tube_number,temperature_treatment,RNA_isolation,comments
11/10/17,12,6151_243_12,2017-6151,1,I,3C,3,243,cold,,
11/27/17,26,6151_454_26,2017-6151,1,I,3C,3,454,cold,,
11/8/17,9,6148_56_9,2017-6148,1,I,7A,1,56,cold,,
11/10/17,12,6148_213_12,2017-6148,1,I,1C,1,213,cold,,
11/27/17,26,6148_405_26,2017-6148,1,I,1C,1,405,cold,,
11/8/17,9,6149_64_9,2017-6149,1,I,7A,2,64,cold,,
11/10/17,12,6149_226_12,2017-6149,1,I,2C,2,226,cold,,
11/27/17,26,6149_437_26,2017-6149,1,I,2C,2,437,cold,,
11/8/17,9,6140_8_9,2017-6140,1,I,8A,2,8,cold,,
11/10/17,12,6140_237_12,2017-6140,1,I,2C,2,237,cold,,
11/27/17,26,6140_429_26,2017-6140,1,I,2C,2,429,cold,,
11/8/17,9,6141_123_9,2017-6141,1,I,3C,3,123,cold,,
11/10/17,12,6141_249_12,2017-6141,1,I,3C,3,249,cold,,
11/27/17,26,6141_451_26,2017-6141,1,I,3C,3,451,cold,,
11/8/17,9,6128_112_9,2017-6128,1,I,3C,2,112,cold,,
11/10/17,12,6128_231_12,2017-6128,1,I,2C,2,231,cold,,
11/27/17,26,6128_441_26,2017-6128,1,I,2C,2,441,cold,,
11/8/17,9,6126_79_9,2017-6126,1,I,7A,1,79,cold,,
11/10/17,12,6126_201_12,2017-6126,1,I,1C,1,201,cold,,
11/27/17,26,6126_418_26,2017-6126,1,I,1C,1,418,cold,,
11/8/17,9,6120_165_9,2017-6120,1,I,1C,3,165,cold,,
11/10/17,12,6120_248_12,2017-6120,1,I,3C,3,248,cold,,
11/27/17,26,6120_459_26,2017-6120,1,I,3C,3,459,cold,,
11/8/17,9,6118_87_9,2017-6118,1,I,7A,2,87,cold,,
11/10/17,12,6118_240_12,2017-6118,1,I,2C,2,240,cold,,
11/27/17,26,6118_430_26,2017-6118,1,I,2C,2,430,cold,,
11/8/17,9,6132_88_9,2017-6132,0,I,7A,1,88,cold,Y,
11/10/17,12,6132_205_12,2017-6132,0,I,1C,1,205,cold,,
11/27/17,26,6132_406_26,2017-6132,0,I,1C,1,406,cold,,
11/8/17,9,6189_176_9,2017-6189,0,I,1C,1,176,cold,Y,
11/10/17,12,6189_216_12,2017-6189,0,I,1C,1,216,cold,,
11/27/17,26,6189_422_26,2017-6189,0,I,1C,1,422,cold,,
11/8/17,9,6133_36_9,2017-6133,0,I,9A,2,36,cold,,
11/10/17,12,6133_223_12,2017-6133,0,I,2C,2,223,cold,,
11/27/17,26,6133_434_26,2017-6133,0,I,2C,2,434,cold,,
11/8/17,9,6156_24_9,2017-6156,0,I,8A,3,24,cold,,
11/10/17,12,6156_242_12,2017-6156,0,I,3C,3,242,cold,,
11/27/17,26,6156_446_26,2017-6156,0,I,3C,3,446,cold,,
11/8/17,9,6138_80_9,2017-6138,0,I,7A,3,80,cold,,
11/10/17,12,6138_247_12,2017-6138,0,I,3C,3,247,cold,,
11/27/17,26,6138_453_26,2017-6138,0,I,3C,3,453,cold,,
11/8/17,9,6113_78_9,2017-6113,0,I,7A,1,78,cold,,
11/10/17,12,6113_214_12,2017-6113,0,I,1C,1,214,cold,,
11/27/17,26,6113_419_26,2017-6113,0,I,1C,1,419,cold,,
11/8/17,9,6117_42_9,2017-6117,0,I,9A,2,42,cold,,
11/10/17,12,6117_225_12,2017-6117,0,I,2C,2,225,cold,,
11/27/17,26,6117_440_26,2017-6117,0,I,2C,2,440,cold,,
11/8/17,9,6119_153_9,2017-6119,0,I,1C,3,153,cold,,
11/10/17,12,6119_258_12,2017-6119,0,I,3C,3,258,cold,,
11/27/17,26,6119_461_26,2017-6119,0,I,3C,3,461,cold,,
11/8/17,9,6132_88_9,2017-6132,0,I,7A,1,88,cold,,
11/10/17,12,6132_205_12,2017-6132,0,I,1C,1,205,cold,,
11/27/17,26,6132_406_26,2017-6132,0,I,1C,1,406,cold,,
11/8/17,9,6133_36_9,2017-6133,0,I,9A,2,36,cold,,
11/10/17,12,6133_223_12,2017-6133,0,I,2C,2,223,cold,,
11/27/17,26,6133_434_26,2017-6133,0,I,2C,2,434,cold,,
11/8/17,9,6138_80_9,2017-6138,0,I,7A,3,80,cold,,
11/10/17,12,6138_247_12,2017-6138,0,I,3C,3,247,cold,,
11/27/17,26,6138_453_26,2017-6138,0,I,3C,3,453,cold,,
11/8/17,9,6147_30_9,2017-6147,0,I,8A,1,30,cold,,
11/10/17,12,6147_204_12,2017-6147,0,I,1C,1,204,cold,,
11/27/17,26,6147_421_26,2017-6147,0,I,1C,1,421,cold,,
11/8/17,9,6154_68_9,2017-6154,0,I,7A,2,68,cold,,
11/10/17,12,6154_232_12,2017-6154,0,I,2C,2,232,cold,,
11/27/17,26,6154_436_26,2017-6154,0,I,2C,2,436,cold,,
11/8/17,9,6167_45_9,2017-6167,0,I,9A,1,45,cold,,
11/10/17,12,6167_207_12,2017-6167,0,I,1C,1,207,cold,,
11/27/17,26,6167_414_26,2017-6167,0,I,1C,1,414,cold,,
11/8/17,9,6171_73_9,2017-6171,0,I,7A,2,73,cold,,
11/10/17,12,6171_221_12,2017-6171,0,I,2C,2,221,cold,,
11/27/17,26,6171_427_26,2017-6171,0,I,2C,2,427,cold,,
11/8/17,9,6175_67_9,2017-6175,0,I,7A,3,67,cold,,
11/10/17,12,6175_246_12,2017-6175,0,I,3C,3,246,cold,,
11/27/17,26,6175_447_26,2017-6175,0,I,3C,3,447,cold,,
11/8/17,9,6189_176_9,2017-6189,0,I,1C,1,176,cold,,
11/10/17,12,6189_216_12,2017-6189,0,I,1C,1,216,cold,,
11/27/17,26,6189_422_26,2017-6189,0,I,1C,1,422,cold,,
11/8/17,9,6191_95_9,2017-6191,0,I,1C,2,95,cold,,
11/10/17,12,6191_227_12,2017-6191,0,I,2C,2,227,cold,,
11/27/17,26,6191_442_26,2017-6191,0,I,2C,2,442,cold,,
11/8/17,9,6106_5_9,2017-6106,0,M,8A,3,5,cold,,
11/10/17,12,6106_241_12,2017-6106,0,M,3C,3,241,cold,,
11/27/17,26,6106_450_26,2017-6106,0,M,3C,3,450,cold,,
11/8/17,9,6153_11_9,2017-6153,0,M,8A,1,11,cold,,
11/10/17,12,6153_209_12,2017-6153,0,M,1C,1,209,cold,,
11/27/17,26,6153_404_26,2017-6153,0,M,1C,1,404,cold,,
11/8/17,9,6157_169_9,2017-6157,0,M,1C,2,169,cold,,
11/10/17,12,6157_224_12,2017-6157,0,M,2C,2,224,cold,,
11/27/17,26,6157_423_26,2017-6157,0,M,2C,2,423,cold,,
11/8/17,9,6160_7_9,2017-6160,0,M,8A,2,7,cold,,
11/10/17,12,6160_238_12,2017-6160,0,M,2C,2,238,cold,,
11/27/17,26,6160_426_26,2017-6160,0,M,2C,2,426,cold,,
11/8/17,9,6178_124_9,2017-6178,0,M,3C,1,124,cold,,
11/10/17,12,6178_218_12,2017-6178,0,M,1C,1,218,cold,,
11/27/17,26,6178_410_26,2017-6178,0,M,1C,1,410,cold,,
11/8/17,9,6194_98_9,2017-6194,0,M,8A,2,98,cold,,
11/10/17,12,6194_235_12,2017-6194,0,M,2C,2,235,cold,,
11/27/17,26,6194_432_26,2017-6194,0,M,2C,2,432,cold,,
11/8/17,9,6197_161_9,2017-6197,0,M,1C,3,161,cold,,
11/10/17,12,6197_244_12,2017-6197,0,M,3C,3,244,cold,,
11/27/17,26,6197_449_26,2017-6197,0,M,3C,3,449,cold,,
11/8/17,9,6203_113_9,2017-6203,0,M,3C,2,113,cold,,
11/10/17,12,6203_222_12,2017-6203,0,M,2C,2,222,cold,,
11/27/17,26,6203_425_26,2017-6203,0,M,2C,2,425,cold,,
11/8/17,9,6111_90_9,2017-6111,1,I,7A,7,90,ambient,,
11/10/17,12,6111_356_12,2017-6111,1,I,7A,7,356,ambient,,
11/27/17,26,6111_468_26,2017-6111,1,I,7A,7,468,ambient,,
11/8/17,9,6114_142_9,2017-6114,1,I,2C,8,142,ambient,,
11/10/17,12,6114_326_12,2017-6114,1,I,8A,8,326,ambient,,
11/27/17,26,6114_484_26,2017-6114,1,I,8A,8,484,ambient,,
11/8/17,9,6115_33_9,2017-6115,1,I,9A,9,33,ambient,,
11/10/17,12,6115_307_12,2017-6115,1,I,9A,9,307,ambient,,#1
11/27/17,26,6115_514_26,2017-6115,1,I,9A,9,514,ambient,,
11/8/17,9,6121_15_9,2017-6121,1,I,8A,7,15,ambient,,
11/10/17,12,6121_352_12,2017-6121,1,I,7A,7,352,ambient,,
11/27/17,26,6121_472_26,2017-6121,1,I,7A,7,472,ambient,,
11/8/17,9,6122_133_9,2017-6122,1,I,3C,8,133,ambient,,
11/10/17,12,6122_325_12,2017-6122,1,I,8A,8,325,ambient,,
11/27/17,26,6122_489_26,2017-6122,1,I,8A,8,489,ambient,,
11/8/17,9,6125_144_9,2017-6125,1,I,2C,9,144,ambient,,
11/10/17,12,6125_303_12,2017-6125,1,I,9A,9,303,ambient,,
11/27/17,26,6125_503_26,2017-6125,1,I,9A,9,503,ambient,,
11/8/17,9,6134_77_9,2017-6134,1,I,7A,7,77,ambient,,
11/10/17,12,6134_353_12,2017-6134,1,I,7A,7,353,ambient,,
11/27/17,26,6134_465_26,2017-6134,1,I,7A,7,465,ambient,,
11/8/17,9,6135_4_9,2017-6135,1,I,8A,8,4,ambient,,
11/10/17,12,6135_327_12,2017-6135,1,I,8A,8,327,ambient,,
11/27/17,26,6135_492_26,2017-6135,1,I,8A,8,492,ambient,,
11/8/17,9,6144_14_9,2017-6144,1,I,8A,7,14,ambient,,
11/10/17,12,6144_348_12,2017-6144,1,I,7A,7,348,ambient,,
11/27/17,26,6144_477_26,2017-6144,1,I,7A,7,477,ambient,,
11/8/17,9,6145_59_9,2017-6145,1,I,7A,9,59,ambient,,
11/10/17,12,6145_305_12,2017-6145,1,I,9A,9,305,ambient,,#4
11/27/17,26,6145_505_26,2017-6145,1,I,9A,9,505,ambient,,
11/8/17,9,6155_66_9,2017-6155,1,I,7A,7,66,ambient,,
11/10/17,12,6155_358_12,2017-6155,1,I,7A,7,358,ambient,,
11/27/17,26,6155_476_26,2017-6155,1,I,7A,7,476,ambient,,
11/8/17,9,6159_26_9,2017-6159,1,I,8A,9,26,ambient,,
11/10/17,12,6159_313_12,2017-6159,1,I,9A,9,313,ambient,,
11/27/17,26,6159_508_26,2017-6159,1,I,9A,9,508,ambient,,
11/8/17,9,6168_27_9,2017-6168,1,I,8A,7,27,ambient,,
11/10/17,12,6168_357_12,2017-6168,1,I,7A,7,357,ambient,,
11/27/17,26,6168_466_26,2017-6168,1,I,7A,7,466,ambient,,
11/8/17,9,6169_57_9,2017-6169,1,I,7A,8,57,ambient,,
11/10/17,12,6169_328_12,2017-6169,1,I,8A,8,328,ambient,,
11/27/17,26,6169_486_26,2017-6169,1,I,8A,8,486,ambient,,
11/8/17,9,6170_70_9,2017-6170,1,I,7A,9,70,ambient,,
11/10/17,12,6170_320_12,2017-6170,1,I,9A,9,320,ambient,,
11/27/17,26,6170_516_26,2017-6170,1,I,9A,9,516,ambient,,
11/8/17,9,6182_137_9,2017-6182,1,I,2C,7,137,ambient,,
11/10/17,12,6182_354_12,2017-6182,1,I,7A,7,354,ambient,,BCS+
11/27/17,26,6182_462_26,2017-6182,1,I,7A,7,462,ambient,,
11/8/17,9,6183_141_9,2017-6183,1,I,2C,8,141,ambient,,
