"","year.FRP","FRP","Uniq_ID","sample_day","infection_status","maturity","Holding_Tank","Low_Tag","High_Tag","sample","treatment_tank","where","tube_number","Comments","death","comments","CW","SC","CH","Imm.mat","Run_ID","Assay_Name","Test_Name","Test_Date","Qubit_tube_conc","Units","Original_sample_conc","Units.1","Sample_Volume","Dilution_Factor","Std_1_RFU","Std_2_RFU","Excitation","Emission","Far_Red_RFU","X"
"20","2017-6107",6107,"6107_350_12",12,0,"M","7A",3024,3597,NA,7,"",350,"","","","132.9","4","29.7","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2017-6107",6107,"6107_471_26",26,0,"M","7A",3024,3597,NA,7,"",471,"","","","132.9","4","29.7","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2017-6108",6108,"6108_6_9",9,1,"I","8A",3032,3442,NA,3,"drain end",6,"","","","131.9","3","19.6","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2017-6108",6108,"6108_255_12",12,1,"I","3C",3032,3442,NA,3,"",255,"","","","131.9","3","19.6","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2017-6108",6108,"6108_455_26",26,1,"I","3C",3032,3442,NA,3,"",455,"","","","131.9","3","19.6","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2017-6109",6109,"6109_31_9",9,0,"I","8A",3034,3217,NA,7,"drain end",31,"","","","128.8","3","18.9","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2017-6109",6109,"6109_351_12",12,0,"I","7A",3034,3217,NA,7,"",351,"","","","128.8","3","18.9","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2017-6109",6109,"6109_480_26",26,0,"I","7A",3034,3217,NA,7,"",480,"","","","128.8","3","18.9","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2017-6110",6110,"6110_135_9",9,0,"I","2C",3049,3337,NA,8,"drain end",135,"","","","123.4","0","19.2","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2017-6110",6110,"6110_331_12",12,0,"I","8A",3049,3337,NA,8,"",331,"","","","123.4","0","19.2","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2017-6110",6110,"6110_488_26",26,0,"I","8A",3049,3337,NA,8,"",488,"","","","123.4","0","19.2","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2017-6111",6111,"6111_90_9",9,1,"I","7A",3052,3115,NA,7,"drain end",90,"","","","116.8","3","16","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2017-6111",6111,"6111_356_12",12,1,"I","7A",3052,3115,NA,7,"",356,"","","","116.8","3","16","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2017-6111",6111,"6111_468_26",26,1,"I","7A",3052,3115,NA,7,"",468,"","","","116.8","3","16","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2017-6112",6112,"6112_28_9",9,0,"I","8A",3053,3116,NA,9,"drain end",28,"","","","115.9","4","17.1","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2017-6112",6112,"6112_317_12",12,0,"I","9A",3053,3116,NA,9,"",317,"","","","115.9","4","17.1","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2017-6112",6112,"6112_499_26",26,0,"I","9A",3053,3116,NA,9,"",499,"","","","115.9","4","17.1","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2017-6113",6113,"6113_78_9",9,0,"I","7A",3062,3121,NA,1,"drain end",78,"","","","126.5","3","19.1","I","2018-04-24_145028","RNA High sensitivity","Sample_#180424-145101","4/24/18 14:51","54.8","ng/mL","2.19","ng/uL",5,40,87.4,1553.23,"Red","Far Red",261.19,""
"38","2017-6113",6113,"6113_214_12",12,0,"I","1C",3062,3121,NA,1,"",214,"","","","126.5","3","19.1","I","2018-04-24_145028","RNA High sensitivity","Sample_#180424-145111","4/24/18 14:51","88.7","ng/mL","3.55","ng/uL",5,40,87.4,1553.23,"Red","Far Red",375.88,""
"39","2017-6113",6113,"6113_419_26",26,0,"I","1C",3062,3121,NA,1,"",419,"","","","126.5","3","19.1","I","2018-04-24_145028","RNA High sensitivity","Sample_#180424-145121","4/24/18 14:51","141","ng/mL","5.64","ng/uL",5,40,87.4,1553.23,"Red","Far Red",550.09,""
"40","2017-6114",6114,"6114_142_9",9,1,"I","2C",3067,3346,NA,8,"drain end",142,"","","","122.2","3","18.4","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2017-6114",6114,"6114_326_12",12,1,"I","8A",3067,3346,NA,8,"",326,"","","","122.2","3","18.4","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2017-6114",6114,"6114_484_26",26,1,"I","8A",3067,3346,NA,8,"",484,"","","","122.2","3","18.4","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2017-6115",6115,"6115_33_9",9,1,"I","9A",3068,3519,NA,9,"drain end",33,"","","","110.2","3","10.1","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2017-6115",6115,"6115_307_12",12,1,"I","9A",3068,3519,NA,9,"",307,"#1","replacement tube","","110.2","3","10.1","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2017-6115",6115,"6115_514_26",26,1,"I","9A",3068,3519,NA,9,"",514,"","","","110.2","3","10.1","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2017-6116",6116,"6116_76_9",9,1,"I","7A",3072,3560,NA,1,"drain end",76,"","","","120.1","3","17.1","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2017-6116",6116,"6116_212_12",12,1,"I","1C",3072,3560,NA,1,"",212,"","","","120.1","3","17.1","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2017-6116",6116,"6116_417_26",26,1,"I","1C",3072,3560,NA,1,"",417,"","","","120.1","3","17.1","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2017-6117",6117,"6117_42_9",9,0,"I","9A",3074,3282,NA,2,"drain end",42,"","","","116.8","3","19.3","I","2018-04-24_145028","RNA High sensitivity","Sample_#180424-145130","4/24/18 14:51","0","ng/mL","0","ng/uL",5,40,87.4,1553.23,"Red","Far Red",103.55,""
"50","2017-6117",6117,"6117_225_12",12,0,"I","2C",3074,3282,NA,2,"",225,"","","","116.8","3","19.3","I","2018-04-24_145028","RNA High sensitivity","Sample_#180424-145143","4/24/18 14:51","44.1","ng/mL","1.76","ng/uL",5,40,87.4,1553.23,"Red","Far Red",225.15,""
"51","2017-6117",6117,"6117_440_26",26,0,"I","2C",3074,3282,NA,2,"",440,"","","","116.8","3","19.3","I","2018-04-24_145028","RNA High sensitivity","Sample_#180424-145153","4/24/18 14:51","44.2","ng/mL","1.77","ng/uL",5,40,87.4,1553.23,"Red","Far Red",225.44,""
"52","2017-6118",6118,"6118_87_9",9,1,"I","7A",3077,3447,NA,2,"drain end",87,"","","","124.1","3","17","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2017-6118",6118,"6118_240_12",12,1,"I","2C",3077,3447,NA,2,"",240,"","","","124.1","3","17","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2017-6118",6118,"6118_430_26",26,1,"I","2C",3077,3447,NA,2,"",430,"","","","124.1","3","17","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2017-6119",6119,"6119_153_9",9,0,"I","1C",3081,3210,NA,3,"drain end",153,"","","","97.7","3","13.4","I","2018-04-10_172219","RNA High sensitivity","Sample_#180410-172241","4/10/18 17:22","50.6","ng/mL","2.02","ng/uL",5,40,89.15,1801.33,"Red","Far Red",275.44,""
"56","2017-6119",6119,"6119_258_12",12,0,"I","3C",3081,3210,NA,3,"",258,"","","","97.7","3","13.4","I","2018-04-10_172219","RNA High sensitivity","Sample_#180410-172253","4/10/18 17:22","96.4","ng/mL","3.86","ng/uL",5,40,89.15,1801.33,"Red","Far Red",456.46,""
"57","2017-6119",6119,"6119_461_26",26,0,"I","3C",3081,3210,NA,3,"",461,"","","","97.7","3","13.4","I","2018-04-10_172219","RNA High sensitivity","Sample_#180410-172322","4/10/18 17:23","0","ng/mL","0","ng/uL",5,40,89.15,1801.33,"Red","Far Red",120.47,""
"58","2017-6120",6120,"6120_165_9",9,1,"I","1C",3082,3546,NA,3,"drain end",165,"","","","90.8","3","12.3","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2017-6120",6120,"6120_248_12",12,1,"I","3C",3082,3546,NA,3,"",248,"","","","90.8","3","12.3","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2017-6120",6120,"6120_459_26",26,1,"I","3C",3082,3546,NA,3,"",459,"","","","90.8","3","12.3","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2017-6121",6121,"6121_15_9",9,1,"I","8A",3099,3579,NA,7,"drain end",15,"","","","114.6","3","14.2","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2017-6121",6121,"6121_352_12",12,1,"I","7A",3099,3579,NA,7,"",352,"","","","114.6","3","14.2","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2017-6121",6121,"6121_472_26",26,1,"I","7A",3099,3579,NA,7,"",472,"","","","114.6","3","14.2","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2017-6122",6122,"6122_133_9",9,1,"I","3C",3100,3528,NA,8,"drain end",133,"","","","100","3","14.5","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2017-6122",6122,"6122_325_12",12,1,"I","8A",3100,3528,NA,8,"",325,"","","","100","3","14.5","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","2017-6122",6122,"6122_489_26",26,1,"I","8A",3100,3528,NA,8,"",489,"","","","100","3","14.5","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2017-6123",6123,"6123_82_9",9,0,"I","7A",3101,3463,NA,7,"drain end",82,"blood very clear","","","112.4","3","17.5","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2017-6123",6123,"6123_345_12",12,0,"I","7A",3101,3463,NA,7,"",345,"","","","112.4","3","17.5","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2017-6123",6123,"6123_473_26",26,0,"I","7A",3101,3463,NA,7,"",473,"","","","112.4","3","17.5","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2017-6124",6124,"6124_75_9",9,0,"M","7A",3103,3158,NA,7,"drain end",75,"","","","120.5","3","23","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","2017-6124",6124,"6124_347_12",12,0,"M","7A",3103,3158,NA,7,"",347,"","","","120.5","3","23","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2017-6124",6124,"6124_464_26",26,0,"M","7A",3103,3158,NA,7,"",464,"","","","120.5","3","23","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2017-6125",6125,"6125_144_9",9,1,"I","2C",3105,3146,NA,9,"drain end",144,"","","","119.4","3","18.4","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2017-6125",6125,"6125_303_12",12,1,"I","9A",3105,3146,NA,9,"",303,"","","","119.4","3","18.4","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","2017-6125",6125,"6125_503_26",26,1,"I","9A",3105,3146,NA,9,"",503,"","","","119.4","3","18.4","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","2017-6126",6126,"6126_79_9",9,1,"I","7A",3108,3501,NA,1,"drain end",79,"","","","109","3","14.6","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","2017-6126",6126,"6126_201_12",12,1,"I","1C",3108,3501,NA,1,"",201,"","","","109","3","14.6","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","2017-6126",6126,"6126_418_26",26,1,"I","1C",3108,3501,NA,1,"",418,"","","","109","3","14.6","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","2017-6127",6127,"6127_37_9",9,0,"I","9A",3110,3255,NA,8,"drain end",37,"","","","108.4","3","19.3","I","2018-05-01_175527","RNA High sensitivity","Sample_#180501-175837","5/1/18 17:58","84.6","ng/mL","3.38","ng/uL",5,40,88.83,1727.58,"Red","Far Red",395.83,""
"80","2017-6127",6127,"6127_335_12",12,0,"I","8A",3110,3255,NA,8,"",335,"","","","108.4","3","19.3","I","2018-05-02_130729","RNA High sensitivity","Sample_#180502-130824","5/2/18 13:08","86.4","ng/mL","3.46","ng/uL",5,40,88.26,1747.03,"Red","Far Red",405.69,""
"81","2017-6127",6127,"6127_497_26",26,0,"I","8A",3110,3255,NA,8,"",497,"","","","108.4","3","19.3","I","2018-05-02_130729","RNA High sensitivity","Sample_#180502-130851","5/2/18 13:08","109","ng/mL","4.36","ng/uL",5,40,88.26,1747.03,"Red","Far Red",491.3,""
"82","2017-6128",6128,"6128_112_9",9,1,"I","3C",3113,3179,NA,2,"drain end",112,"","","","121","3","18.6","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","2017-6128",6128,"6128_231_12",12,1,"I","2C",3113,3179,NA,2,"",231,"","","","121","3","18.6","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","2017-6128",6128,"6128_441_26",26,1,"I","2C",3113,3179,NA,2,"",441,"","","","121","3","18.6","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","2017-6129",6129,"6129_86_9",9,1,"I","7A",3129,3137,NA,5,"drain end",86,"","","","114.1","3","16.8","I","2018-04-20_141741","RNA High sensitivity","Sample_#180420-141824","4/20/18 14:18","77.2","ng/mL","3.09","ng/uL",5,40,89.46,1781.73,"Red","Far Red",377.32,""
"86","2017-6129",6129,"6129_299_12",12,1,"I","5W",3129,3137,NA,5,"",299,"","","","114.1","3","16.8","I","2018-04-20_142939","RNA High sensitivity","Sample_#180420-143021","4/20/18 14:30","0","ng/mL","0","ng/uL",5,40,86.13,1769.69,"Red","Far Red",93.15,""
"87","2017-6129",6129,"6129_403_26",26,1,"I","5W",3129,3137,NA,5,"",403,"","","","114.1","3","16.8","I","2018-04-20_142939","RNA High sensitivity","Sample_#180420-143048","4/20/18 14:30","66","ng/mL","2.64","ng/uL",5,40,86.13,1769.69,"Red","Far Red",329.04,""
"88","2017-6130",6130,"6130_47_9",9,0,"I","9A",3134,3208,NA,8,"drain end",47,"","","","111.4","3","11.8","I","2018-04-09_131825","RNA High sensitivity","Sample_#180409-131852","4/9/18 13:18","183","ng/mL","7.32","ng/uL",5,40,95.67,1810.56,"Red","Far Red",797.42,""
"89","2017-6130",6130,"6130_339_12",12,0,"I","8A",3134,3208,NA,8,"",339,"","","","111.4","3","11.8","I","2018-04-09_131825","RNA High sensitivity","Sample_#180409-131924","4/9/18 13:19","22","ng/mL","0.88","ng/uL",5,40,95.67,1810.56,"Red","Far Red",172.81,""
"90","2017-6130",6130,"6130_498_26",26,0,"I","8A",3134,3208,NA,8,"",498,"","","","111.4","3","11.8","I","2018-03-27_150807","RNA High sensitivity","Sample_#180327-150845","3/27/18 15:08","45.1","ng/mL","1.8","ng/uL",5,40,77.85,1247.39,"Red","Far Red",190.52,""
"91","2017-6131",6131,"6131_38_9",9,0,"I","9A",3147,3563,NA,9,"drain end",38,"","","","107.4","3","19.1","I","2018-04-09_131825","RNA High sensitivity","Sample_#180409-131912","4/9/18 13:19","0","ng/mL","0","ng/uL",5,40,95.67,1810.56,"Red","Far Red",154.82,""
"92","2017-6131",6131,"6131_314_12",12,0,"I","9A",3147,3563,NA,9,"",314,"","","","107.4","3","19.1","I","2018-04-09_131825","RNA High sensitivity","Sample_#180409-131936","4/9/18 13:19","35.6","ng/mL","1.42","ng/uL",5,40,95.67,1810.56,"Red","Far Red",223.78,""
"93","2017-6131",6131,"6131_507_26",26,0,"I","9A",3147,3563,NA,9,"",507,"","","","107.4","3","19.1","I","2018-04-09_131825","RNA High sensitivity","Sample_#180409-132008","4/9/18 13:20","22","ng/mL","0.88","ng/uL",5,40,95.67,1810.56,"Red","Far Red",170.1,""
"94","2017-6132",6132,"6132_88_9",9,0,"I","7A",3149,3436,NA,1,"drain end",88,"","","","133.7","3","22.1","I","2018-04-10_144639","RNA High sensitivity","Sample_#180410-144712","4/10/18 14:47","70.3","ng/mL","2.81","ng/uL",5,40,84.27,2053.54,"Red","Far Red",387.9,""
"95","2017-6132",6132,"6132_205_12",12,0,"I","1C",3149,3436,NA,1,"",205,"","","","133.7","3","22.1","I","2018-04-10_172219","RNA High sensitivity","Sample_#180410-172304","4/10/18 17:23","40.9","ng/mL","1.64","ng/uL",5,40,89.15,1801.33,"Red","Far Red",237.45,""
"96","2017-6132",6132,"6132_406_26",26,0,"I","1C",3149,3436,NA,1,"",406,"","","","133.7","3","22.1","I","2018-04-10_172219","RNA High sensitivity","Sample_#180410-172336","4/10/18 17:23","0","ng/mL","0","ng/uL",5,40,89.15,1801.33,"Red","Far Red",152.7,""
"97","2017-6133",6133,"6133_36_9",9,0,"I","9A",3160,3273,NA,2,"drain end",36,"","","","103.6","4","11.8","I","2018-04-10_144639","RNA High sensitivity","Sample_#180410-144704","4/10/18 14:47","104","ng/mL","4.16","ng/uL",5,40,84.27,2053.54,"Red","Far Red",540.88,""
"98","2017-6133",6133,"6133_223_12",12,0,"I","2C",3160,3273,NA,2,"",223,"","","","103.6","4","11.8","I","2018-04-10_172219","RNA High sensitivity","Sample_#180410-172313","4/10/18 17:23","206","ng/mL","8.24","ng/uL",5,40,89.15,1801.33,"Red","Far Red",873.37,""
"99","2017-6133",6133,"6133_434_26",26,0,"I","2C",3160,3273,NA,2,"",434,"","","","103.6","4","11.8","I","2018-04-10_172219","RNA High sensitivity","Sample_#180410-172346","4/10/18 17:23","97.4","ng/mL","3.9","ng/uL",5,40,89.15,1801.33,"Red","Far Red",460.14,""
"100","2017-6134",6134,"6134_77_9",9,1,"I","7A",3165,3254,NA,7,"drain end",77,"","","","115.1","3","14.6","I","2018-03-26_132437","RNA High sensitivity","Sample_#180326-132518","3/26/18 13:25","42.8","ng/mL","1.71","ng/uL",5,40,84.14,1510.54,"Red","Far Red",214.08,""
"101","2017-6134",6134,"6134_353_12",12,1,"I","7A",3165,3254,NA,7,"",353,"","","","115.1","3","14.6","I","2018-04-06_133810","RNA High sensitivity","Sample_#180406-133914","4/6/18 13:39","67","ng/mL","2.68","ng/uL",5,40,76.57,1141.15,"Red","Far Red",232.63,""
"102","2017-6134",6134,"6134_465_26",26,1,"I","7A",3165,3254,NA,7,"",465,"","","","115.1","3","14.6","I","2018-03-26_132437","RNA High sensitivity","Sample_#180326-132528","3/26/18 13:25","0","ng/mL","0","ng/uL",5,40,84.14,1510.54,"Red","Far Red",88.15,""
"103","2017-6135",6135,"6135_4_9",9,1,"M","8A",3166,3433,NA,8,"drain end",4,"","","","130.8","4","30.1","M","2018-04-06_133810","RNA High sensitivity","Sample_#180406-133835","4/6/18 13:38","88","ng/mL","3.52","ng/uL",5,40,76.57,1141.15,"Red","Far Red",284.34,""
"104","2017-6135",6135,"6135_327_12",12,1,"M","8A",3166,3433,NA,8,"",327,"","","","130.8","4","30.1","M","2018-04-06_133810","RNA High sensitivity","Sample_#180406-133855","4/6/18 13:38","50.2","ng/mL","2.01","ng/uL",5,40,76.57,1141.15,"Red","Far Red",191.55,""
"105","2017-6135",6135,"6135_492_26",26,1,"M","8A",3166,3433,NA,8,"",492,"","","","130.8","4","30.1","M","2018-04-06_133810","RNA High sensitivity","Sample_#180406-133923","4/6/18 13:39","26.9","ng/mL","1.08","ng/uL",5,40,76.57,1141.15,"Red","Far Red",135.44,""
"106","2017-6136",6136,"6136_91_9",9,0,"M","7A",3171,3557,NA,8,"drain end",91,"","","","113.6","3","21.6","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","2017-6136",6136,"6136_321_12",12,0,"M","8A",3171,3557,NA,8,"",321,"","","","113.6","3","21.6","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","2017-6136",6136,"6136_491_26",26,0,"M","8A",3171,3557,NA,8,"",491,"","","","113.6","3","21.6","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","2017-6137",6137,"6137_81_9",9,1,"I","7A",3172,3374,NA,9,"drain end",81,"","","","96.9","3","13","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","2017-6137",6137,"6137_301_12",12,1,"I","9A",3172,3374,NA,9,"",301,"","","","96.9","3","13","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
