,Run_ID,Assay_Name,Test_Name,Test_Date,Qubit_tube_conc,Units,Original_sample_conc,Units.1,Sample_Volume,Dilution_Factor,Std_1_RFU,Std_2_RFU,Excitation,Emission,Far_Red_RFU,tube_number,Sample_Day,Uniq_ID,FRP,infection_status,maturity,treatment_tank,temperature_treatment,comments
46,2018-04-10_172219,RNA High sensitivity,Sample_#180410-172313,4/10/18 17:23,206,ng/mL,8.24,ng/uL,5,40,89.15,1801.33,Red,Far Red,873.37,223,12,6133_223_12,6133,0,I,2,cold,
47,2018-04-10_172219,RNA High sensitivity,Sample_#180410-172304,4/10/18 17:23,40.9,ng/mL,1.64,ng/uL,5,40,89.15,1801.33,Red,Far Red,237.45,205,12,6132_205_12,6132,0,I,1,cold,
48,2018-04-10_172219,RNA High sensitivity,Sample_#180410-172253,4/10/18 17:22,96.4,ng/mL,3.86,ng/uL,5,40,89.15,1801.33,Red,Far Red,456.46,258,12,6119_258_12,6119,0,I,3,cold,
49,2018-04-10_172219,RNA High sensitivity,Sample_#180410-172241,4/10/18 17:22,50.6,ng/mL,2.02,ng/uL,5,40,89.15,1801.33,Red,Far Red,275.44,153,9,6119_153_9,6119,0,I,3,cold,
50,2018-04-20_141741,RNA High sensitivity,Sample_#180420-141824,4/20/18 14:18,77.2,ng/mL,3.09,ng/uL,5,40,89.46,1781.73,Red,Far Red,377.32,86,9,6129_86_9,6129,1,I,5,warm,
51,2018-04-20_141741,RNA High sensitivity,Sample_#180420-141805,4/20/18 14:18,0,ng/mL,0,ng/uL,5,40,89.46,1781.73,Red,Far Red,98.2,120,9,6210_120_9,6210,1,I,4,warm,
52,2018-04-20_142939,RNA High sensitivity,Sample_#180420-143056,4/20/18 14:30,36.4,ng/mL,1.46,ng/uL,5,40,86.13,1769.69,Red,Far Red,214.77,402,26,6180_402_26,6180,0,I,6,warm,
53,2018-04-20_142939,RNA High sensitivity,Sample_#180420-143048,4/20/18 14:30,66,ng/mL,2.64,ng/uL,5,40,86.13,1769.69,Red,Far Red,329.04,403,26,6129_403_26,6129,1,I,5,warm,
54,2018-04-20_142939,RNA High sensitivity,Sample_#180420-143039,4/20/18 14:30,54.6,ng/mL,2.18,ng/uL,5,40,86.13,1769.69,Red,Far Red,285.08,401,26,6210_401_26,6210,1,I,4,warm,
55,2018-04-20_142939,RNA High sensitivity,Sample_#180420-143031,4/20/18 14:30,44.9,ng/mL,1.8,ng/uL,5,40,86.13,1769.69,Red,Far Red,247.3,370,12,6180_370_12,6180,0,I,6,warm,
56,2018-04-20_142939,RNA High sensitivity,Sample_#180420-143021,4/20/18 14:30,0,ng/mL,0,ng/uL,5,40,86.13,1769.69,Red,Far Red,93.15,299,12,6129_299_12,6129,1,I,5,warm,
57,2018-04-20_142939,RNA High sensitivity,Sample_#180420-143011,4/20/18 14:30,61.1,ng/mL,2.44,ng/uL,5,40,86.13,1769.69,Red,Far Red,309.98,274,12,6210_274_12,6210,1,I,4,warm,
58,2018-04-20_142939,RNA High sensitivity,Sample_#180420-143000,4/20/18 14:30,62.7,ng/mL,2.51,ng/uL,5,40,86.13,1769.69,Red,Far Red,316.27,149,9,6180_149_9,6180,0,I,6,warm,
59,2018-04-23_174015,RNA High sensitivity,Sample_#180423-174136,4/23/18 17:41,201,ng/mL,8.04,ng/uL,5,40,89.95,1891.37,Red,Far Red,897.6,409,26,6103_409_26,6103,1,I,1,cold,
60,2018-04-23_174015,RNA High sensitivity,Sample_#180423-174126,4/23/18 17:41,167,ng/mL,6.68,ng/uL,5,40,89.95,1891.37,Red,Far Red,761.32,215,12,6103_215_12,6103,1,I,1,cold,
61,2018-04-23_174015,RNA High sensitivity,Sample_#180423-174117,4/23/18 17:41,21,ng/mL,0.84,ng/uL,5,40,89.95,1891.37,Red,Far Red,166.1,253,12,6215_457_12,6215,1,I,3,cold,
62,2018-04-23_174015,RNA High sensitivity,Sample_#180423-174108,4/23/18 17:41,28.9,ng/mL,1.16,ng/uL,5,40,89.95,1891.37,Red,Far Red,197.48,23,9,6215_23_9,6215,1,I,3,cold,
63,2018-04-23_174015,RNA High sensitivity,Sample_#180423-174058,4/23/18 17:40,206,ng/mL,8.24,ng/uL,5,40,89.95,1891.37,Red,Far Red,916.35,444,26,6209_444_26,6209,1,I,3,cold,
64,2018-04-23_174015,RNA High sensitivity,Sample_#180423-174047,4/23/18 17:40,120,ng/mL,4.8,ng/uL,5,40,89.95,1891.37,Red,Far Red,571.61,251,12,6209_251_12,6209,1,I,3,cold,
