"","year_FRP.x","FRP","sq_mean.x","equal_sample_vol_qpcr.x","sq_std_dev.x","pos_neg_no_quant.x","pos_neg.x","Qubit_conc.x","units.x","run.x","day_26_tube_number.x","treatment_tank.x","temperature_treatment.x","Comments.x","year_FRP.y","sq_mean.y","equal_sample_vol_qpcr.y","sq_std_dev.y","pos_neg_no_quant.y","pos_neg.y","Qubit_conc.y","units.y","run.y","day_26_tube_number.y","treatment_tank.y","temperature_treatment.y","Comments.y"
"31","2017-6141",6141,427,"yes",35.1,0,"pos",0,"ng/ul","3/29/18 1st",451,3,"cold",0,"2017-6141",13100,"yes",2060,"0","pos",0,"ng/ul","4/25/18 second","Day 0/1 (EtoH)",3,"cold","0"
"32","2017-6104",6104,37,"yes",3.16,0,"pos",0,"ng/ul","3/29/18 second",458,3,"cold",0,"2017-6104",0,"yes",0,"0","neg",0.49,"ng/ul","4/25/18 fourth","Day 0/1 (EtoH)",3,"cold","0"
"33","2017-6148",6148,247,"yes",26.2,0,"pos",0,"ng/ul","3/29/18 1st",405,1,"cold",0,"2017-6148",775,"yes",21.4,"0","pos",0,"ng/ul","4/25/18 fourth","Day 0/1 (EtoH)",1,"cold","0"
"34","2017-6278",6278,5740,"yes",716,0,"pos",0,"ng/ul","3/29/18 second",413,1,"cold",0,"2017-6278",41100,"yes",571,"0","pos",0,"ng/ul","4/25/18 second","Day 0/1 (EtoH)",1,"cold","0"
"35","2017-6147",6147,420,"yes",86.8,0,"pos",0,"ng/ul","3/29/18 second",421,1,"cold",0,"2017-6147",7.5,"yes",2.36,"0","pos",1.19,"ng/ul","4/25/18 first","Day 0/1 (EtoH)",1,"cold","0"
"36","2017-6140",6140,110,"yes",8.87,0,"pos",0,"ng/ul","3/29/18 1st",429,2,"cold",0,"2017-6140",7.74,"yes",1.81,"0","pos",0,"ng/ul","4/27/18 2nd","Day 0/1 (EtoH)",2,"cold","0"
"37","2017-6149",6149,5100,"yes",1320,0,"pos",0,"ng/ul","3/29/18 1st",437,2,"cold",0,"2017-6149",127000,"yes",1250,"0","pos",3.7,"ng/ul","4/24/18 second","Day 0/1 (EtoH)",2,"cold","0"
"38","2017-6199",6199,2890,"yes",296,0,"pos",0,"ng/ul","3/29/18 1st",445,3,"cold",0,"2017-6199",210,"yes",26,"0","pos",0,"ng/ul","4/24/18 second","Day 0/1 (EtoH)",3,"cold","0"
"39","2017-6190",6190,116,"yes",17.4,0,"pos",0,"ng/ul","3/29/18 1st",452,1,"cold",0,"2017-6190",10.1,"yes",1.72,"0","pos",0,"ng/ul","4/25/18 second","Day 0/1 (EtoH)",1,"cold","0"
"40","2017-6132",6132,117,"yes",21.5,0,"pos",0,"ng/ul","4/24/18 second",406,1,"cold",0,"2017-6132",1.92,"yes",0,"0","neg",1.51,"ng/ul","4/25/18 first","Day 0/1 (EtoH)",1,"cold","0"
"41","2017-6167",6167,664,"yes",31.1,0,"pos",0,"ng/ul","3/29/18 second",414,1,"cold",0,"2017-6167",268,"yes",17.1,"0","pos",2.02,"ng/ul","4/27/18 2nd","Day 0/1 (EtoH)",1,"cold","0"
"42","2017-6189",6189,172,"yes",39.8,0,"pos",0,"ng/ul","3/29/18 second",422,1,"cold",0,"2017-6189",2.01,"yes",0.228,"0","neg",1.87,"ng/ul","4/27/18 2nd","Day 0/1 (EtoH)",1,"cold","0"
"43","2017-6118",6118,333,"yes",32.1,0,"pos",0,"ng/ul","3/29/18 1st",430,2,"cold",0,"2017-6118",280,"yes",24.1,"0","pos",0,"ng/ul","4/24/18 second","Day 0/1 (EtoH)",2,"cold","0"
"44","2017-6105",6105,96.7,"yes",12.8,0,"pos",0,"ng/ul","3/29/18 1st",438,2,"cold",0,"2017-6105",66.2,"yes",0.636,"0","pos",2.42,"ng/ul","4/25/18 fourth","Day 0/1 (EtoH)",2,"cold","0"
"45","2017-6156",6156,499,"yes",104,0,"pos",0,"ng/ul","4/24/18 second",446,3,"cold",0,"2017-6156",0.263,"yes",0.0627,"0","neg",7.84,"ng/ul","4/25/18 third","Day 0/1 (EtoH)",3,"cold","0"
"46","2017-6138",6138,68.4,"yes",12,0,"pos",0,"ng/ul","3/29/18 1st",453,3,"cold",0,"2017-6138",15.7,"yes",1.69,"0","pos",0,"ng/ul","4/25/18 third","Day 0/1 (EtoH)",3,"cold","0"
"47","2017-6162",6162,1150,"yes",80.4,0,"pos",0,"ng/ul","3/29/18 1st",407,1,"cold",0,"2017-6162",612,"yes",1.98,"0","pos",0,"ng/ul","4/25/18 fourth","Day 0/1 (EtoH)",1,"cold","0"
"48","2017-6101",6101,65.3,"yes",8.52,0,"pos",0,"ng/ul","3/29/18 second",415,1,"cold",0,"2017-6101",19.1,"yes",1.84,"0","pos",0,"ng/ul","4/25/18 third","Day 0/1 (EtoH)",1,"cold","0"
"49","2017-6157",6157,185,"yes",9.82,0,"pos",0,"ng/ul","3/29/18 second",423,2,"cold",0,"2017-6157",1.11,"yes",0.227,"0","neg",0.904,"ng/ul","4/27/18 2nd","Day 0/1 (EtoH)",2,"cold","0"
"50","2017-6187",6187,119,"yes",1.79,0,"pos",0,"ng/ul","3/29/18 1st",431,2,"cold",0,"2017-6187",2770,"yes",96,"0","pos",0,"ng/ul","4/25/18 second","Day 0/1 (EtoH)",2,"cold","0"
"51","2017-6102",6102,64.9,"yes",2.56,0,"pos",0,"ng/ul","3/29/18 1st",439,2,"cold",0,"2017-6102",0.376,"yes",0,"0","neg",5,"ng/ul","4/25/18 third","Day 0/1 (EtoH)",2,"cold","0"
"52","2017-6175",6175,911,"yes",92.2,0,"pos",0,"ng/ul","3/29/18 1st",447,3,"cold",0,"2017-6175",10.1,"no",4.61,"POS","0",0,"ng/ul","5/3/2018 first","Day 0/1 (EtoH)",3,"cold","31-G08 has 2ul DNA in D1 & maybe 0.5 ul in D2 well (4 reps pos)"
"53","2017-6151",6151,615,"yes",65.9,0,"pos",0,"ng/ul","3/29/18 1st",454,3,"cold",0,"2017-6151",27.4,"yes",8.68,"0","pos",0,"ng/ul","4/25/18 third","Day 0/1 (EtoH)",3,"cold","0"
"54","2017-6196",6196,348,"yes",25.2,0,"pos",0,"ng/ul","3/29/18 1st",408,1,"cold",0,"2017-6196",563,"yes",8.02,"0","pos",0,"ng/ul","4/25/18 first","Day 0/1 (EtoH)",1,"cold","0"
"55","2017-6200",6200,270,"yes",66.3,0,"pos",0,"ng/ul","3/29/18 second",416,1,"cold",0,"2017-6200",0,"yes",0,"0","neg",3.24,"ng/ul","5/3/2018 first","Day 0/1 (EtoH)",1,"cold","0"
"56","2017-6163",6163,185,"yes",22.6,0,"pos",0,"ng/ul","3/29/18 second",424,2,"cold",0,"2017-6163",97.2,"yes",31.6,"0","pos",0,"ng/ul","4/25/18 first","Day 0/1 (EtoH)",2,"cold","0"
"57","2017-6194",6194,80.3,"yes",12.8,0,"pos",0,"ng/ul","4/24/18 second",432,2,"cold",0,"2017-6194",39.1,"yes",8.96,"0","pos",0,"ng/ul","4/25/18 third","Day 0/1 (EtoH)",2,"cold","0"
"58","2017-6117",6117,97.5,"yes",5.49,0,"pos",0,"ng/ul","3/29/18 1st",440,2,"cold",0,"2017-6117",1.97,"yes",0.109,"0","neg",0.804,"ng/ul","4/25/18 fourth","Day 0/1 (EtoH)",2,"cold","0"
"59","2017-6204",6204,385,"yes",93.4,0,"pos",0,"ng/ul","3/29/18 1st",448,3,"cold",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2017-6120",6120,138,"yes",18.8,0,"pos",1.78,"ng/ul","3/29/18 second",459,3,"cold",0,"2017-6120",1100,"yes",23.4,"0","pos",0,"ng/ul","4/25/18 third","Day 0/1 (EtoH)",3,"cold","0"
"61","2017-6152",6152,571,"yes",69.3,0,"pos",0,"ng/ul","3/29/18 second",467,7,"ambient",0,"2017-6152",0.877,"yes",0.0108,"0","neg",0,"ng/ul","4/27/18 2nd","Day 0/1 (EtoH)",7,"ambient","0"
"62","2017-6205",6205,444,"yes",71.7,0,"pos",0,"ng/ul","3/27/18 third",475,7,"ambient",0,"2017-6205",19100,"yes",115,"0","pos",0,"ng/ul","4/25/18 first","Day 0/1 (EtoH)",7,"ambient","0"
"63","2017-6193",6193,393,"yes",61,0,"pos",0,"ng/ul","4/24/18 first",482,8,"ambient",0,"2017-6193",333,"yes",33.8,"0","pos",0,"ng/ul","4/25/18 third","Day 0/1 (EtoH)",8,"ambient","0"
"64","2017-6176",6176,109,"yes",15.8,0,"pos",0,"ng/ul","4/24/18 first",490,8,"ambient",0,"2017-6176",1.31,"yes",0,"0","neg",1.94,"ng/ul","4/25/18 fourth","Day 0/1 (EtoH)",8,"ambient","0"
"65","2017-6127",6127,149,"yes",11.8,0,"pos",0,"ng/ul","4/24/18 first",497,8,"ambient",0,"2017-6127",187,"yes",15.5,"0","pos",0,"ng/ul","4/25/18 fourth","Day 0/1 (EtoH)",8,"ambient","0"
"66","2017-6145",6145,233,"yes",8.46,0,"pos",0,"ng/ul","4/24/18 first",505,9,"ambient",0,"2017-6145",49.1,"yes",9.01,"0","pos",0,"ng/ul","4/24/18 second","Day 0/1 (EtoH)",9,"ambient","0"
"67","2017-6184",6184,189,"yes",49.7,0,"pos",0,"ng/ul","3/29/18 second",513,9,"ambient",0,"2017-6184",238,"yes",14.9,"0","pos",0,"ng/ul","4/25/18 third","Day 0/1 (EtoH)",9,"ambient","0"
"68","2017-6164",6164,1530,"yes",284,0,"pos",0,"ng/ul","4/24/18 second",460,3,"cold",0,"2017-6164",249,"yes",45.5,"0","pos",0,"ng/ul","4/25/18 third","Day 0/1 (EtoH)",3,"cold","0"
"69","2017-6111",6111,927,"yes",93.7,0,"pos",0,"ng/ul","3/29/18 second",468,7,"ambient",0,"2017-6111",27.9,"yes",3.7,"0","pos",0,"ng/ul","4/25/18 third","Day 0/1 (EtoH)",7,"ambient","0"
"70","2017-6155",6155,1180,"yes",78.9,0,"pos",0,"ng/ul","4/24/18 first",476,7,"ambient",0,"2017-6155",103,"yes",3.32,"0","pos",0,"ng/ul","4/24/18 second","Day 0/1 (EtoH)",7,"ambient","0"
"71","2017-6158",6158,548,"yes",60.1,0,"pos",0,"ng/ul","4/24/18 first",483,8,"ambient",0,"2017-6158",628,"yes",35.2,"0","pos",0,"ng/ul","4/25/18 first","Day 0/1 (EtoH)",8,"ambient","0"
"72","2017-6136",6136,220,"yes",8.65,0,"pos",0,"ng/ul","4/24/18 first",491,8,"ambient",0,"2017-6136",0,"yes",0,"0","neg",1.43,"ng/ul","4/25/18 first","Day 0/1 (EtoH)",8,"ambient","0"
"73","2017-6130",6130,159,"yes",2.08,0,"pos",0,"ng/ul","4/24/18 first",498,8,"ambient",0,"2017-6130",0,"0",0,"NEG","0",1.5,"ng/ul","0","Day 0/1 (EtoH)",8,"ambient","0"
"74","2017-6213",6213,148,"yes",20.8,0,"pos",0,"ng/ul","4/24/18 first",506,9,"ambient",0,"2017-6213",1.33,"yes",0.423,"0","neg",58.6,"ng/ul","4/25/18 first","Day 0/1 (EtoH)",9,"ambient","0"
"75","2017-6115",6115,64.7,"yes",15.4,0,"pos",0.406,"ng/ul","3/29/18 second",514,9,"ambient",0,"2017-6115",2860,"yes",313,"0","pos",0,"ng/ul","4/25/18 fourth","Day 0/1 (EtoH)",9,"ambient","0"
"76","2017-6119",6119,92.4,"yes",7.73,0,"pos",0,"ng/ul","3/29/18 second",461,3,"cold",0,"2017-6119",4.5,"yes",0.202,"0","pos",5.1,"ng/ul","4/25/18 second","Day 0/1 (EtoH)",3,"cold","0"
"77","2017-6165",6165,52.5,"yes",6.24,0,"pos",0,"ng/ul","4/24/18 second",469,7,"ambient",0,"2017-6165",4.56,"yes",1.01,"0","pos",0,"ng/ul","4/24/18 second","Day 0/1 (EtoH)",7,"ambient","0"
"78","2017-6144",6144,1400,"yes",5.65,0,"pos",0,"ng/ul","3/27/18 third",477,7,"ambient",0,"2017-6144",485,"yes",100,"0","pos",0,"ng/ul","4/25/18 fourth","Day 0/1 (EtoH)",7,"ambient","0"
"79","2017-6114",6114,147,"yes",14.1,0,"pos",0,"ng/ul","4/24/18 first",484,8,"ambient",0,"2017-6114",389,"yes",119,"0","pos",0,"ng/ul","4/25/18 third","Day 0/1 (EtoH)",8,"ambient","0"
"80","2017-6135",6135,230,"yes",9.44,0,"pos",0,"ng/ul","4/24/18 first",492,8,"ambient",0,"2017-6135",0.979,"yes",0,"0","neg",19.2,"ng/ul","4/25/18 second","Day 0/1 (EtoH)",8,"ambient","0"
"81","2017-6112",6112,513,"yes",7.33,0,"pos",0,"ng/ul","4/24/18 first",499,9,"ambient",0,"2017-6112",0,"0",0,"4 rep neg","0",6.72,"ng/ul","0","Day 0/1 (EtoH)",9,"ambient","0"
"82","2017-6131",6131,244,"yes",4.53,0,"pos",0,"ng/ul","4/24/18 first",507,9,"ambient",0,"2017-6131",0,"0",0,"iffy","0",1.43,"ng/ul","0","Day 0/1 (EtoH)",9,"ambient","0"
"83","2017-6179",6179,47.2,"yes",4.88,0,"pos",0.534,"ng/ul","3/29/18 second",515,9,"ambient",0,"2017-6179",0.213,"yes",0,"0","neg",4.14,"ng/ul","4/25/18 fourth","Day 0/1 (EtoH)",9,"ambient","0"
"84","2017-6182",6182,143,"yes",22.1,0,"pos",0,"ng/ul","4/24/18 second",462,7,"ambient",0,"2017-6182",14600,"yes",972,"0","pos",2.6,"ng/ul","4/25/18 third","Day 0/1 (EtoH)",7,"ambient","0"
"85","2017-6181",6181,146,"yes",6.32,0,"pos",0,"ng/ul","3/29/18 second",470,7,"ambient",0,"2017-6181",0.824,"yes",0.277,"0","neg",4.02,"ng/ul","4/25/18 second","Day 0/1 (EtoH)",7,"ambient","0"
"86","2017-6212",6212,120000,"yes",12500,0,"pos",1.98,"ng/ul","4/24/18 first",485,8,"ambient",0,"2017-6212",546000,"yes",90600,"0","pos",0,"ng/ul","4/25/18 first","Day 0/1 (EtoH)",8,"ambient","0"
"87","2017-6139",6139,122,"yes",5.26,0,"pos",0,"ng/ul","4/24/18 first",493,8,"ambient",0,"2017-6139",0,"0",0,"4 rep pos","0",0,"ng/ul","0","Day 0/1 (EtoH)",8,"ambient","0"
"88","2017-6137",6137,663,"yes",87.9,0,"pos",0,"ng/ul","3/27/18 third",500,9,"ambient",0,"2017-6137",167,"yes",5.39,"0","pos",0,"ng/ul","4/25/18 fourth","Day 0/1 (EtoH)",9,"ambient","0"
"89","2017-6159",6159,455,"yes",45.4,0,"pos",0,"ng/ul","4/24/18 first",508,9,"ambient",0,"2017-6159",350,"yes",2.22,"0","pos",0,"ng/ul","4/25/18 second","Day 0/1 (EtoH)",9,"ambient","0"
"90","2017-6170",6170,564,"yes",0.395,0,"pos",0,"ng/ul","4/24/18 second",516,9,"ambient",0,"2017-6170",749,"yes",161,"0","pos",0,"ng/ul","4/24/18 second","Day 0/1 (EtoH)",9,"ambient","0"
"91","2017-6192",6192,1950,"yes",469,0,"pos",0,"ng/ul","3/29/18 second",463,7,"ambient",0,"2017-6192",283,"yes",15.4,"0","pos",0,"ng/ul","4/25/18 second","Day 0/1 (EtoH)",7,"ambient","0"
"92","2017-6107",6107,121,"yes",5.09,0,"pos",0,"ng/ul","3/29/18 second",471,7,"ambient",0,"2017-6107",0.859,"yes",0.0733,"0","neg",7.44,"ng/ul","4/25/18 second","Day 0/1 (EtoH)",7,"ambient","0"
"93","2017-6201",6201,445,"yes",58,0,"pos",0,"ng/ul","4/24/18 first",478,7,"ambient",0,"2017-6201",50.1,"yes",5.03,"0","pos",0,"ng/ul","4/25/18 second","Day 0/1 (EtoH)",7,"ambient","0"
"94","2017-6169",6169,643,"yes",38.9,0,"pos",0,"ng/ul","4/24/18 first",486,8,"ambient",0,"2017-6169",24.8,"yes",3.33,"0","pos",0,"ng/ul","4/24/18 second","Day 0/1 (EtoH)",8,"ambient","0"
"95","2017-6183",6183,313,"yes",5.16,0,"pos",0,"ng/ul","4/24/18 first",494,8,"ambient",0,"2017-6183",2280,"yes",110,"0","pos",0,"ng/ul","4/27/18 2nd","Day 0/1 (EtoH)",8,"ambient","0"
"96","2017-6195",6195,160,"yes",3.83,0,"pos",0,"ng/ul","3/27/18 third",501,9,"ambient",0,"2017-6195",418,"yes",77.1,"0","pos",0,"ng/ul","4/25/18 second","Day 0/1 (EtoH)",9,"ambient","0"
"97","2017-6206",6206,544,"yes",40.5,0,"pos",0,"ng/ul","4/24/18 first",509,9,"ambient",0,"2017-6206",51.3,"yes",2.67,"0","pos",0,"ng/ul","4/25/18 second","Day 0/1 (EtoH)",9,"ambient","0"
"98","2017-6172",6172,107,"yes",9.52,0,"pos",0,"ng/ul","4/24/18 second",517,1,"cold",0,"2017-6172",221,"yes",43.1,"0","pos",0,"ng/ul","4/24/18 second","Day 0/1 (EtoH)",1,"cold","0"
"99","2017-6124",6124,163,"yes",7.13,0,"pos",0,"ng/ul","3/29/18 second",464,7,"ambient",0,"2017-6124",1240,"yes",64,"0","pos",0,"ng/ul","4/24/18 second","Day 0/1 (EtoH)",7,"ambient","0"
"100","2017-6121",6121,687,"yes",2.09,0,"pos",0,"ng/ul","3/27/18 third",472,7,"ambient",0,"2017-6121",121,"yes",8.25,"0","pos",2,"ng/ul","4/27/18 2nd","Day 0/1 (EtoH)",7,"ambient","0"
"101","2017-6143",6143,203,"yes",10.8,0,"pos",0,"ng/ul","4/24/18 first",479,7,"ambient",0,"2017-6143",0.764,"yes",0,"0","neg",1.02,"ng/ul","4/27/18 2nd","Day 0/1 (EtoH)",7,"ambient","0"
"102","2017-6185",6185,326,"yes",54.8,0,"pos",0,"ng/ul","4/24/18 first",487,8,"ambient",0,"2017-6185",6.97,"yes",1.16,"0","pos",3.58,"ng/ul","4/25/18 third","Day 0/1 (EtoH)",8,"ambient","0"
"103","2017-6202",6202,285,"yes",34.1,0,"pos",0,"ng/ul","4/24/18 first",495,8,"ambient",0,"2017-6202",2470,"yes",81.4,"0","pos",0,"ng/ul","4/25/18 first","Day 0/1 (EtoH)",8,"ambient","0"
"104","2017-6146",6146,763,"yes",2.3,0,"pos",0,"ng/ul","4/24/18 first",502,9,"ambient",0,"2017-6146",0,"yes",0,"0","neg",1.17,"ng/ul","4/25/18 fourth","Day 0/1 (EtoH)",9,"ambient","0"
"105","2017-6186",6186,253,"yes",20.1,0,"pos",0,"ng/ul","4/24/18 first",510,9,"ambient",0,"2017-6186",0,"yes",0,"0","neg",4.24,"ng/ul","4/25/18 second","Day 0/1 (EtoH)",9,"ambient","0"
"106","2017-6134",6134,122,"yes",14.1,0,"pos",0,"ng/ul","3/29/18 second",465,7,"ambient",0,"2017-6134",170,"yes",6.43,"0","pos",0,"ng/ul","4/25/18 fourth","Day 0/1 (EtoH)",7,"ambient","0"
"107","2017-6123",6123,213,"yes",29.3,0,"pos",0,"ng/ul","3/27/18 third",473,7,"ambient",0,"2017-6123",12.8,"yes",2.59,"0","pos",0,"ng/ul","4/25/18 first","Day 0/1 (EtoH)",7,"ambient","0"
"108","2017-6123",6123,213,"yes",29.3,0,"pos",0,"ng/ul","3/27/18 third",473,7,"ambient",0,"2017-6123",4.23,"yes",0.525,"0","pos",6.72,"ng/ul","4/25/18 first","Day 0/1 (EtoH)",7,"ambient","0"
"109","2017-6109",6109,471,"yes",2.95,0,"pos",0,"ng/ul","3/27/18 third",480,7,"ambient",0,"2017-6109",0,"yes",0,"0","neg",5.12,"ng/ul","4/25/18 third","Day 0/1 (EtoH)",7,"ambient","0"
"110","2017-6110",6110,177,"yes",7.76,0,"pos",0,"ng/ul","4/24/18 first",488,8,"ambient",0,"2017-6110",1.77,"yes",0,"0","neg",6.44,"ng/ul","4/27/18 2nd","Day 0/1 (EtoH)",8,"ambient","0"
"111","2017-6125",6125,276,"yes",1.93,0,"pos",0,"ng/ul","4/24/18 first",503,9,"ambient",0,"2017-6125",69,"yes",8.82,"0","pos",0,"ng/ul","4/27/18 2nd","Day 0/1 (EtoH)",9,"ambient","0"
