Trinity_ID,binary_sig
TRINITY_DN10142_c0_g1_i1,NA
TRINITY_DN10143_c0_g1_i1,0
TRINITY_DN10144_c0_g1_i1,0
TRINITY_DN10144_c0_g1_i3,0
TRINITY_DN10145_c0_g1_i1,NA
TRINITY_DN10145_c0_g1_i2,0
TRINITY_DN10145_c0_g1_i3,NA
TRINITY_DN10145_c0_g2_i1,0
TRINITY_DN10146_c0_g1_i1,NA
TRINITY_DN10147_c0_g1_i1,NA
TRINITY_DN10147_c0_g1_i2,NA
TRINITY_DN10149_c0_g1_i1,NA
TRINITY_DN1015_c0_g1_i1,0
TRINITY_DN1015_c0_g1_i2,0
TRINITY_DN10150_c0_g1_i1,NA
TRINITY_DN10152_c0_g1_i1,NA
TRINITY_DN10152_c0_g1_i2,0
TRINITY_DN10152_c0_g1_i3,NA
TRINITY_DN10156_c0_g1_i1,NA
TRINITY_DN10156_c0_g1_i2,NA
TRINITY_DN10158_c0_g1_i1,NA
TRINITY_DN10158_c0_g2_i1,NA
TRINITY_DN1016_c0_g1_i1,0
TRINITY_DN1016_c0_g1_i2,0
TRINITY_DN1016_c1_g1_i1,0
TRINITY_DN1016_c2_g1_i1,0
TRINITY_DN10160_c0_g1_i1,NA
TRINITY_DN10160_c0_g1_i2,NA
TRINITY_DN10162_c0_g1_i1,0
TRINITY_DN10163_c0_g1_i1,NA
TRINITY_DN10164_c0_g1_i1,NA
TRINITY_DN10164_c0_g1_i2,NA
TRINITY_DN10164_c0_g1_i3,NA
TRINITY_DN10165_c0_g1_i1,NA
TRINITY_DN10168_c0_g1_i1,NA
TRINITY_DN1017_c0_g1_i11,0
TRINITY_DN1017_c0_g1_i13,NA
TRINITY_DN1017_c0_g1_i4,0
TRINITY_DN1017_c0_g1_i8,0
TRINITY_DN10170_c0_g1_i2,NA
TRINITY_DN10170_c0_g1_i3,0
TRINITY_DN10171_c0_g1_i1,NA
TRINITY_DN10171_c0_g1_i2,NA
TRINITY_DN10175_c0_g1_i1,NA
TRINITY_DN10177_c0_g1_i1,NA
TRINITY_DN10177_c0_g1_i2,0
TRINITY_DN10178_c0_g1_i1,0
TRINITY_DN1018_c0_g1_i2,NA
TRINITY_DN1018_c0_g1_i3,0
TRINITY_DN1018_c0_g1_i4,0
TRINITY_DN10181_c0_g1_i1,NA
TRINITY_DN10182_c0_g1_i1,0
TRINITY_DN10183_c0_g1_i1,1
TRINITY_DN10184_c0_g1_i1,NA
TRINITY_DN10186_c0_g1_i1,NA
TRINITY_DN10187_c0_g1_i1,NA
TRINITY_DN10187_c0_g1_i2,NA
TRINITY_DN10187_c0_g2_i1,0
TRINITY_DN10188_c0_g1_i1,NA
TRINITY_DN1019_c0_g1_i1,0
TRINITY_DN1019_c0_g1_i2,0
TRINITY_DN1019_c0_g1_i3,0
TRINITY_DN10190_c0_g1_i1,1
TRINITY_DN10192_c0_g1_i1,NA
TRINITY_DN10192_c1_g1_i1,0
TRINITY_DN10193_c0_g1_i1,0
TRINITY_DN10195_c0_g1_i1,0
TRINITY_DN10198_c0_g1_i1,0
TRINITY_DN10198_c0_g1_i2,NA
TRINITY_DN10199_c0_g1_i1,0
TRINITY_DN102_c0_g1_i1,0
TRINITY_DN102_c0_g1_i2,0
TRINITY_DN102_c0_g1_i3,0
TRINITY_DN102_c0_g1_i4,0
TRINITY_DN102_c0_g1_i5,1
TRINITY_DN1020_c0_g1_i1,0
TRINITY_DN1020_c0_g1_i2,0
TRINITY_DN1020_c0_g1_i3,NA
TRINITY_DN1020_c0_g2_i1,0
TRINITY_DN10202_c0_g1_i1,0
TRINITY_DN10202_c0_g1_i2,NA
